Run Bound_name View Risk Gibbs_Risk Bound Join_Error Disagreement DIV_QP DIV_RhoPi alpha alpha_v n_labeled n_all Posterior_Qv Posterior_rho
1 Uniform View1 0.172 0.221 0.492 0.129 0.184 0.000 nan 1  4522.0 4522.0 "['0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000']" 
1 Uniform View2 0.166 0.221 0.493 0.125 0.192 0.000 nan 1  4522.0 4522.0 "['0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000']" 
1 Uniform View3 0.188 0.272 0.598 0.138 0.268 0.000 nan 1  4522.0 4522.0 "['0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000']" 
1 Uniform Concatenated 0.166 0.214 0.477 0.126 0.176 0.000 nan 1  4522.0 4522.0 "['0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000']" 
1 Uniform Multiview 0.163 0.236 0.523 0.122 0.228 0.000 0.000   4522.0 4522.0 "[['0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000'], ['0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000'], ['0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000']]" "['0.333333343', '0.333333343', '0.333333343']"
1 PBkl View1 0.167 0.212 0.474 0.129 0.166 0.282 nan 1  4522.0 4522.0 "['0.002924512', '0.009885309', '0.003007044', '0.002652213', '0.018878071', '0.001928155', '0.001934287', '0.002999235', '0.002939144', '0.002951961', '0.002969458', '0.003066323', '0.020282350', '0.012064454', '0.003033882', '0.002157354', '0.011740688', '0.019960538', '0.002426336', '0.002864850', '0.015595999', '0.021205405', '0.003034677', '0.018950587', '0.015930682', '0.002810664', '0.016089428', '0.018041678', '0.005367999', '0.019413030', '0.018878071', '0.018135617', '0.002619069', '0.019021390', '0.003008267', '0.015419443', '0.018649377', '0.002312623', '0.013226983', '0.020149801', '0.018316017', '0.002391990', '0.009461490', '0.018803746', '0.002730662', '0.012374234', '0.012374234', '0.003041362', '0.002448374', '0.002997847', '0.004780567', '0.018950587', '0.016390998', '0.002619069', '0.019589772', '0.016673068', '0.002958914', '0.002848843', '0.001594212', '0.016534341', '0.001472486', '0.002730662', '0.002956655', '0.002667272', '0.015595999', '0.018487008', '0.002761250', '0.020103868', '0.002973351', '0.005943575', '0.002997847', '0.017303880', '0.019224027', '0.015419443', '0.017185453', '0.016807329', '0.019860065', '0.002947029', '0.014643918', '0.016937353', '0.002581188', '0.003008959', '0.002963284', '0.002999235', '0.012374234', '0.002600778', '0.002803327', '0.013978436', '0.003070533', '0.002994990', '0.019589772', '0.020282350', '0.002600778', '0.015766324', '0.013738188', '0.016390998', '0.013738188', '0.016534341', '0.016673068', '0.009885309']" 
1 PBkl View2 0.169 0.198 0.448 0.129 0.137 1.312 nan 1  4522.0 4522.0 "['0.000708122', '0.002646912', '0.078983516', '0.000579832', '0.002228089', '0.000587117', '0.000579151', '0.075079702', '0.000687384', '0.004643858', '0.000535682', '0.000542410', '0.000558528', '0.025239045', '0.000534303', '0.000565277', '0.004419441', '0.048132092', '0.000553697', '0.073258325', '0.000562309', '0.000647867', '0.006305590', '0.010154330', '0.026403408', '0.000558076', '0.000542410', '0.086858816', '0.013237516', '0.002533733', '0.000573657', '0.000541384', '0.021941813', '0.001019015', '0.011295280', '0.000571656', '0.020911222', '0.000540136', '0.015477628', '0.025239045', '0.083229296', '0.000606846', '0.002892643', '0.002228089', '0.000543888', '0.000577886', '0.000546354', '0.000534357', '0.000574127', '0.000562309', '0.000580957', '0.018033015', '0.000533711', '0.000599841', '0.000544512', '0.013950102', '0.005134281', '0.000553697', '0.000559845', '0.000537157', '0.000536607', '0.000542635', '0.000575253', '0.000535682', '0.074189439', '0.000533682', '0.000535134', '0.001966025', '0.004419441', '0.000581111', '0.000537726', '0.000546959', '0.000534056', '0.000565623', '0.000538190', '0.000545130', '0.000583639', '0.003026101', '0.000560271', '0.000536607', '0.000802607', '0.000886505', '0.088657647', '0.000568542', '0.000563836', '0.000581859', '0.010154330', '0.001543658', '0.011910952', '0.002533733', '0.009627047', '0.000599841', '0.003474886', '0.010154330', '0.000572176', '0.000553697', '0.011910952', '0.051110011', '0.000564924', '0.000538911']" 
1 PBkl View3 0.197 0.241 0.539 0.145 0.192 1.483 nan 1  4522.0 4522.0 "['0.001233888', '0.000976822', '0.000861812', '0.001233888', '0.000568399', '0.086746566', '0.000946110', '0.001277364', '0.000545936', '0.000590780', '0.001419447', '0.101824403', '0.000861812', '0.000603357', '0.008196048', '0.000526198', '0.059837148', '0.000616416', '0.106751822', '0.022135844', '0.018150255', '0.000635534', '0.067466766', '0.001829319', '0.004600896', '0.005872131', '0.003626449', '0.000535326', '0.001114105', '0.000571212', '0.092741579', '0.012503348', '0.000542024', '0.003771679', '0.009704024', '0.000521051', '0.000545936', '0.000578886', '0.021288391', '0.000620010', '0.000532973', '0.000603357', '0.000556867', '0.000591391', '0.000632915', '0.000976822', '0.000521051', '0.000616416', '0.018897185', '0.000617855', '0.001829319', '0.000601993', '0.028756881', '0.000601993', '0.000550956', '0.002044562', '0.000527296', '0.000525015', '0.001233888', '0.000916738', '0.000602713', '0.077446893', '0.000602908', '0.000626781', '0.002287837', '0.000617001', '0.006930722', '0.017428150', '0.000519451', '0.008917386', '0.006648040', '0.000601993', '0.000519501', '0.000593173', '0.023906065', '0.000538022', '0.000610555', '0.002765884', '0.000547214', '0.000596519', '0.000519739', '0.000603357', '0.001470947', '0.001077504', '0.005872131', '0.000533979', '0.000553372', '0.000577275', '0.000595434', '0.000686584', '0.000520468', '0.009704024', '0.107119799', '0.000550956', '0.000574757', '0.004789833', '0.000602713', '0.000570289', '0.002044562', '0.000617001']" 
1 PBkl Concatenated 0.170 0.197 0.447 0.130 0.136 1.190 nan 1  4522.0 4522.0 "['0.002612239', '0.009356291', '0.000769450', '0.001168176', '0.007069143', '0.000671953', '0.039636165', '0.000582489', '0.008128414', '0.000769450', '0.016405879', '0.000610294', '0.075842738', '0.000605369', '0.000596173', '0.000804228', '0.077130154', '0.008128414', '0.000574799', '0.002050376', '0.000655776', '0.000573294', '0.000583626', '0.056385960', '0.030758031', '0.004386356', '0.001638065', '0.000648871', '0.001638065', '0.000571536', '0.004386356', '0.001404206', '0.000623327', '0.000575521', '0.001729298', '0.000571696', '0.000589966', '0.000574930', '0.000572569', '0.006595700', '0.047136705', '0.000619589', '0.010040741', '0.001337926', '0.000575858', '0.000847675', '0.079835631', '0.003159337', '0.001404206', '0.000571915', '0.045242570', '0.008128414', '0.000785654', '0.001476013', '0.001168176', '0.000571606', '0.056385960', '0.000573433', '0.004103901', '0.000584249', '0.000578428', '0.010776102', '0.000571701', '0.000610294', '0.000571776', '0.000872672', '0.017565627', '0.000574799', '0.018791245', '0.000769450', '0.061299991', '0.000996766', '0.016405879', '0.000589966', '0.001276754', '0.006595700', '0.000663446', '0.065497532', '0.014282169', '0.005748120', '0.005017224', '0.000785654', '0.000578740', '0.000627451', '0.000619589', '0.000574671', '0.001337926', '0.000586378', '0.065497532', '0.000572388', '0.001120058', '0.002050376', '0.036000304', '0.000603210', '0.016405879', '0.006156178', '0.001075636', '0.000681354', '0.000572134', '0.000574017']" 
1 PBkl Multiview 0.168 0.210 0.470 0.126 0.174 0.209 0.147 [1.2561404] "[1.266919  1.2663745 1.2790028]" 4522.0 4522.0 "[['0.001551654', '0.008217486', '0.001591760', '0.001442476', '0.020336386', '0.001811416', '0.001283420', '0.001587814', '0.001558508', '0.001564602', '0.001573057', '0.001622799', '0.021211006', '0.012025155', '0.001605575', '0.001316683', '0.011451402', '0.021027170', '0.001374974', '0.001524810', '0.017326696', '0.021690875', '0.001605992', '0.020386497', '0.017711604', '0.001501913', '0.017887138', '0.019714624', '0.003297180', '0.020692529', '0.020336386', '0.019788709', '0.001431374', '0.020434808', '0.001592381', '0.017115384', '0.020174675', '0.001347665', '0.014001044', '0.021136381', '0.019927895', '0.001366287', '0.007543364', '0.020284439', '0.001470553', '0.012567097', '0.012567097', '0.001609496', '0.001985261', '0.001587115', '0.002965455', '0.020386497', '0.018208615', '0.001431374', '0.020803686', '0.018495496', '0.001567942', '0.001517903', '0.001254652', '0.018356074', '0.001676554', '0.001470553', '0.001566852', '0.001447670', '0.017326696', '0.020056114', '0.001482207', '0.021110177', '0.001574959', '0.003671605', '0.001587115', '0.019091293', '0.020570122', '0.017115384', '0.018984141', '0.018627483', '0.020967903', '0.001562246', '0.016117673', '0.018752633', '0.001419207', '0.002186345', '0.001570053', '0.001587814', '0.012567097', '0.001425429', '0.001498919', '0.015169729', '0.001625078', '0.001585682', '0.020803686', '0.021211006', '0.001425429', '0.017525071', '0.014807041', '0.018208615', '0.014807041', '0.018356074', '0.018495496', '0.008217486'], ['0.019598626', '0.020778552', '0.019484552', '0.020099020', '0.005016244', '0.018970503', '0.001612209', '0.022398196', '0.018343715', '0.011849895', '0.021602534', '0.021315601', '0.005497972', '0.001627490', '0.004571442', '0.009548212', '0.001651586', '0.021445885', '0.001614380', '0.001615432', '0.022643428', '0.005016244', '0.001512022', '0.001567310', '0.016315704', '0.001329377', '0.012875070', '0.001296563', '0.020007383', '0.020505391', '0.019598626', '0.021403730', '0.001567310', '0.022669395', '0.001586344', '0.001598556', '0.005497972', '0.001646106', '0.011302175', '0.001659050', '0.020577522', '0.001640960', '0.001650645', '0.019108446', '0.001555701', '0.021403730', '0.001302919', '0.001426246', '0.021981806', '0.022132795', '0.022200825', '0.006014388', '0.012875070', '0.001526587', '0.001418845', '0.017977325', '0.001526587', '0.001644463', '0.020959035', '0.001499672', '0.001418845', '0.001594240', '0.016017584', '0.013350585', '0.001595710', '0.001649194', '0.019365044', '0.019365044', '0.020430384', '0.019598626', '0.001292874', '0.001539336', '0.001622277', '0.004571442', '0.017110644', '0.001597152', '0.020505391', '0.001300871', '0.001358526', '0.013350585', '0.001638449', '0.016861111', '0.001411138', '0.001662895', '0.008940688', '0.001624952', '0.021269457', '0.022008497', '0.001636462', '0.001635083', '0.001571523', '0.001597152', '0.001624075', '0.009548212', '0.001302919', '0.020099020', '0.022482891', '0.001603889', '0.020099020', '0.022084810'], ['0.003730136', '0.002359440', '0.020366920', '0.016187653', '0.021042200', '0.020046994', '0.002419601', '0.020319970', '0.004801744', '0.020958560', '0.018948562', '0.002316430', '0.002404653', '0.002385268', '0.019807404', '0.018879840', '0.019363428', '0.020675909', '0.002257245', '0.017778741', '0.002039152', '0.019769002', '0.006077101', '0.002310638', '0.014321534', '0.002407634', '0.002446229', '0.002163367', '0.001713983', '0.002448612', '0.002435867', '0.002376951', '0.015739745', '0.002404653', '0.002211038', '0.020767968', '0.020295629', '0.002392534', '0.002301245', '0.001713983', '0.002217730', '0.020515271', '0.019139513', '0.020389603', '0.021022340', '0.020164637', '0.001916660', '0.019078271', '0.010120097', '0.002426627', '0.018490927', '0.013199920', '0.002362770', '0.003288820', '0.018656310', '0.002334200', '0.020553621', '0.018006809', '0.020958560', '0.019880783', '0.019363428', '0.002110398', '0.002391553', '0.015739745', '0.002385268', '0.013600766', '0.002357862', '0.002247114', '0.004235856', '0.002122218', '0.004801744', '0.019139513', '0.002340816', '0.017778741', '0.002163367', '0.002321881', '0.020625629', '0.001916660', '0.002400648', '0.002196679', '0.017246315', '0.006760876', '0.010120097', '0.001761119', '0.019769002', '0.019464131', '0.018733848', '0.021254634', '0.002275297', '0.018490927', '0.001836112', '0.002362770', '0.002428419', '0.002307607', '0.014645427', '0.012769426', '0.001727438', '0.002396298', '0.018948562', '0.002350755']]" "['0.455880046', '0.496849358', '0.047270544']"
