Run Bound_name View Risk Gibbs_Risk Bound Join_Error Disagreement DIV_QP DIV_RhoPi alpha alpha_v n_labeled n_all Posterior_Qv Posterior_rho
1 TND View1 0.903 0.968 1.000 0.943 0.965 0.000 nan 1  44100.0 44100.0 "['0.009927873', '0.009983272', '0.009940102', '0.009969328', '0.009948797', '0.010035327', '0.009944226', '0.010069360', '0.009929281', '0.009934728', '0.009963461', '0.010024036', '0.010057339', '0.009946592', '0.009956153', '0.010015757', '0.010019821', '0.009997432', '0.010068228', '0.009973563', '0.010024460', '0.010020613', '0.010058039', '0.010018414', '0.009961129', '0.010031525', '0.009930728', '0.010008526', '0.009991624', '0.009980594', '0.009989925', '0.010001425', '0.010004980', '0.010047883', '0.009994722', '0.009959711', '0.009991451', '0.009932511', '0.009971940', '0.010020471', '0.010062830', '0.010018308', '0.009946901', '0.010052470', '0.010010311', '0.010018783', '0.010043849', '0.009978104', '0.010031087', '0.009937486', '0.009957374', '0.010062765', '0.009927373', '0.010041790', '0.010071276', '0.010057717', '0.010023722', '0.010066645', '0.010021230', '0.010039506', '0.009956785', '0.010016256', '0.009926336', '0.010002332', '0.009993136', '0.010056873', '0.010009085', '0.010002355', '0.009936199', '0.009999478', '0.009920795', '0.010049756', '0.010043137', '0.010071359', '0.010018871', '0.009977714', '0.009930280', '0.010043201', '0.009962355', '0.010032927', '0.009936508', '0.009931298', '0.010053003', '0.010059050', '0.010024171', '0.009982752', '0.010071333', '0.009932096', '0.009990538', '0.009968992', '0.010000244', '0.010026939', '0.009985029', '0.010052999', '0.009963117', '0.010055184', '0.010032471', '0.009992955', '0.009940838', '0.010036356']" 
1 TND View2 0.955 0.980 1.000 0.964 0.967 0.000 nan 1  44100.0 44100.0 "['0.010075335', '0.010073648', '0.009934697', '0.009909330', '0.010064937', '0.010066082', '0.009928836', '0.009937044', '0.009912982', '0.009886362', '0.010072875', '0.009933220', '0.010071589', '0.009936405', '0.009912329', '0.010062828', '0.009937160', '0.009928023', '0.010073360', '0.010069232', '0.009929763', '0.009934853', '0.010109814', '0.009917147', '0.009930950', '0.009889045', '0.010089376', '0.009929329', '0.009938690', '0.010075212', '0.009938853', '0.010064504', '0.009928281', '0.010093415', '0.010079253', '0.010064053', '0.010068487', '0.010076605', '0.009908467', '0.010076679', '0.009918096', '0.009935237', '0.010078611', '0.010068847', '0.009930746', '0.010068273', '0.010105302', '0.009930598', '0.010074683', '0.009922899', '0.009940670', '0.010082893', '0.009925821', '0.009907900', '0.009924980', '0.010063336', '0.010069274', '0.010076758', '0.009938659', '0.009914714', '0.009916517', '0.009935121', '0.010082864', '0.010076194', '0.010070422', '0.010097940', '0.009906706', '0.010066473', '0.009893529', '0.010079544', '0.010066478', '0.010067768', '0.009929807', '0.010076512', '0.010083730', '0.009904511', '0.010066863', '0.009934763', '0.009891593', '0.010064487', '0.009938778', '0.010074520', '0.009937656', '0.009930414', '0.010094285', '0.009928363', '0.010076086', '0.009893072', '0.010092963', '0.009941283', '0.010077129', '0.009940217', '0.010095051', '0.010070991', '0.009906949', '0.009928365', '0.010068461', '0.009937435', '0.010083133', '0.010065651']" 
1 TND View3 0.931 0.970 1.000 0.947 0.961 0.000 nan 1  44100.0 44100.0 "['0.010006623', '0.010038906', '0.009978481', '0.009976787', '0.010029742', '0.010009049', '0.010019664', '0.010000175', '0.010053704', '0.009979742', '0.009983146', '0.009997210', '0.009983773', '0.009909692', '0.010005328', '0.010057789', '0.009992898', '0.009920636', '0.010027496', '0.010021830', '0.010007120', '0.009962865', '0.010014622', '0.009986608', '0.010017592', '0.009969332', '0.010002335', '0.009980378', '0.010026224', '0.010047097', '0.010016325', '0.010072036', '0.010015650', '0.009983640', '0.010002848', '0.010019103', '0.009943994', '0.009977199', '0.009977882', '0.010096316', '0.009961026', '0.010047692', '0.010001713', '0.009962096', '0.010049121', '0.009889906', '0.010011785', '0.010019789', '0.010069620', '0.009973347', '0.009993948', '0.010006069', '0.010004687', '0.009951953', '0.010023531', '0.009987254', '0.010057390', '0.010021304', '0.009971573', '0.010023210', '0.010119513', '0.010021516', '0.010025014', '0.009998454', '0.009965806', '0.010004376', '0.010027093', '0.009949102', '0.009976091', '0.009990516', '0.009963944', '0.010012737', '0.010030496', '0.009979934', '0.009951251', '0.010012115', '0.009958490', '0.010011067', '0.010000630', '0.010013491', '0.009973575', '0.009991051', '0.009977202', '0.009988254', '0.010025887', '0.009983859', '0.009944172', '0.010001753', '0.009999240', '0.010024083', '0.009947416', '0.010006317', '0.009983293', '0.009996451', '0.010023352', '0.010016881', '0.010013263', '0.010001283', '0.009998713', '0.009953520']" 
1 TND View4 0.886 0.964 1.000 0.935 0.964 0.000 nan 1  44100.0 44100.0 "['0.009795314', '0.010132808', '0.010163257', '0.009775326', '0.009864381', '0.010208376', '0.010129706', '0.009870822', '0.009756643', '0.009765230', '0.009765659', '0.010183787', '0.009832866', '0.009846288', '0.010190117', '0.010135804', '0.010228154', '0.010188158', '0.010123698', '0.010185680', '0.009799328', '0.009834141', '0.009852607', '0.010125105', '0.010201727', '0.009831944', '0.009874936', '0.009739987', '0.009849106', '0.009831706', '0.010157345', '0.010217467', '0.010164416', '0.009813371', '0.009741602', '0.009820053', '0.009787325', '0.010116606', '0.010206552', '0.010193644', '0.010200396', '0.010176206', '0.010169044', '0.009792954', '0.010147412', '0.010103608', '0.009811923', '0.009870932', '0.009792114', '0.010142029', '0.009875850', '0.010144658', '0.009884093', '0.010152631', '0.009884654', '0.010199944', '0.009783860', '0.010175995', '0.009872528', '0.009830060', '0.009753349', '0.009826010', '0.009872974', '0.010178664', '0.010184643', '0.009866368', '0.009829993', '0.010242374', '0.010159664', '0.010190038', '0.010128591', '0.010127987', '0.009872799', '0.009859681', '0.009808453', '0.010169026', '0.010175901', '0.010149011', '0.010160720', '0.009787577', '0.009778861', '0.009828549', '0.009846822', '0.009772425', '0.010233348', '0.009837287', '0.010138009', '0.009801315', '0.009824000', '0.010224530', '0.010112158', '0.009824825', '0.010165527', '0.010231462', '0.009808522', '0.010196352', '0.010213801', '0.010169704', '0.010192983', '0.010143729']" 
1 TND Concatenated 0.944 0.982 1.000 0.968 0.977 0.000 nan 1  44100.0 44100.0 "['0.010158371', '0.009995478', '0.009938662', '0.009991679', '0.010050207', '0.010084843', '0.009989414', '0.010042690', '0.009934421', '0.009944223', '0.009986364', '0.009965508', '0.010006894', '0.009925960', '0.010163556', '0.010048783', '0.009983339', '0.010007825', '0.010021589', '0.009948228', '0.009977305', '0.009968345', '0.009989840', '0.009923121', '0.009966551', '0.009936870', '0.010026439', '0.009929297', '0.010005027', '0.010049647', '0.009956224', '0.010037036', '0.009961454', '0.010017890', '0.010030399', '0.010007032', '0.009926029', '0.010057478', '0.009967125', '0.010087524', '0.010039393', '0.009978993', '0.010033639', '0.009922462', '0.010095601', '0.009928419', '0.010011178', '0.010011778', '0.009923885', '0.010010392', '0.009954683', '0.009928720', '0.009986292', '0.009929766', '0.009970658', '0.009922336', '0.010022631', '0.009970694', '0.009958934', '0.010067533', '0.010028204', '0.010030480', '0.010005162', '0.009974162', '0.010004095', '0.009984077', '0.010026096', '0.010002910', '0.010084549', '0.009953281', '0.009958778', '0.010029472', '0.009975479', '0.010048039', '0.010007983', '0.009937465', '0.010068328', '0.009976223', '0.009955513', '0.009973703', '0.009929667', '0.009980803', '0.009968419', '0.009994427', '0.010028309', '0.010066995', '0.010007801', '0.009960021', '0.010119367', '0.010017213', '0.010042867', '0.009981163', '0.010022930', '0.009995106', '0.010118641', '0.009974118', '0.009969860', '0.010054835', '0.010034109', '0.010032668']" 
1 TND Multiview 0.854 0.969 1.000 0.944 0.983 0.027 0.000 [1.3319293] "[1.3708296 1.3736014 1.3806576 1.374791 ]" 44100.0 44100.0 "[['0.015180932', '0.004485170', '0.007432970', '0.011598635', '0.010796299', '0.011460445', '0.008619524', '0.007668788', '0.002462539', '0.007463947', '0.010050422', '0.012006229', '0.003907875', '0.007927893', '0.011724518', '0.005497857', '0.003874477', '0.011303401', '0.008181661', '0.009652257', '0.009928533', '0.006256847', '0.010872701', '0.013497702', '0.008842439', '0.008957372', '0.008603422', '0.009534165', '0.005849307', '0.014031338', '0.005171480', '0.005336328', '0.015085192', '0.010275464', '0.014597339', '0.013220151', '0.009683585', '0.008082892', '0.013516027', '0.011973170', '0.010625864', '0.012747929', '0.006007968', '0.011023010', '0.006158813', '0.013588392', '0.008802301', '0.006489641', '0.009391686', '0.011325512', '0.005123733', '0.008900383', '0.010941339', '0.009189503', '0.020605590', '0.015155359', '0.009929772', '0.009304600', '0.014196322', '0.010973794', '0.011460373', '0.010315645', '0.008878639', '0.007499462', '0.006170483', '0.013407563', '0.012531801', '0.009499135', '0.006558929', '0.008908662', '0.010005688', '0.009520907', '0.009126713', '0.017866215', '0.012514693', '0.010910838', '0.009251551', '0.011565706', '0.006887568', '0.008907023', '0.009765203', '0.009502405', '0.015949577', '0.010754228', '0.009756728', '0.009203483', '0.018412355', '0.010561259', '0.009853360', '0.010650179', '0.012191812', '0.009290900', '0.009383109', '0.011410578', '0.008967535', '0.012163525', '0.009039263', '0.008264177', '0.006506267', '0.011493694'], ['0.007619581', '0.015882449', '0.010560256', '0.009347903', '0.006702466', '0.005881897', '0.009466149', '0.013278238', '0.017370738', '0.007684940', '0.015560010', '0.005194136', '0.023515208', '0.009333511', '0.012571893', '0.006520377', '0.002844930', '0.014244340', '0.006582596', '0.010010802', '0.009069281', '0.012004297', '0.009198013', '0.008675717', '0.011487873', '0.012254924', '0.011959958', '0.011347654', '0.010840410', '0.009411395', '0.010797317', '0.011660021', '0.007051727', '0.007077380', '0.006628480', '0.009182881', '0.005743463', '0.009319311', '0.008505327', '0.006595296', '0.006839430', '0.010345923', '0.009058615', '0.008831438', '0.004881008', '0.010702008', '0.016036367', '0.005693730', '0.006937403', '0.008030973', '0.009167956', '0.011299892', '0.008749940', '0.014661997', '0.006719755', '0.010913738', '0.010613857', '0.012209650', '0.005692982', '0.008342567', '0.009771806', '0.011171324', '0.008678000', '0.012428209', '0.008025616', '0.011648074', '0.006244901', '0.010352197', '0.009247619', '0.012966507', '0.009233306', '0.006654662', '0.006391518', '0.007088565', '0.008979129', '0.012553470', '0.010966376', '0.017842257', '0.010078046', '0.007471293', '0.009588371', '0.009758983', '0.008659612', '0.010706205', '0.010084395', '0.006677162', '0.009037401', '0.008027816', '0.013861111', '0.010862461', '0.009737654', '0.018177675', '0.015957622', '0.009548514', '0.017570162', '0.013811977', '0.009679590', '0.008768113', '0.007003055', '0.009976896'], ['0.008656725', '0.010328691', '0.010581716', '0.011006651', '0.011433977', '0.011379913', '0.010704554', '0.008800351', '0.007757711', '0.013651375', '0.005992969', '0.012166823', '0.006642479', '0.010780824', '0.007663747', '0.016292522', '0.015127578', '0.007196132', '0.014855258', '0.010748978', '0.011299207', '0.008887829', '0.010448640', '0.008039003', '0.009603995', '0.009194924', '0.008223659', '0.008374951', '0.012880791', '0.008735055', '0.015386011', '0.014845007', '0.007858302', '0.009053372', '0.004801707', '0.007834992', '0.017344723', '0.010067389', '0.009182861', '0.009946065', '0.008091032', '0.006020567', '0.008214571', '0.009566537', '0.018180499', '0.010963387', '0.005917214', '0.008315934', '0.009491015', '0.011726408', '0.016122239', '0.010020070', '0.009752606', '0.007985380', '0.007777846', '0.004815650', '0.009785949', '0.008635683', '0.013536741', '0.010369966', '0.011656122', '0.008982324', '0.005925395', '0.010523410', '0.017946348', '0.005203912', '0.006394546', '0.009828509', '0.006196766', '0.008757873', '0.008699500', '0.013453686', '0.015624283', '0.006548835', '0.009396886', '0.011413026', '0.009520212', '0.003935635', '0.013375595', '0.007779909', '0.007015872', '0.011007766', '0.010035034', '0.009450064', '0.010586995', '0.008642156', '0.006723829', '0.010147578', '0.008982554', '0.008433249', '0.008731331', '0.009844894', '0.005687116', '0.009185429', '0.009907028', '0.006990010', '0.010964028', '0.017316725', '0.014642623', '0.015476159'], ['0.008447759', '0.009357662', '0.011217766', '0.008004040', '0.011042040', '0.011462130', '0.010878391', '0.010345675', '0.012517688', '0.011012112', '0.008442244', '0.010796172', '0.006343922', '0.011775166', '0.007987572', '0.011731112', '0.018366648', '0.007347033', '0.010396510', '0.009613943', '0.009561060', '0.012842901', '0.009655596', '0.009776362', '0.009852340', '0.009507447', '0.011281935', '0.010864485', '0.010401628', '0.007742174', '0.008721462', '0.008231635', '0.009953477', '0.013488507', '0.013949189', '0.009660519', '0.007474240', '0.012269859', '0.008709814', '0.011558066', '0.014327527', '0.010924186', '0.016716367', '0.010700626', '0.010827182', '0.004745768', '0.009252558', '0.019590618', '0.014076649', '0.008861667', '0.009681421', '0.009785988', '0.010396197', '0.008124369', '0.005000190', '0.009145925', '0.009793593', '0.009818696', '0.006556507', '0.010101377', '0.006998714', '0.009520825', '0.016575316', '0.009836182', '0.007996946', '0.009782840', '0.014793139', '0.010454048', '0.017917790', '0.009336765', '0.011964695', '0.010300607', '0.008815286', '0.008524626', '0.008931670', '0.005181411', '0.010303586', '0.006921777', '0.009625209', '0.015769519', '0.013638782', '0.009388449', '0.005323674', '0.009066407', '0.009662919', '0.015636373', '0.005847533', '0.011104867', '0.007260581', '0.009807486', '0.009115205', '0.002955613', '0.009003225', '0.009557819', '0.003689456', '0.007143431', '0.010493676', '0.005763062', '0.011784785', '0.003190040']]" "['0.250687093', '0.247527719', '0.250218958', '0.251566231']"
1 TND_inv View1 0.902 0.968 3.789 0.943 0.965 0.000 nan 1  44100.0 44100.0 "['0.010008262', '0.009940253', '0.009888169', '0.010027940', '0.010017912', '0.010068459', '0.009895800', '0.009996500', '0.009855766', '0.009875532', '0.010025007', '0.010059970', '0.009989864', '0.009899673', '0.010021430', '0.009964524', '0.009967215', '0.010043076', '0.009995888', '0.010030101', '0.009970217', '0.009967733', '0.010090992', '0.010056100', '0.009918815', '0.009974663', '0.010009553', '0.010049718', '0.009947076', '0.010033773', '0.009945730', '0.009954510', '0.010047544', '0.009984463', '0.010041524', '0.010023160', '0.010039679', '0.009868759', '0.010029270', '0.010057493', '0.009992926', '0.010056028', '0.009900162', '0.010084345', '0.009960822', '0.010056348', '0.009982103', '0.009935751', '0.009974392', '0.010012638', '0.009914434', '0.009992889', '0.010008037', '0.009980886', '0.010124017', '0.010090576', '0.010059749', '0.009995025', '0.010058015', '0.009979523', '0.010021737', '0.010054664', '0.010007571', '0.009955171', '0.009948260', '0.010089500', '0.010050068', '0.010045966', '0.009879416', '0.009953076', '0.010005101', '0.009985545', '0.009981683', '0.010127519', '0.010056407', '0.010032256', '0.010009350', '0.010075157', '0.009920179', '0.009975529', '0.010012189', '0.009864421', '0.010084933', '0.010092342', '0.010060066', '0.010034922', '0.010125355', '0.010010174', '0.009946219', '0.009927145', '0.010044716', '0.009971795', '0.009941733', '0.009987406', '0.009921016', '0.010087442', '0.010066207', '0.009948120', '0.009889632', '0.010069292']" 
1 TND_inv View2 0.956 0.980 3.872 0.964 0.967 0.000 nan 1  44100.0 44100.0 "['0.010037770', '0.010033185', '0.009982116', '0.009932851', '0.010009156', '0.010012312', '0.009970299', '0.009986897', '0.009939580', '0.009894120', '0.010031067', '0.009979124', '0.010027527', '0.009985593', '0.009938364', '0.010003425', '0.009987131', '0.009968673', '0.010032395', '0.010021021', '0.009972154', '0.009982435', '0.010112759', '0.009947426', '0.009974540', '0.009898321', '0.010073071', '0.009971285', '0.009990253', '0.010037435', '0.009990589', '0.010007967', '0.009969189', '0.010081997', '0.010048202', '0.010006731', '0.010018961', '0.010041188', '0.009931284', '0.010041388', '0.009949239', '0.009983213', '0.010046518', '0.010019952', '0.009974129', '0.010018369', '0.010105074', '0.009973833', '0.010035998', '0.009958544', '0.009994298', '0.010057533', '0.009964295', '0.009930258', '0.009962635', '0.010004778', '0.010021138', '0.010041599', '0.009990189', '0.009942826', '0.009946232', '0.009982978', '0.010057461', '0.010040086', '0.010024312', '0.010091318', '0.009928109', '0.010013389', '0.009905531', '0.010048966', '0.010013402', '0.010016973', '0.009972245', '0.010040936', '0.010059621', '0.009924208', '0.010014470', '0.009982253', '0.009902389', '0.010007923', '0.009990433', '0.010035560', '0.009988144', '0.009973463', '0.010083845', '0.009969353', '0.010039792', '0.009904784', '0.010081027', '0.009995541', '0.010042593', '0.009993372', '0.010085448', '0.010025883', '0.009928546', '0.009969357', '0.010018887', '0.009987692', '0.010058134', '0.010011124']" 
1 TND_inv View3 0.932 0.970 3.805 0.947 0.961 0.000 nan 1  44100.0 44100.0 "['0.009972170', '0.010085854', '0.009948645', '0.009947261', '0.009992599', '0.010047788', '0.009983533', '0.009966677', '0.010103066', '0.010005364', '0.010010565', '0.010031289', '0.010011515', '0.009892785', '0.010042693', '0.010107647', '0.010025068', '0.009901807', '0.010071870', '0.010064673', '0.009972597', '0.009935954', '0.010055264', '0.009955331', '0.009981702', '0.009941190', '0.009968508', '0.010006341', '0.009989404', '0.010095504', '0.009980589', '0.010123096', '0.010056625', '0.010011313', '0.009968944', '0.009983038', '0.009920743', '0.009947598', '0.010002496', '0.010147722', '0.009934468', '0.010096193', '0.010037663', '0.009935332', '0.010097844', '0.009876077', '0.010051480', '0.009983644', '0.010120532', '0.009944454', '0.009961437', '0.010043714', '0.010041809', '0.009927155', '0.010066851', '0.010016743', '0.010107202', '0.009984990', '0.009943011', '0.009986692', '0.010169497', '0.009985180', '0.009988311', '0.009965222', '0.009938332', '0.009970247', '0.010071362', '0.009924857', '0.009999712', '0.010021579', '0.009936826', '0.009977451', '0.009993288', '0.010005662', '0.009926588', '0.010051922', '0.009932421', '0.010050517', '0.010036142', '0.009978107', '0.009944640', '0.009959017', '0.009947599', '0.009956693', '0.010069842', '0.009953061', '0.009920887', '0.009968013', '0.009965886', '0.010067556', '0.009923500', '0.009971907', '0.010010789', '0.009963537', '0.010066624', '0.010058245', '0.010053458', '0.009967615', '0.009965440', '0.009928416']" 
1 TND_inv View4 0.886 0.964 3.760 0.935 0.964 0.000 nan 1  44100.0 44100.0 "['0.009898944', '0.010032455', '0.010060925', '0.009876090', '0.009971383', '0.010108763', '0.010029677', '0.009977633', '0.009854235', '0.009864317', '0.009864818', '0.010081710', '0.009939620', '0.009953398', '0.010088434', '0.010035153', '0.010132437', '0.010086336', '0.010024353', '0.010083704', '0.009903438', '0.009940946', '0.009959753', '0.010025595', '0.010101195', '0.009938659', '0.009981586', '0.009834664', '0.009956243', '0.009938410', '0.010055201', '0.010119424', '0.010062062', '0.009918896', '0.009836556', '0.009926095', '0.009889894', '0.010018152', '0.010106668', '0.010092249', '0.010099703', '0.010073861', '0.010066636', '0.009896279', '0.010045812', '0.010007043', '0.009917323', '0.009977737', '0.009895333', '0.010040826', '0.009982461', '0.010043255', '0.009990272', '0.010050709', '0.009990787', '0.010099199', '0.009885933', '0.010073643', '0.009979277', '0.009936689', '0.009850362', '0.009932430', '0.009979705', '0.010076380', '0.010082611', '0.009973321', '0.009936619', '0.010150627', '0.010057434', '0.010088349', '0.010028685', '0.010028149', '0.009979537', '0.009966776', '0.009913533', '0.010066618', '0.010073547', '0.010047304', '0.010058456', '0.009890181', '0.009880181', '0.009935107', '0.009953942', '0.009872719', '0.010138955', '0.009944201', '0.010037155', '0.009905650', '0.009930300', '0.010127963', '0.010014306', '0.009931177', '0.010063153', '0.010136573', '0.009913607', '0.010095216', '0.010115080', '0.010067292', '0.010091532', '0.010042394']" 
