Run Bound_name View Risk Gibbs_Risk Bound Join_Error Disagreement KL_QP KL_RhoPi n_labeled n_all Posterior_Qv Posterior_rho
1 TND View1 0.058 0.053 0.285 0.052 0.003 0.000 nan 2400.0 2400.0 "['0.009972550', '0.009899999', '0.009973416', '0.010045058', '0.010045058', '0.009899999', '0.009899999', '0.009976885', '0.009981235', '0.010233034', '0.009899999', '0.009982980', '0.010045058', '0.010091241', '0.009979495', '0.009899999', '0.010092163', '0.010094463', '0.010404260', '0.009899999', '0.010136984', '0.009975150', '0.009899999', '0.009899999', '0.009899999', '0.010045058', '0.010043501', '0.010046093', '0.009976885', '0.009899999', '0.009899999', '0.010045058', '0.009899999', '0.009976885', '0.010404260', '0.009899999', '0.009899999', '0.009899999', '0.009899999', '0.009899999', '0.009899999', '0.010045058', '0.009899999', '0.010045058', '0.009899999', '0.009978624', '0.009899999', '0.010045058', '0.010301168', '0.009899999', '0.009899999', '0.009971685', '0.009976885', '0.009899999', '0.009976018', '0.009899999', '0.009976885', '0.010047638', '0.009981235', '0.010301168', '0.009899999', '0.009899999', '0.009899999', '0.009899999', '0.010182205', '0.009899999', '0.010045058', '0.009899999', '0.009980365', '0.010094463', '0.009976018', '0.009899999', '0.010113448', '0.010049687', '0.009899999', '0.009899999', '0.009899999', '0.010403037', '0.009977754', '0.010045058', '0.009899999', '0.009899999', '0.009977754', '0.009899999', '0.009899999', '0.010046093', '0.009899999', '0.010045058', '0.010404260', '0.010404260', '0.010047638', '0.009899999', '0.009899999', '0.010404260', '0.009972550', '0.009899999', '0.009899999', '0.010137431', '0.009980365', '0.009899999']" 
1 TND View2 0.058 0.053 0.288 0.052 0.001 0.000 nan 2400.0 2400.0 "['0.010041984', '0.009962380', '0.009962380', '0.009962380', '0.009962380', '0.009962380', '0.009962380', '0.009962380', '0.009962380', '0.009962380', '0.009962380', '0.009962380', '0.009962380', '0.009962380', '0.009962380', '0.010040097', '0.010154435', '0.009962380', '0.009962380', '0.009962380', '0.009962380', '0.009962380', '0.009962380', '0.009962380', '0.009962380', '0.009962380', '0.009962380', '0.009962380', '0.010042612', '0.009962380', '0.009962380', '0.010042612', '0.010039470', '0.009962380', '0.009962380', '0.010041984', '0.009962380', '0.010041984', '0.009962380', '0.010449219', '0.009962380', '0.009962380', '0.009962380', '0.010040097', '0.009962380', '0.010041354', '0.009962380', '0.009962380', '0.009962380', '0.010219811', '0.009962380', '0.010041984', '0.009962380', '0.009962380', '0.010763616', '0.009962380', '0.009962380', '0.009962380', '0.010040097', '0.009962380', '0.009962380', '0.009962380', '0.009962380', '0.010041984', '0.009962380', '0.010041984', '0.009962380', '0.009962380', '0.009962380', '0.009962380', '0.009962380', '0.009962380', '0.009962380', '0.009962380', '0.009962380', '0.009962380', '0.009962380', '0.009962380', '0.009962380', '0.009962380', '0.009962380', '0.009962380', '0.009962380', '0.009962380', '0.009962380', '0.009962380', '0.010041984', '0.009962380', '0.009962380', '0.009962380', '0.010040726', '0.010219121', '0.009962380', '0.009962380', '0.009962380', '0.009962380', '0.010220502', '0.009962380', '0.010286772', '0.009962380']" 
1 TND View3 0.058 0.053 0.282 0.051 0.004 0.000 nan 2400.0 2400.0 "['0.009850629', '0.009850629', '0.009850629', '0.009850629', '0.009850629', '0.009850629', '0.010346739', '0.009850629', '0.009978883', '0.010051176', '0.009850629', '0.009850629', '0.009850629', '0.010177306', '0.010299660', '0.009850629', '0.009850629', '0.009850629', '0.009850629', '0.009850629', '0.009850629', '0.009850629', '0.009850629', '0.009850629', '0.009850629', '0.009850629', '0.010090524', '0.009978883', '0.009983696', '0.009850629', '0.009850629', '0.009850629', '0.009850629', '0.009850629', '0.010051981', '0.009924971', '0.009850629', '0.009850629', '0.009983696', '0.009977283', '0.009850629', '0.010008767', '0.010572142', '0.009983696', '0.009850629', '0.009850629', '0.009961416', '0.010392905', '0.009850629', '0.010407529', '0.009850629', '0.009850629', '0.009983696', '0.010573138', '0.009850629', '0.010554150', '0.009850629', '0.009850629', '0.009978883', '0.009850629', '0.009850629', '0.009850629', '0.009923432', '0.009850629', '0.009850629', '0.010386113', '0.010323072', '0.010404597', '0.009850629', '0.009850629', '0.010391935', '0.010558154', '0.009850629', '0.010395823', '0.009850629', '0.010314615', '0.009850629', '0.009850629', '0.009850629', '0.009976482', '0.009850629', '0.010235382', '0.009983696', '0.009983696', '0.009850629', '0.010558154', '0.010391935', '0.009978883', '0.009978883', '0.009850629', '0.009850629', '0.010177306', '0.010464851', '0.009983696', '0.009924971', '0.009924971', '0.010405574', '0.010159759', '0.009978883', '0.009850629']" 
1 TND View4 0.058 0.053 0.289 0.053 0.001 0.000 nan 2400.0 2400.0 "['0.009984883', '0.009984883', '0.010048005', '0.009984883', '0.009984883', '0.009984883', '0.009984883', '0.009984883', '0.009984883', '0.009984883', '0.009984883', '0.009984883', '0.009984883', '0.009984883', '0.009984883', '0.009984883', '0.009984883', '0.010043846', '0.009984883', '0.009984883', '0.009984883', '0.009984883', '0.009984883', '0.009984883', '0.009984883', '0.009984883', '0.009984883', '0.009984883', '0.009984883', '0.009984883', '0.009984883', '0.009984883', '0.009984883', '0.009984883', '0.010211932', '0.009984883', '0.009984883', '0.009984883', '0.009984883', '0.010043846', '0.009984883', '0.009984883', '0.009984883', '0.009984883', '0.010043846', '0.010043846', '0.009984883', '0.009984883', '0.010043253', '0.009984883', '0.009984883', '0.010214218', '0.009984883', '0.009984883', '0.009984883', '0.009984883', '0.010047412', '0.009984883', '0.010044442', '0.010096250', '0.009984883', '0.009984883', '0.009984883', '0.009984883', '0.009984883', '0.009984883', '0.009984883', '0.010043846', '0.009984883', '0.009984883', '0.009984883', '0.009984883', '0.009984883', '0.009984883', '0.010043846', '0.009984883', '0.010043846', '0.010044442', '0.009984883', '0.009984883', '0.009984883', '0.009984883', '0.010096250', '0.009984883', '0.009984883', '0.009984883', '0.009984883', '0.009984883', '0.009984883', '0.009984883', '0.009984883', '0.009984883', '0.009984883', '0.010042660', '0.009984883', '0.009984883', '0.009984883', '0.010043846', '0.009984883', '0.009984883']" 
1 TND View5 0.058 0.053 0.288 0.052 0.001 0.012 nan 2400.0 2400.0 "['0.010781858', '0.009431116', '0.007216203', '0.010781858', '0.010781858', '0.010781858', '0.010781858', '0.010781858', '0.006892571', '0.007563076', '0.010781858', '0.010781858', '0.010781858', '0.010781858', '0.010781858', '0.006918684', '0.010781858', '0.010781858', '0.007965736', '0.007241448', '0.007219357', '0.008867501', '0.007209911', '0.010781858', '0.010781858', '0.007219357', '0.010781858', '0.010781858', '0.010781858', '0.010781858', '0.010781858', '0.010781858', '0.010781858', '0.006962695', '0.010781858', '0.010781858', '0.010781858', '0.010781858', '0.007209911', '0.007653007', '0.010781858', '0.010781858', '0.010781858', '0.010781858', '0.010781858', '0.010781858', '0.010781858', '0.007506834', '0.010781858', '0.010781858', '0.010781858', '0.010781858', '0.010781858', '0.010781858', '0.010781858', '0.008253564', '0.010781858', '0.010781858', '0.010781858', '0.010781858', '0.006945019', '0.010781858', '0.010781858', '0.010781858', '0.010781858', '0.010781858', '0.010781858', '0.010781858', '0.010781858', '0.010781858', '0.007932048', '0.010781858', '0.010781858', '0.007200491', '0.010781858', '0.010781858', '0.010781858', '0.010781858', '0.010781858', '0.010781858', '0.007523337', '0.010781858', '0.010781858', '0.010781858', '0.006945019', '0.010781858', '0.010781858', '0.007197357', '0.010781858', '0.010781858', '0.010781858', '0.010781858', '0.010781858', '0.010781858', '0.007250951', '0.010781858', '0.008253564', '0.010781858', '0.010781858', '0.010781858']" 
1 TND Concatenated 0.058 0.053 0.284 0.051 0.003 0.000 nan 2400.0 2400.0 "['0.010056331', '0.009953202', '0.009895233', '0.009895233', '0.010063084', '0.009895233', '0.010664199', '0.009786384', '0.009895233', '0.010056331', '0.009895233', '0.009895233', '0.009977366', '0.010695470', '0.009895233', '0.009895233', '0.010064214', '0.009895233', '0.009895233', '0.009895233', '0.009895233', '0.009895233', '0.010655479', '0.009895233', '0.009895233', '0.010179752', '0.009895233', '0.009895233', '0.010056331', '0.010493053', '0.010080049', '0.009895233', '0.009895233', '0.009895233', '0.010225365', '0.010041873', '0.009895233', '0.009895233', '0.010618836', '0.010772565', '0.009895233', '0.009895233', '0.010419942', '0.010721487', '0.010080049', '0.009895233', '0.009895233', '0.010056331', '0.009895233', '0.010056331', '0.010701128', '0.009823267', '0.009895233', '0.009895233', '0.009895233', '0.010087408', '0.009895233', '0.009895233', '0.010063084', '0.010056331', '0.009895233', '0.010056331', '0.009895233', '0.009727625', '0.010618836', '0.009727238', '0.010095097', '0.009823267', '0.009895233', '0.009786384', '0.009812740', '0.009895233', '0.009895233', '0.009948977', '0.009895233', '0.009895233', '0.009895233', '0.009895233', '0.010049248', '0.009895233', '0.009895233', '0.010111420', '0.009945056', '0.010013504', '0.009895233', '0.009895233', '0.009798677', '0.009895233', '0.009895233', '0.009895233', '0.009895233', '0.009895233', '0.009895233', '0.009895233', '0.009895233', '0.009895233', '0.009952171', '0.009895233', '0.009895233', '0.009895233']" 
1 TND Multiview 0.058 0.053 0.287 0.052 0.002 0.015 0.000 2400.0 2400.0 "[['0.008549666', '0.009354681', '0.009748879', '0.009958956', '0.010001166', '0.009424362', '0.009424362', '0.010217863', '0.010045003', '0.016248643', '0.008467196', '0.010076844', '0.009943491', '0.010515548', '0.009977305', '0.009493960', '0.010704484', '0.010275587', '0.014903633', '0.009550204', '0.012262230', '0.010293067', '0.009728648', '0.009496934', '0.009572592', '0.008277214', '0.010768959', '0.009929942', '0.009208801', '0.009872894', '0.009352351', '0.006652238', '0.008079752', '0.010117789', '0.017141042', '0.009338558', '0.009338558', '0.009453300', '0.010041047', '0.009794478', '0.009417175', '0.009187708', '0.009447388', '0.008502424', '0.009811314', '0.008600764', '0.009494440', '0.010233711', '0.012612439', '0.009468231', '0.009753079', '0.008331912', '0.010085470', '0.009518547', '0.008707142', '0.009878243', '0.009871929', '0.010211460', '0.009848247', '0.012511015', '0.009596799', '0.009420209', '0.009704305', '0.009480355', '0.011047137', '0.009551194', '0.010446122', '0.009497087', '0.010069201', '0.009903164', '0.009957452', '0.009583539', '0.009915653', '0.009692516', '0.008721654', '0.009590603', '0.008698422', '0.011745566', '0.009948754', '0.009369576', '0.009925636', '0.009792659', '0.009457713', '0.009586453', '0.009586453', '0.010205904', '0.008918026', '0.010201821', '0.012274263', '0.011273833', '0.010359692', '0.009794054', '0.009928904', '0.011247227', '0.010098042', '0.009961799', '0.009819837', '0.011002989', '0.009775197', '0.009755365'], ['0.008359272', '0.010554695', '0.009923560', '0.010238797', '0.010027031', '0.010602559', '0.010602559', '0.010395900', '0.010040552', '0.008782926', '0.008761119', '0.010007421', '0.010233514', '0.010033975', '0.010061692', '0.010559050', '0.009938047', '0.009140108', '0.007619387', '0.010506365', '0.009281238', '0.010314970', '0.010069569', '0.010394344', '0.010490339', '0.007999063', '0.010377063', '0.010173276', '0.009897075', '0.009963266', '0.011781796', '0.024575878', '0.008310007', '0.010327601', '0.008493174', '0.010170395', '0.010170395', '0.010325135', '0.009763030', '0.010048828', '0.010308004', '0.009166044', '0.010309820', '0.008452897', '0.010067578', '0.009102410', '0.010366336', '0.009926736', '0.008436266', '0.010223463', '0.009975655', '0.008765622', '0.010044754', '0.010295585', '0.009231295', '0.009750827', '0.010696393', '0.010803751', '0.009865621', '0.009392592', '0.009370591', '0.010078746', '0.010074884', '0.010175563', '0.009118263', '0.010243830', '0.010039117', '0.010667501', '0.010035027', '0.010057943', '0.010146672', '0.010232049', '0.010038344', '0.009781000', '0.009522115', '0.010192175', '0.009602098', '0.008788169', '0.010498804', '0.009393504', '0.010026198', '0.009925151', '0.009889795', '0.010109748', '0.010109748', '0.009976037', '0.009689204', '0.009940395', '0.009274934', '0.009698061', '0.010339233', '0.009869207', '0.010076006', '0.009242475', '0.009988724', '0.009966218', '0.010066563', '0.009691135', '0.009548208', '0.010020007'], ['0.014681788', '0.008842996', '0.009705741', '0.009279805', '0.009602728', '0.008886833', '0.008886833', '0.008798527', '0.009476926', '0.007924417', '0.013848652', '0.009280597', '0.009283868', '0.009225645', '0.009461455', '0.008879433', '0.009070768', '0.009340845', '0.011786571', '0.008866267', '0.008863588', '0.008780107', '0.009626932', '0.008796838', '0.008863562', '0.016300522', '0.008990679', '0.009303028', '0.008796421', '0.009385867', '0.009075533', '0.006733140', '0.012927625', '0.008782861', '0.007762483', '0.009845464', '0.009845464', '0.009298217', '0.009549226', '0.009332293', '0.008747133', '0.013405086', '0.009291314', '0.016066868', '0.009705438', '0.014390476', '0.008841826', '0.008937783', '0.012940382', '0.009296719', '0.009274374', '0.016441770', '0.009359624', '0.008833362', '0.014443657', '0.009530379', '0.008679397', '0.008925875', '0.009143401', '0.011516885', '0.011274117', '0.009797104', '0.008989971', '0.009279408', '0.008236738', '0.008834881', '0.008704706', '0.009172386', '0.009355238', '0.009469675', '0.008775890', '0.008829681', '0.009341793', '0.010476512', '0.013694040', '0.008825270', '0.012165500', '0.015434667', '0.008666690', '0.014475125', '0.009371330', '0.009254123', '0.009181841', '0.008816811', '0.008816811', '0.008718044', '0.013765894', '0.009310964', '0.008985034', '0.009068332', '0.008596771', '0.009190308', '0.009484419', '0.008640477', '0.009613615', '0.009394489', '0.009766662', '0.010207111', '0.013457700', '0.008797578'], ['0.009475312', '0.010264275', '0.010103174', '0.010122359', '0.010130359', '0.010323775', '0.010323775', '0.010138496', '0.010242147', '0.008623435', '0.009562537', '0.010061542', '0.010133217', '0.010028308', '0.010157849', '0.010332731', '0.010119145', '0.011851314', '0.008537210', '0.010330512', '0.009816128', '0.010156909', '0.010165364', '0.010246194', '0.010334906', '0.009327462', '0.009922069', '0.010152640', '0.012264640', '0.010118689', '0.009848706', '0.007561413', '0.011700462', '0.010215514', '0.008434615', '0.010184924', '0.010184924', '0.010283338', '0.010222551', '0.010409322', '0.010877467', '0.009439082', '0.010269367', '0.009293655', '0.009995595', '0.009319497', '0.010400739', '0.009962574', '0.008524032', '0.010306098', '0.010666722', '0.008752945', '0.010010450', '0.010424721', '0.009158791', '0.010236926', '0.010208784', '0.009989448', '0.009970488', '0.008711395', '0.009871093', '0.010200901', '0.009773541', '0.010348796', '0.009298217', '0.010480468', '0.010260146', '0.010199764', '0.010045438', '0.010160576', '0.010380532', '0.010472943', '0.010209690', '0.010226654', '0.009251696', '0.010486524', '0.011903772', '0.007633664', '0.010275869', '0.008495717', '0.010081682', '0.010108230', '0.012621887', '0.010509846', '0.010509846', '0.010351826', '0.009023357', '0.010132045', '0.009720410', '0.009889252', '0.010190312', '0.010051686', '0.010151888', '0.008940602', '0.010045283', '0.010236784', '0.010056266', '0.009464525', '0.008481888', '0.010525362'], ['0.009519575', '0.010533626', '0.010347139', '0.010136859', '0.010156488', '0.010296315', '0.010296315', '0.010111808', '0.009992103', '0.008586129', '0.009569927', '0.010356022', '0.010134584', '0.010045742', '0.010177677', '0.010282146', '0.010118331', '0.010031145', '0.008533039', '0.010309981', '0.009827837', '0.010136954', '0.010196190', '0.010684359', '0.010306578', '0.009269412', '0.009896485', '0.010172961', '0.009785301', '0.010329189', '0.009877184', '0.007585153', '0.009235566', '0.010240570', '0.008446284', '0.010209779', '0.010209779', '0.010308543', '0.010231963', '0.010165532', '0.010329225', '0.009498999', '0.010349574', '0.008838969', '0.010205901', '0.009378699', '0.010498734', '0.010958262', '0.008569135', '0.010387244', '0.010125133', '0.008814724', '0.010214902', '0.010540057', '0.009245199', '0.010447829', '0.010304041', '0.010079619', '0.011096488', '0.008759811', '0.009921903', '0.010273155', '0.011590492', '0.010406423', '0.012262002', '0.010514126', '0.010293044', '0.010231704', '0.010212827', '0.010204634', '0.010422062', '0.010514878', '0.010260552', '0.009617236', '0.008803125', '0.010545314', '0.008487226', '0.007672725', '0.010364823', '0.008301830', '0.010285454', '0.010756915', '0.009242022', '0.010628778', '0.010628778', '0.010467606', '0.008595934', '0.010205797', '0.009788341', '0.009957042', '0.010310372', '0.011004855', '0.010207951', '0.012388276', '0.010205495', '0.010388250', '0.010118900', '0.009515816', '0.008516590', '0.010593562']]" "['0.200936362', '0.199229091', '0.201349527', '0.199286059', '0.199198931']"
1 TND_inv View1 0.058 0.053 0.284 0.052 0.003 0.000 nan 2400.0 2400.0 "['0.009950494', '0.009884007', '0.009951227', '0.010016554', '0.010016554', '0.009884007', '0.009884007', '0.009954149', '0.009957780', '0.010376128', '0.009884007', '0.009959226', '0.010016554', '0.010099052', '0.009956330', '0.009884007', '0.010100836', '0.010105307', '0.010557732', '0.009884007', '0.010192465', '0.009952690', '0.009884007', '0.009884007', '0.009884007', '0.010016554', '0.010014028', '0.010018241', '0.009954149', '0.009884007', '0.009884007', '0.010016554', '0.009884007', '0.009954149', '0.010557732', '0.009884007', '0.009884007', '0.009884007', '0.009884007', '0.009884007', '0.009884007', '0.010016554', '0.009884007', '0.010016554', '0.009884007', '0.009955605', '0.009884007', '0.010016554', '0.010465347', '0.009884007', '0.009884007', '0.009949761', '0.009954149', '0.009884007', '0.009953420', '0.009884007', '0.009954149', '0.010020775', '0.009957780', '0.010465347', '0.009884007', '0.009884007', '0.009884007', '0.009884007', '0.010286492', '0.009884007', '0.010016554', '0.009884007', '0.009957056', '0.010105307', '0.009953420', '0.009884007', '0.010143314', '0.010024161', '0.009884007', '0.009884007', '0.009884007', '0.010556850', '0.009954877', '0.010016554', '0.009884007', '0.009884007', '0.009954877', '0.009884007', '0.009884007', '0.010018241', '0.009884007', '0.010016554', '0.010557732', '0.010557732', '0.010020775', '0.009884007', '0.009884007', '0.010557732', '0.009950494', '0.009884007', '0.009884007', '0.010193406', '0.009957056', '0.009884007']" 
1 TND_inv View2 0.058 0.053 0.288 0.052 0.001 0.000 nan 2400.0 2400.0 "['0.010084261', '0.009953092', '0.009953092', '0.009953092', '0.009953092', '0.009953092', '0.009953092', '0.009953092', '0.009953092', '0.009953092', '0.009953092', '0.009953092', '0.009953092', '0.009953092', '0.009953092', '0.010083137', '0.010158909', '0.009953092', '0.009953092', '0.009953092', '0.009953092', '0.009953092', '0.009953092', '0.009953092', '0.009953092', '0.009953092', '0.009953092', '0.009953092', '0.010084637', '0.009953092', '0.009953092', '0.010084637', '0.010082762', '0.009953092', '0.009953092', '0.010084261', '0.009953092', '0.010084261', '0.009953092', '0.010444716', '0.009953092', '0.009953092', '0.009953092', '0.010083137', '0.009953092', '0.010083885', '0.009953092', '0.009953092', '0.009953092', '0.010210795', '0.009953092', '0.010084261', '0.009953092', '0.009953092', '0.010893183', '0.009953092', '0.009953092', '0.009953092', '0.010083137', '0.009953092', '0.009953092', '0.009953092', '0.009953092', '0.010084261', '0.009953092', '0.010084261', '0.009953092', '0.009953092', '0.009953092', '0.009953092', '0.009953092', '0.009953092', '0.009953092', '0.009953092', '0.009953092', '0.009953092', '0.009953092', '0.009953092', '0.009953092', '0.009953092', '0.009953092', '0.009953092', '0.009953092', '0.009953092', '0.009953092', '0.009953092', '0.010084261', '0.009953092', '0.009953092', '0.009953092', '0.010083511', '0.010210210', '0.009953092', '0.009953092', '0.009953092', '0.009953092', '0.010211378', '0.009953092', '0.010270877', '0.009953092']" 
1 TND_inv View3 0.058 0.053 0.282 0.051 0.004 0.000 nan 2400.0 2400.0 "['0.009844532', '0.009844532', '0.009844532', '0.009844532', '0.009844532', '0.009844532', '0.010363078', '0.009844532', '0.009970942', '0.010055396', '0.009844532', '0.009844532', '0.009844532', '0.010182001', '0.010311982', '0.009844532', '0.009844532', '0.009844532', '0.009844532', '0.009844532', '0.009844532', '0.009844532', '0.009844532', '0.009844532', '0.009844532', '0.009844532', '0.010093819', '0.009970942', '0.009975443', '0.009844532', '0.009844532', '0.009844532', '0.009844532', '0.009844532', '0.010056171', '0.009918625', '0.009844532', '0.009844532', '0.009975443', '0.009969437', '0.009844532', '0.010015300', '0.010611276', '0.009975443', '0.009844532', '0.009844532', '0.009954250', '0.010413541', '0.009844532', '0.010429583', '0.009844532', '0.009844532', '0.009975443', '0.010612376', '0.009844532', '0.010591368', '0.009844532', '0.009844532', '0.009970942', '0.009844532', '0.009844532', '0.009844532', '0.009917120', '0.009844532', '0.009844532', '0.010406098', '0.010337338', '0.010426365', '0.009844532', '0.009844532', '0.010412477', '0.010595799', '0.009844532', '0.010416740', '0.009844532', '0.010328165', '0.009844532', '0.009844532', '0.009844532', '0.009968683', '0.009844532', '0.010243064', '0.009975443', '0.009975443', '0.009844532', '0.010595799', '0.010412477', '0.009970942', '0.009970942', '0.009844532', '0.009844532', '0.010182001', '0.010492667', '0.009975443', '0.009918625', '0.009918625', '0.010427437', '0.010163840', '0.009970942', '0.009844532']" 
