Run Bound_name View Risk Gibbs_Risk Bound Join_Error Disagreement DIV_QP DIV_RhoPi alpha n_labeled n_all Posterior_Qv Posterior_rho
1 TND View1 0.285 0.333 0.775 0.147 0.454 0.003 nan 1.1 961.0 961.0 "['0.016804637', '0.010492290', '0.009623033', '0.010433971', '0.009488253', '0.009479629', '0.009477859', '0.010413352', '0.010548503', '0.009618414', '0.010441724', '0.009870419', '0.009622693', '0.010549935', '0.009580583', '0.009721860', '0.010479795', '0.009722350', '0.010188072', '0.009963134', '0.009759250', '0.009769652', '0.010599431', '0.009486475', '0.010438238', '0.010002960', '0.010469872', '0.009010026', '0.009595600', '0.009780627', '0.009193255', '0.010607915', '0.010555609', '0.009603236', '0.009618245', '0.009870458', '0.010306968', '0.010298010', '0.009480080', '0.010427038', '0.010322914', '0.009872023', '0.010437162', '0.009475824', '0.009946047', '0.010404270', '0.009462576', '0.009715562', '0.010345700', '0.009617457', '0.006690737', '0.010560687', '0.010385713', '0.009918460', '0.010273011', '0.010773459', '0.009616855', '0.010461020', '0.010011693', '0.009610735', '0.010582395', '0.009742335', '0.009773487', '0.010457037', '0.010415262', '0.010438580', '0.010333861', '0.009893049', '0.010194425', '0.010412563', '0.009871498', '0.009477112', '0.009478981', '0.009767818', '0.009617815', '0.009587590', '0.009872794', '0.009618259', '0.009786752', '0.010394508', '0.010427730', '0.009671491', '0.010536998', '0.009573056', '0.009766530', '0.010603782', '0.009685770', '0.009870862', '0.009539949', '0.008561552', '0.010358313', '0.010451458', '0.009496838', '0.009597131', '0.009511415', '0.009603061', '0.009684711', '0.009656426', '0.010603472', '0.009787987']" 
1 TND View2 0.318 0.328 0.771 0.146 0.446 0.003 nan 1.1 961.0 961.0 "['0.009764959', '0.010580536', '0.009306251', '0.010203601', '0.009577830', '0.009435351', '0.009277424', '0.009491163', '0.010049069', '0.011074697', '0.009658174', '0.010972596', '0.008828508', '0.010764587', '0.011253976', '0.009461829', '0.011025283', '0.009409214', '0.009172760', '0.010230159', '0.009249787', '0.009755001', '0.009825818', '0.010719563', '0.009919087', '0.010082798', '0.010251528', '0.010177637', '0.010130061', '0.010418473', '0.011264462', '0.010821064', '0.008596934', '0.010312314', '0.008849513', '0.010227840', '0.009488123', '0.008703191', '0.010329167', '0.008509824', '0.010494479', '0.010151960', '0.009661987', '0.011139739', '0.011546427', '0.009810452', '0.008252664', '0.010148373', '0.010983377', '0.009881505', '0.009755001', '0.010717407', '0.009151351', '0.010864863', '0.008614940', '0.010545912', '0.010001050', '0.010002661', '0.008423013', '0.010256800', '0.010162296', '0.009866024', '0.010762430', '0.009943779', '0.010393484', '0.009656268', '0.009996979', '0.010205178', '0.010324780', '0.008621419', '0.008808782', '0.009985251', '0.010630292', '0.010926658', '0.010313049', '0.009533835', '0.010764587', '0.011106060', '0.010597423', '0.009063830', '0.009697107', '0.008851025', '0.011051237', '0.009658811', '0.009402066', '0.010079046', '0.008008173', '0.010713805', '0.009945746', '0.011010602', '0.009883733', '0.010222409', '0.010611088', '0.010805786', '0.011458296', '0.010959210', '0.010836686', '0.008873651', '0.008936032', '0.009758975']" 
1 TND View3 0.318 0.342 0.807 0.154 0.462 0.002 nan 1.1 961.0 961.0 "['0.010228290', '0.009950782', '0.009387559', '0.010441650', '0.009796436', '0.009980036', '0.009886871', '0.010097042', '0.009472263', '0.010899143', '0.010578699', '0.009607997', '0.010045887', '0.008168982', '0.010242001', '0.012373050', '0.009866220', '0.009960415', '0.010864312', '0.010090156', '0.010151454', '0.009387559', '0.010646988', '0.009806256', '0.010741392', '0.010254827', '0.010021183', '0.009775906', '0.010069587', '0.009472841', '0.009371497', '0.009670429', '0.009622521', '0.010737780', '0.010341141', '0.010194156', '0.010319164', '0.010604798', '0.008931506', '0.008983084', '0.010569869', '0.011285264', '0.010057186', '0.010522273', '0.010962783', '0.010226904', '0.010059495', '0.009945937', '0.010699355', '0.010929256', '0.008967699', '0.010083487', '0.010446927', '0.008643682', '0.010381508', '0.010015962', '0.010338985', '0.009782501', '0.012012366', '0.009814316', '0.009816810', '0.009681643', '0.010718754', '0.009225793', '0.009389278', '0.009384123', '0.010001577', '0.010474742', '0.009666873', '0.009280312', '0.010298486', '0.009828123', '0.009849886', '0.010191231', '0.009013218', '0.010318467', '0.009964189', '0.009390994', '0.009178745', '0.011412230', '0.010015962', '0.008932695', '0.009583154', '0.008960791', '0.009595270', '0.010764167', '0.009003269', '0.009145838', '0.009662717', '0.010190496', '0.009465917', '0.010420295', '0.010905085', '0.010541343', '0.009601330', '0.009978731', '0.009154376', '0.010131616', '0.009333941', '0.010739949']" 
1 TND View4 0.280 0.327 0.757 0.143 0.451 0.005 nan 1.1 961.0 961.0 "['0.011595627', '0.009528702', '0.009387394', '0.009643635', '0.010381395', '0.010510470', '0.010992806', '0.012828842', '0.007747930', '0.011783214', '0.009688909', '0.009604562', '0.009723998', '0.009447365', '0.009651044', '0.009663413', '0.009511827', '0.010542393', '0.009683536', '0.010393335', '0.011696044', '0.010812975', '0.009528273', '0.010528799', '0.010000682', '0.009644493', '0.010442398', '0.008116137', '0.009694370', '0.010224211', '0.010376555', '0.009586488', '0.009523809', '0.007954678', '0.009519823', '0.009520144', '0.009562617', '0.009520144', '0.009771429', '0.010620636', '0.010412276', '0.009507862', '0.009533209', '0.009835712', '0.010087160', '0.009821078', '0.009910458', '0.010213950', '0.010386926', '0.009514206', '0.009543592', '0.007611367', '0.010538951', '0.009512444', '0.009613947', '0.010383792', '0.010403355', '0.010414507', '0.010066296', '0.010858389', '0.009709546', '0.010739837', '0.010432320', '0.010178458', '0.009542108', '0.009526590', '0.008109543', '0.010516386', '0.011864915', '0.009966196', '0.009704184', '0.012307058', '0.010539593', '0.010244211', '0.007926606', '0.009385902', '0.010977072', '0.007677124', '0.009507655', '0.009512659', '0.010392789', '0.009617063', '0.010307373', '0.009513967', '0.010913482', '0.010476017', '0.007819650', '0.010433951', '0.009052715', '0.009207217', '0.011522040', '0.009569927', '0.010387654', '0.010411056', '0.013703907', '0.010514311', '0.010509050', '0.009422312', '0.011024569', '0.009708421']" 
1 TND View5 0.343 0.345 0.813 0.156 0.466 0.006 nan 1.1 961.0 961.0 "['0.009721234', '0.011085359', '0.009489637', '0.010172385', '0.008529238', '0.011498314', '0.008676611', '0.011500628', '0.008637135', '0.011559444', '0.009723159', '0.011126403', '0.011189471', '0.009218190', '0.011432248', '0.008648704', '0.009794777', '0.009197118', '0.011378681', '0.009709115', '0.008616558', '0.008605460', '0.010161147', '0.010171920', '0.009615293', '0.008661466', '0.009939649', '0.009555778', '0.011210566', '0.009492422', '0.009014559', '0.011473651', '0.008669061', '0.008531210', '0.011513370', '0.011083498', '0.011233809', '0.009762733', '0.011101452', '0.009814941', '0.009989052', '0.011489494', '0.008533067', '0.009100408', '0.009017652', '0.009880560', '0.009681184', '0.011442707', '0.011078375', '0.009817104', '0.010172176', '0.008567263', '0.008575599', '0.009237377', '0.008550624', '0.010173406', '0.009626328', '0.008554094', '0.009527764', '0.009484993', '0.011513378', '0.008331276', '0.011409854', '0.007356413', '0.011214839', '0.008788342', '0.010172385', '0.011498116', '0.009456890', '0.011154834', '0.011067902', '0.011116167', '0.011520712', '0.011295089', '0.011511452', '0.009599736', '0.008732051', '0.011074569', '0.009150836', '0.011277701', '0.009500952', '0.011376760', '0.008989887', '0.010143581', '0.011407780', '0.011483989', '0.009479654', '0.009636037', '0.008558241', '0.011493728', '0.009645745', '0.009695547', '0.009998123', '0.009246386', '0.009617358', '0.009159056', '0.011440146', '0.009203152', '0.010159218', '0.009506529']" 
1 TND Concatenated 0.289 0.272 0.606 0.109 0.381 0.014 nan 1.1 961.0 961.0 "['0.011030486', '0.009959794', '0.012349046', '0.010096713', '0.010022012', '0.007208368', '0.010067030', '0.010816002', '0.011011533', '0.011511611', '0.011485606', '0.010046517', '0.009963492', '0.005790204', '0.006504905', '0.010035780', '0.010864937', '0.012739358', '0.008108553', '0.010756575', '0.011995372', '0.009963293', '0.009961607', '0.011502892', '0.011215654', '0.011231862', '0.010003588', '0.010018654', '0.009963438', '0.005919753', '0.009959794', '0.010013521', '0.009997796', '0.007095272', '0.012785990', '0.009270408', '0.009964342', '0.010040168', '0.009396351', '0.011507245', '0.010649473', '0.009961827', '0.010837897', '0.006503237', '0.012439665', '0.009720475', '0.010010900', '0.010095930', '0.010093127', '0.009968550', '0.007149578', '0.009914673', '0.007631887', '0.012439665', '0.009889700', '0.010936548', '0.009944741', '0.010084162', '0.011262134', '0.005271329', '0.010889954', '0.010699561', '0.012292896', '0.009961504', '0.009026794', '0.010123058', '0.009966052', '0.009967256', '0.011184552', '0.010299355', '0.007461067', '0.010983870', '0.007260750', '0.012502465', '0.009756884', '0.010543298', '0.007608560', '0.008999652', '0.009554504', '0.010091927', '0.008415225', '0.010644799', '0.010903140', '0.010089892', '0.010974023', '0.010422648', '0.005963985', '0.010429280', '0.010761475', '0.010944288', '0.009933502', '0.010029003', '0.011220466', '0.011044699', '0.010890465', '0.008467031', '0.011744492', '0.009569062', '0.007323324', '0.014074217']" 
1 TND Multiview 0.272 0.311 0.732 0.137 0.452 0.096 0.000 1.1 961.0 961.0 "[['0.053344458', '0.019066365', '0.000851716', '0.013841065', '0.000958872', '0.001827955', '0.002530352', '0.009829356', '0.003182093', '0.000523103', '0.002558525', '0.035533916', '0.001114901', '0.002234093', '0.001389079', '0.002308748', '0.001424749', '0.000815425', '0.030444212', '0.034170035', '0.000730336', '0.001249820', '0.031959254', '0.001341861', '0.001732896', '0.045168962', '0.009164756', '0.000828430', '0.000824711', '0.000803496', '0.001353064', '0.002354965', '0.004652324', '0.000946011', '0.005681459', '0.034951065', '0.004218155', '0.026017386', '0.001821049', '0.003011657', '0.031522278', '0.027707664', '0.004896816', '0.015917329', '0.022647021', '0.003749085', '0.001230341', '0.000759913', '0.018332601', '0.001238117', '0.001013002', '0.027044889', '0.004936731', '0.035538290', '0.004679708', '0.037319332', '0.001004479', '0.003824881', '0.044298887', '0.001828089', '0.007608352', '0.001555949', '0.001280588', '0.014076886', '0.002135473', '0.001558996', '0.012499756', '0.042449355', '0.038630392', '0.003327509', '0.043360863', '0.007819570', '0.004357795', '0.001740316', '0.001130733', '0.001691951', '0.014944221', '0.001592500', '0.001696175', '0.005480373', '0.003910555', '0.004598175', '0.015215403', '0.005498234', '0.003549065', '0.013365686', '0.001975645', '0.011882675', '0.002358807', '0.001873609', '0.004863542', '0.005292763', '0.009714641', '0.001300732', '0.004527364', '0.002054252', '0.002014695', '0.002238557', '0.007010179', '0.001567554'], ['0.005759056', '0.001524973', '0.001535860', '0.001370705', '0.000912968', '0.000791418', '0.001906739', '0.002594359', '0.009005249', '0.049548924', '0.000833484', '0.003216116', '0.001347761', '0.005901988', '0.001805927', '0.030524386', '0.000802799', '0.004781031', '0.002899478', '0.005960990', '0.045250669', '0.002639113', '0.009111619', '0.035424661', '0.000912139', '0.000996803', '0.000750548', '0.000893952', '0.001292574', '0.000716925', '0.006040754', '0.014376636', '0.002241656', '0.040889714', '0.001038219', '0.001175710', '0.000747163', '0.005016514', '0.010222069', '0.001143766', '0.016866056', '0.002271421', '0.004184935', '0.008394987', '0.000648272', '0.012275823', '0.040125720', '0.004068086', '0.021081585', '0.007817931', '0.039313603', '0.011966512', '0.001593257', '0.001145145', '0.001589205', '0.001893197', '0.035380714', '0.002396367', '0.001072402', '0.005144383', '0.002614248', '0.018096356', '0.007956483', '0.002212391', '0.001859621', '0.001006528', '0.004160018', '0.000797516', '0.010142618', '0.002429452', '0.003209444', '0.001713198', '0.002001920', '0.001390933', '0.045877602', '0.044441480', '0.012275927', '0.002194545', '0.026155340', '0.005205232', '0.041902881', '0.014821542', '0.016863830', '0.007120425', '0.002587213', '0.020653199', '0.038575351', '0.000916400', '0.009478348', '0.008546624', '0.017063210', '0.045287021', '0.006435785', '0.004006340', '0.019490875', '0.004048542', '0.004783789', '0.003035749', '0.001975468', '0.003531511'], ['0.002120078', '0.016426366', '0.031599849', '0.001221817', '0.026875814', '0.002044094', '0.026908882', '0.011517692', '0.000848443', '0.001771619', '0.020909172', '0.004492886', '0.003327870', '0.027176285', '0.032817163', '0.003695013', '0.041131128', '0.000740194', '0.005664092', '0.002306882', '0.001926819', '0.025278252', '0.001651926', '0.001182984', '0.002599965', '0.000828237', '0.000755066', '0.043402057', '0.045860548', '0.047238123', '0.007971147', '0.000714141', '0.000776826', '0.002950010', '0.003577121', '0.012603039', '0.000717704', '0.001044127', '0.001938121', '0.036374014', '0.001200405', '0.001178897', '0.038895763', '0.001396256', '0.000960588', '0.027406175', '0.001622646', '0.000691481', '0.001374826', '0.001735951', '0.005147032', '0.004612166', '0.000916066', '0.000803860', '0.038902991', '0.000764272', '0.001146895', '0.045062169', '0.002640174', '0.004636026', '0.002838389', '0.009251866', '0.001552359', '0.003096451', '0.045395754', '0.007851660', '0.009443739', '0.005566463', '0.000634650', '0.005463818', '0.001189001', '0.005325178', '0.003510626', '0.034028608', '0.000675883', '0.001158832', '0.011829705', '0.001781639', '0.005414574', '0.003084923', '0.000663101', '0.003228837', '0.010506690', '0.005139201', '0.001985188', '0.014791086', '0.001520983', '0.000906539', '0.013310176', '0.010543382', '0.001110899', '0.000616134', '0.025818629', '0.012072974', '0.023760673', '0.022348138', '0.002138939', '0.002115492', '0.001122178', '0.003126430'], ['0.001126771', '0.001205621', '0.001217039', '0.022934176', '0.004979886', '0.002668419', '0.014481927', '0.003860941', '0.003129712', '0.000858945', '0.001938074', '0.005331355', '0.037674133', '0.003279739', '0.002061301', '0.003370225', '0.004331897', '0.039328989', '0.003177209', '0.000950092', '0.000745901', '0.001136368', '0.001108832', '0.000908820', '0.042331494', '0.002115107', '0.000589817', '0.003918828', '0.001505333', '0.003290364', '0.004247484', '0.032627273', '0.040981166', '0.001064428', '0.002615719', '0.000791457', '0.043891206', '0.002188904', '0.035351034', '0.008499815', '0.001263649', '0.000750640', '0.001012903', '0.017421309', '0.000587722', '0.003902059', '0.003867389', '0.000642976', '0.010683614', '0.041326530', '0.001452495', '0.001420573', '0.000863435', '0.010898112', '0.006344098', '0.005128467', '0.010249900', '0.000677930', '0.000924027', '0.037109166', '0.003960542', '0.016268233', '0.001741138', '0.018184733', '0.000950494', '0.041603278', '0.017463641', '0.000676259', '0.001394703', '0.001303229', '0.000864512', '0.029971974', '0.037138674', '0.006579309', '0.000740149', '0.001178916', '0.004506027', '0.025107635', '0.013059608', '0.032627769', '0.000713309', '0.001308862', '0.004112595', '0.027461536', '0.015746798', '0.000670974', '0.001598138', '0.001107198', '0.000884160', '0.007718356', '0.024025165', '0.000574419', '0.003759700', '0.001297217', '0.001760661', '0.022314191', '0.040796801', '0.005810950', '0.037765414', '0.000909928'], ['0.001203087', '0.010300720', '0.015159078', '0.007516621', '0.014834926', '0.043625887', '0.002015142', '0.019148838', '0.034598555', '0.002421712', '0.024740275', '0.001751716', '0.004652967', '0.013597597', '0.009522264', '0.005778735', '0.003579107', '0.004087811', '0.007068116', '0.008248668', '0.004123385', '0.017790193', '0.003332468', '0.010707978', '0.002493603', '0.001811586', '0.039122202', '0.001798496', '0.003625400', '0.001147684', '0.026780168', '0.000802121', '0.000876794', '0.003327918', '0.035176005', '0.000784098', '0.001865220', '0.014842803', '0.000795043', '0.001296077', '0.001433187', '0.019197769', '0.000964935', '0.002957451', '0.026927909', '0.001397848', '0.001469509', '0.047375675', '0.001221382', '0.001057957', '0.001637123', '0.003237459', '0.041007768', '0.000899334', '0.001437470', '0.007672426', '0.000792717', '0.000702494', '0.001417726', '0.002352685', '0.033299547', '0.001587221', '0.035866499', '0.010003911', '0.001803050', '0.000635154', '0.006915697', '0.000690748', '0.000681384', '0.036711156', '0.001037601', '0.002356396', '0.000834344', '0.004341991', '0.002412729', '0.005302664', '0.008495426', '0.023349350', '0.000901977', '0.000835046', '0.003671960', '0.021605711', '0.001326239', '0.001071120', '0.020850472', '0.000671129', '0.004315005', '0.035563778', '0.023181299', '0.019178979', '0.000708380', '0.000764437', '0.001022679', '0.033110157', '0.002481700', '0.000658144', '0.001218744', '0.034315392', '0.001266427', '0.043444421']]" "['0.203235477', '0.201671109', '0.191101149', '0.206451148', '0.197541103']"
1 TND_inv View1 0.285 0.332 0.772 0.147 0.454 0.004 nan 1.1 961.0 961.0 "['0.013985381', '0.010225294', '0.009251162', '0.010216903', '0.009721520', '0.009763142', '0.009778098', '0.010089087', '0.010283677', '0.009589653', '0.010219614', '0.010854573', '0.008747998', '0.010285158', '0.008700776', '0.009271217', '0.010213568', '0.009271383', '0.010820024', '0.011147718', '0.009272471', '0.009043104', '0.010345349', '0.009728009', '0.010244591', '0.011223578', '0.010205936', '0.008475699', '0.009623054', '0.009246876', '0.008499838', '0.010393115', '0.010291028', '0.009272488', '0.009568240', '0.010852817', '0.010812638', '0.010815031', '0.009897208', '0.010164928', '0.011632381', '0.010885093', '0.010250329', '0.009810320', '0.011111915', '0.010048552', '0.008605167', '0.008895390', '0.011652399', '0.009561115', '0.008085381', '0.010540775', '0.009979858', '0.010776214', '0.010819900', '0.011894288', '0.009598329', '0.010201643', '0.011239059', '0.009611327', '0.010320167', '0.009275395', '0.009260357', '0.010201040', '0.010098404', '0.010239879', '0.010803235', '0.010977371', '0.011500307', '0.010085326', '0.010880032', '0.009786479', '0.009890624', '0.009266798', '0.009593954', '0.009382970', '0.010891310', '0.009590974', '0.009224049', '0.010010454', '0.010169504', '0.009251300', '0.010271776', '0.009631095', '0.009267914', '0.010421058', '0.009256717', '0.010872151', '0.009644923', '0.008483053', '0.009920819', '0.010202494', '0.009697417', '0.008718290', '0.009671439', '0.009487814', '0.009256284', '0.009247218', '0.010422474', '0.009215771']" 
1 TND_inv View2 0.318 0.328 0.771 0.146 0.446 0.003 nan 1.1 961.0 961.0 "['0.009696546', '0.010654435', '0.009354517', '0.010122599', '0.009510886', '0.009371268', '0.009362301', '0.009425177', '0.010217620', '0.010953229', '0.009580291', '0.010884218', '0.008693290', '0.010877568', '0.011193654', '0.009395384', '0.010913033', '0.009353094', '0.009344566', '0.010167673', '0.009365866', '0.009683117', '0.009790678', '0.010874051', '0.009958192', '0.010195542', '0.010211707', '0.010097923', '0.010118006', '0.010386532', '0.011211501', '0.010870016', '0.008465869', '0.010321689', '0.008758783', '0.010163167', '0.009422025', '0.008456085', '0.010343121', '0.008477658', '0.010412632', '0.010097637', '0.009583648', '0.011024672', '0.011735394', '0.009765163', '0.008408542', '0.010099673', '0.010888949', '0.009889343', '0.009683117', '0.010873392', '0.009330297', '0.010865897', '0.008461853', '0.010545293', '0.010180308', '0.010182563', '0.008472015', '0.010222782', '0.010094675', '0.009861243', '0.010877728', '0.010079640', '0.010390204', '0.009578625', '0.010174404', '0.010124787', '0.010337883', '0.008460372', '0.008634269', '0.010155858', '0.010780212', '0.010870378', '0.010322703', '0.009468948', '0.010877568', '0.010985164', '0.010702959', '0.009238184', '0.009616493', '0.008763512', '0.010932566', '0.009580841', '0.009349496', '0.010200167', '0.008209655', '0.010872151', '0.010083449', '0.010903551', '0.009893413', '0.010152961', '0.010738054', '0.010872234', '0.011578593', '0.010879144', '0.010868060', '0.008833063', '0.009002362', '0.009688407']" 
1 TND_inv View3 0.318 0.342 0.807 0.154 0.462 0.002 nan 1.1 961.0 961.0 "['0.010146300', '0.009990009', '0.009329871', '0.010351343', '0.009702438', '0.010105783', '0.009867989', '0.010188150', '0.009444251', '0.010757876', '0.010750287', '0.009557661', '0.010211954', '0.008286196', '0.010161834', '0.012211110', '0.009826367', '0.010067735', '0.010727666', '0.010194456', '0.010138970', '0.009329871', '0.010774082', '0.009717749', '0.010713077', '0.010179145', '0.010189004', '0.009673269', '0.010209441', '0.009444968', '0.009309376', '0.009585246', '0.009564347', '0.010714968', '0.010291086', '0.010126184', '0.010269443', '0.010774657', '0.008939291', '0.009048334', '0.010736957', '0.011373563', '0.010213426', '0.010615210', '0.010832210', '0.010144938', '0.010213081', '0.009989556', '0.010739949', '0.010790392', '0.009016052', '0.010200096', '0.010358782', '0.008536566', '0.010315477', '0.010180982', '0.010289247', '0.009682204', '0.012081027', '0.009730916', '0.009735096', '0.009590754', '0.010726423', '0.009235067', '0.009332142', '0.009325372', '0.010154453', '0.010425857', '0.009583590', '0.009236773', '0.010243456', '0.009754645', '0.009794644', '0.010125803', '0.009108690', '0.010268654', '0.010066721', '0.009334425', '0.009246379', '0.011575320', '0.010180982', '0.008941792', '0.009544613', '0.009001404', '0.009551282', '0.010703796', '0.009089335', '0.009250432', '0.009581706', '0.010125737', '0.009436262', '0.010332168', '0.010763859', '0.010674865', '0.009554397', '0.010102589', '0.009250293', '0.010154965', '0.009268946', '0.010713818']" 
