Run Bound_name View Risk Gibbs_Risk Bound Join_Error Disagreement KL_QP KL_RhoPi n_labeled n_all Posterior_Qv Posterior_rho
1 TND View1 0.503 0.649 1.000 0.525 0.614 0.000 nan 801.0 801.0 "['0.010032129', '0.009568257', '0.009904759', '0.009975165', '0.009778005', '0.009745909', '0.009748122', '0.009795316', '0.009912472', '0.009983087', '0.009648909', '0.010385108', '0.009810439', '0.009964734', '0.009923395', '0.009979932', '0.010252384', '0.010036957', '0.010030469', '0.009918143', '0.009667782', '0.010770679', '0.009900819', '0.009959704', '0.009895750', '0.010391111', '0.009762944', '0.010083636', '0.010416581', '0.010612439', '0.009476817', '0.009820013', '0.009805989', '0.010265070', '0.009787544', '0.009851477', '0.009543801', '0.010154763', '0.009830935', '0.010066222', '0.009866717', '0.009893686', '0.009704374', '0.009766043', '0.010135510', '0.009946291', '0.010199789', '0.010154472', '0.009664422', '0.009985383', '0.009889113', '0.009991630', '0.010131290', '0.009796206', '0.009957609', '0.010596585', '0.009608678', '0.009991054', '0.009893227', '0.009916009', '0.010423024', '0.009850135', '0.009899433', '0.009648909', '0.009747016', '0.009997211', '0.009630877', '0.010171011', '0.010105162', '0.010836583', '0.010287505', '0.009822688', '0.010279234', '0.009957347', '0.009860432', '0.009833835', '0.010268466', '0.009937527', '0.010107810', '0.009918618', '0.009806879', '0.010946200', '0.010673417', '0.010061787', '0.010082645', '0.009883196', '0.010246804', '0.010098103', '0.009998029', '0.009816896', '0.009747458', '0.009761173', '0.010206548', '0.009702361', '0.009960494', '0.010376206', '0.010293607', '0.009797761', '0.009714860', '0.010696905']" 
1 TND View2 0.824 0.816 1.000 0.680 0.822 0.000 nan 801.0 801.0 "['0.009946889', '0.009904266', '0.009927643', '0.009881509', '0.010070373', '0.009796706', '0.009903708', '0.009920169', '0.010158834', '0.009943191', '0.009891037', '0.010077200', '0.009864198', '0.009878441', '0.010132067', '0.010065687', '0.010088615', '0.009750292', '0.009919562', '0.010142843', '0.009857232', '0.010111911', '0.009924441', '0.010088047', '0.009866521', '0.010099372', '0.009897898', '0.010139789', '0.009943368', '0.010083141', '0.010112107', '0.009936721', '0.010116634', '0.009835381', '0.009928794', '0.010181078', '0.010066476', '0.010128585', '0.010117991', '0.010073410', '0.010094448', '0.010068233', '0.010107641', '0.009919056', '0.010085876', '0.009713584', '0.010104043', '0.009937813', '0.009922269', '0.010124425', '0.010132558', '0.009944254', '0.009892597', '0.009926488', '0.009937084', '0.009876629', '0.010290648', '0.009856951', '0.010127177', '0.009798854', '0.010195724', '0.009940965', '0.010071188', '0.010121313', '0.009920872', '0.009923457', '0.010065830', '0.010129177', '0.010081525', '0.009940160', '0.010101286', '0.010097585', '0.009911995', '0.010071999', '0.009936996', '0.010167051', '0.009838556', '0.010076736', '0.009946013', '0.010096313', '0.010326891', '0.009937722', '0.009880619', '0.009844223', '0.009787532', '0.009946802', '0.009815741', '0.010187319', '0.010076671', '0.009847311', '0.010079920', '0.009841849', '0.009937631', '0.010079656', '0.010136305', '0.009874408', '0.010077665', '0.010136815', '0.009833401', '0.010084023']" 
1 TND View3 0.477 0.643 1.000 0.510 0.659 0.001 nan 801.0 801.0 "['0.010205781', '0.009907049', '0.010814134', '0.009903360', '0.010313381', '0.010109104', '0.010851471', '0.009668550', '0.010717529', '0.009646685', '0.010497206', '0.010835861', '0.010566979', '0.010818440', '0.009875184', '0.009657848', '0.009941626', '0.010407666', '0.009859275', '0.010259558', '0.009579021', '0.009868407', '0.010492353', '0.010580504', '0.009690772', '0.009636651', '0.009873834', '0.010955606', '0.009469110', '0.009439846', '0.009441073', '0.009439658', '0.009864537', '0.009785542', '0.009446234', '0.010821742', '0.009555754', '0.009746878', '0.009440185', '0.010496456', '0.010904925', '0.009477381', '0.010330122', '0.010532702', '0.009696669', '0.009657117', '0.009472863', '0.011011199', '0.009447588', '0.009673042', '0.009763931', '0.009736889', '0.010432509', '0.009572637', '0.010078466', '0.009839213', '0.009461381', '0.010614679', '0.009731753', '0.010587739', '0.010277894', '0.009956673', '0.009443045', '0.009623484', '0.009941157', '0.009457921', '0.009473429', '0.009915209', '0.009653063', '0.010117717', '0.009934635', '0.009945449', '0.009707390', '0.009852608', '0.009805309', '0.010529283', '0.009817274', '0.010466385', '0.010450643', '0.009952584', '0.009475072', '0.009660386', '0.010012992', '0.009698192', '0.010394325', '0.009944245', '0.010887151', '0.009448446', '0.009710271', '0.011300397', '0.009685026', '0.009661107', '0.010649976', '0.009719777', '0.009801402', '0.009533748', '0.009497537', '0.010657749', '0.009609075', '0.009828350']" 
1 TND View4 0.407 0.602 1.000 0.409 0.704 0.002 nan 801.0 801.0 "['0.010465173', '0.010290850', '0.009815193', '0.010260807', '0.010463375', '0.010172529', '0.009583965', '0.011387330', '0.011060527', '0.009757311', '0.009638515', '0.009682893', '0.009548318', '0.010503978', '0.009708315', '0.009548950', '0.010104311', '0.009550230', '0.010361877', '0.010466482', '0.010272684', '0.010491957', '0.009123958', '0.010029094', '0.009770501', '0.009590156', '0.009590346', '0.010206463', '0.010108418', '0.009201067', '0.010517832', '0.010441575', '0.010525084', '0.009196497', '0.010182731', '0.009557679', '0.010271146', '0.009502176', '0.009555770', '0.009554391', '0.009359390', '0.010755477', '0.010622967', '0.009667112', '0.009952301', '0.009561928', '0.011787775', '0.010258242', '0.009429544', '0.008882259', '0.010278452', '0.010313052', '0.008937820', '0.009689247', '0.008956982', '0.011430250', '0.010652502', '0.009447888', '0.009576715', '0.010459807', '0.011023409', '0.010124477', '0.009747247', '0.009972529', '0.012049405', '0.009282840', '0.011185266', '0.010559234', '0.011291739', '0.011891703', '0.009554272', '0.009384167', '0.009571224', '0.010529179', '0.009567783', '0.010538111', '0.009556321', '0.009528637', '0.009557050', '0.009102466', '0.009555460', '0.010552201', '0.009041523', '0.008661521', '0.009543172', '0.009124524', '0.009682439', '0.010987221', '0.010461223', '0.010064046', '0.011787323', '0.010204525', '0.008721663', '0.009558803', '0.009436775', '0.009563035', '0.009513907', '0.009549946', '0.009685394', '0.010208006']" 
1 TND View5 0.573 0.720 1.000 0.564 0.760 0.000 nan 801.0 801.0 "['0.010265358', '0.009677860', '0.010270461', '0.010377820', '0.010215721', '0.009999753', '0.009894827', '0.010098810', '0.009326594', '0.009607747', '0.010270871', '0.010357285', '0.010369198', '0.009719583', '0.010063981', '0.010339402', '0.009725483', '0.009920189', '0.009980957', '0.010003665', '0.010047043', '0.009770756', '0.009747387', '0.009564082', '0.010048916', '0.009836545', '0.009784382', '0.010564560', '0.009835937', '0.009902387', '0.010032705', '0.009805175', '0.009752843', '0.010225442', '0.010056093', '0.010134911', '0.009596313', '0.009818599', '0.010236646', '0.010094088', '0.010272920', '0.010782056', '0.010026406', '0.009898490', '0.010283891', '0.009955732', '0.010161678', '0.010298522', '0.009698810', '0.009650735', '0.009793380', '0.010123678', '0.009646302', '0.009993030', '0.009819000', '0.009882032', '0.009756675', '0.009775969', '0.009911342', '0.009984951', '0.010209282', '0.010270667', '0.009653763', '0.009822014', '0.009764728', '0.010214225', '0.010451955', '0.010403492', '0.009659420', '0.009994048', '0.009998353', '0.009828458', '0.010022829', '0.009894827', '0.009517237', '0.010074087', '0.009819401', '0.010720341', '0.009920189', '0.010363469', '0.009919744', '0.009566510', '0.010455948', '0.010193063', '0.009818599', '0.009785581', '0.010094088', '0.010173884', '0.009669339', '0.009745162', '0.010174570', '0.010443475', '0.010076398', '0.009835127', '0.010175026', '0.010093589', '0.009694738', '0.009867338', '0.010749288', '0.009809779']" 
1 TND View6 0.683 0.727 1.000 0.610 0.681 0.000 nan 801.0 801.0 "['0.010036040', '0.009721128', '0.009706181', '0.010304821', '0.010162468', '0.010025785', '0.009933585', '0.010060317', '0.010053700', '0.009805514', '0.009985864', '0.009937157', '0.009963202', '0.010108332', '0.010055981', '0.009849775', '0.010167850', '0.009868646', '0.009923096', '0.010214415', '0.010283687', '0.009912972', '0.010040914', '0.009960231', '0.010095205', '0.009868646', '0.009767652', '0.009542102', '0.009859395', '0.010270331', '0.010165341', '0.010439128', '0.010399996', '0.010230024', '0.010433174', '0.009958752', '0.009845801', '0.009776574', '0.010200340', '0.010262036', '0.010296561', '0.009941820', '0.010124669', '0.010329532', '0.010130360', '0.009923274', '0.009715326', '0.009976024', '0.009977362', '0.009888839', '0.009858617', '0.010124852', '0.009856469', '0.010036040', '0.010302069', '0.009775326', '0.010208514', '0.010119507', '0.010156783', '0.010082716', '0.009663527', '0.009943441', '0.010099236', '0.010216399', '0.010155655', '0.009449717', '0.009696120', '0.009786980', '0.009781150', '0.009895764', '0.009769931', '0.009915818', '0.010173508', '0.010111517', '0.009762687', '0.009969194', '0.009460756', '0.010226648', '0.010162849', '0.009716724', '0.009974879', '0.009883495', '0.009934119', '0.009833314', '0.009732408', '0.010017591', '0.009825354', '0.010189434', '0.010190261', '0.010159426', '0.009896850', '0.010278391', '0.010026215', '0.009817534', '0.009970138', '0.009820628', '0.010071327', '0.010194845', '0.009958199', '0.010247096']" 
1 TND View7 0.462 0.634 1.000 0.490 0.637 0.001 nan 801.0 801.0 "['0.009522808', '0.009594383', '0.010342401', '0.009840728', '0.009782181', '0.010286028', '0.009496596', '0.009759875', '0.009677188', '0.010006999', '0.009288990', '0.009657155', '0.009712146', '0.009927469', '0.010057053', '0.009659322', '0.009269227', '0.009907130', '0.010013847', '0.010860316', '0.010505211', '0.010157168', '0.009541075', '0.010695109', '0.009586754', '0.010126714', '0.009353219', '0.010613963', '0.010330696', '0.010461387', '0.010493159', '0.010463298', '0.009513443', '0.010413166', '0.010037537', '0.010175020', '0.009621562', '0.010222906', '0.009830036', '0.010140900', '0.010346376', '0.010115756', '0.010780514', '0.010863500', '0.010071953', '0.010192373', '0.009666075', '0.009683231', '0.009479424', '0.010094096', '0.010085834', '0.009904407', '0.010234495', '0.009787811', '0.010261591', '0.009809336', '0.010584589', '0.009906386', '0.010600619', '0.009504354', '0.010321787', '0.010367776', '0.009803959', '0.009950386', '0.009964871', '0.009675979', '0.010109051', '0.010184645', '0.009741778', '0.009899229', '0.010115262', '0.010274064', '0.010594636', '0.009074995', '0.009927724', '0.010016679', '0.009891890', '0.009941559', '0.009931290', '0.009555130', '0.010541357', '0.010427986', '0.009614012', '0.010184415', '0.009698202', '0.009695308', '0.009546186', '0.009431388', '0.009743883', '0.010037537', '0.009895551', '0.010642325', '0.010055979', '0.009672595', '0.010042458', '0.009787587', '0.009903418', '0.010051674', '0.010189072', '0.010579488']" 
1 TND Concatenated 0.467 0.621 1.000 0.441 0.705 0.002 nan 801.0 801.0 "['0.011097902', '0.009810046', '0.009971952', '0.009233314', '0.009802629', '0.010166693', '0.010078690', '0.010169253', '0.009149585', '0.009681634', '0.011372015', '0.009450687', '0.009655045', '0.009652182', '0.011165453', '0.010293956', '0.009178773', '0.010556123', '0.010219700', '0.009941649', '0.011416568', '0.009877164', '0.009116914', '0.009131613', '0.009170076', '0.010246742', '0.009801505', '0.010300599', '0.009122418', '0.009803673', '0.009085792', '0.010802915', '0.011321543', '0.009099283', '0.010025893', '0.009813879', '0.009889985', '0.011141495', '0.011171333', '0.010002427', '0.009997773', '0.009855773', '0.009112010', '0.010061986', '0.009814866', '0.010914757', '0.011847191', '0.009100777', '0.009113988', '0.010896140', '0.009091375', '0.009808213', '0.009458362', '0.010405346', '0.009947548', '0.009376778', '0.009810811', '0.010654699', '0.011296847', '0.009326412', '0.009559682', '0.010311147', '0.009623913', '0.009928453', '0.010189958', '0.010630070', '0.010110193', '0.011151134', '0.010476443', '0.010146704', '0.009715566', '0.011337204', '0.010433675', '0.009459642', '0.009109570', '0.010920856', '0.009994945', '0.009805428', '0.009570522', '0.010138229', '0.010014638', '0.009663536', '0.010119651', '0.010281180', '0.009125572', '0.009085047', '0.009277644', '0.010036239', '0.009113988', '0.009170730', '0.010552406', '0.009959652', '0.009805706', '0.010241723', '0.011256804', '0.010919033', '0.009804945', '0.009806540', '0.009110056', '0.009160842']" 
1 TND Multiview 0.372 0.654 1.000 0.477 0.761 0.268 0.121 801.0 801.0 "[['0.014444258', '0.005790961', '0.005084166', '0.003794319', '0.005623903', '0.002668474', '0.010760854', '0.005692696', '0.006048887', '0.003982482', '0.005711976', '0.013747105', '0.005256369', '0.015981873', '0.007315808', '0.008781227', '0.011523315', '0.016008856', '0.023227049', '0.004712316', '0.006518162', '0.014793970', '0.005803949', '0.011310155', '0.012039360', '0.015920902', '0.005632419', '0.005330179', '0.016341785', '0.016664853', '0.005444442', '0.023307685', '0.007340935', '0.011313409', '0.006612298', '0.007685354', '0.005629622', '0.009133572', '0.006534733', '0.012819620', '0.013738415', '0.006526029', '0.005035496', '0.010872558', '0.015270676', '0.007090447', '0.020605152', '0.010499774', '0.008021113', '0.011417275', '0.012832647', '0.012733010', '0.006403919', '0.006136464', '0.008301503', '0.015939841', '0.005397956', '0.005412817', '0.005444176', '0.011689426', '0.023531634', '0.004669334', '0.006171249', '0.005604310', '0.003901499', '0.010067765', '0.003571671', '0.013075504', '0.006377764', '0.015704028', '0.022868503', '0.006061682', '0.006597204', '0.004960684', '0.008646473', '0.017510986', '0.007533497', '0.009944896', '0.007145496', '0.004665248', '0.006428085', '0.013263203', '0.013309930', '0.006274886', '0.013069162', '0.010915981', '0.018209932', '0.016658725', '0.007849807', '0.006542711', '0.010236522', '0.009939644', '0.011011346', '0.006491037', '0.011607685', '0.012243716', '0.014475899', '0.012972309', '0.009861916', '0.018325053'], ['0.005241690', '0.006390008', '0.004592841', '0.012729678', '0.016890086', '0.013134294', '0.009891129', '0.004762218', '0.015972724', '0.004567997', '0.007148287', '0.008035076', '0.015714884', '0.014802137', '0.010498869', '0.014837908', '0.003855842', '0.010194335', '0.007679942', '0.013940926', '0.006244473', '0.002268256', '0.005770301', '0.017392384', '0.003193395', '0.031709336', '0.010544179', '0.003578092', '0.014977731', '0.005323999', '0.014270301', '0.006919712', '0.006718543', '0.004408666', '0.005504656', '0.005269162', '0.016551804', '0.011978949', '0.017625783', '0.004680178', '0.015048156', '0.017855266', '0.012906388', '0.004336599', '0.005816039', '0.005348703', '0.005230539', '0.010009498', '0.005486029', '0.019150469', '0.014611687', '0.013008775', '0.003042339', '0.006004700', '0.006090645', '0.006531205', '0.017527634', '0.005506974', '0.005278769', '0.011516911', '0.005974005', '0.003258327', '0.014567638', '0.004592886', '0.013714054', '0.004268806', '0.013678601', '0.013691952', '0.020648710', '0.004812814', '0.005392948', '0.005374177', '0.012916516', '0.016363662', '0.007694619', '0.007149283', '0.011574039', '0.010457802', '0.006450766', '0.004493977', '0.012635057', '0.012388048', '0.012316547', '0.023568677', '0.004789717', '0.011564439', '0.005322027', '0.005808906', '0.014441802', '0.006084035', '0.009852613', '0.009206415', '0.011208351', '0.013428199', '0.017093619', '0.004650591', '0.029102335', '0.004564709', '0.013439209', '0.005341034'], ['0.005866552', '0.006408018', '0.017593831', '0.005707001', '0.004213676', '0.008344803', '0.012365036', '0.006282055', '0.007109371', '0.016512718', '0.025876068', '0.016053194', '0.005771655', '0.005906642', '0.008411211', '0.005746154', '0.004176830', '0.007917407', '0.007111809', '0.017683484', '0.007613435', '0.016453043', '0.006254627', '0.013755013', '0.005157271', '0.005884652', '0.018277654', '0.016845003', '0.005794837', '0.005995190', '0.006086548', '0.006281358', '0.007465972', '0.015038041', '0.007870378', '0.006485144', '0.006140258', '0.012990910', '0.006370451', '0.011181739', '0.005644926', '0.006267339', '0.017494980', '0.018162098', '0.008147620', '0.023936363', '0.006201776', '0.015721895', '0.008326224', '0.006609759', '0.004252091', '0.002608331', '0.006404710', '0.006431823', '0.010565039', '0.007469685', '0.005772784', '0.012761661', '0.018102352', '0.008929243', '0.006676816', '0.017778289', '0.014191038', '0.018576667', '0.008737655', '0.009269117', '0.016648727', '0.005551553', '0.006733405', '0.005639113', '0.005962868', '0.006490094', '0.005111251', '0.016476002', '0.008292873', '0.007003944', '0.006347535', '0.009748655', '0.008086756', '0.015030762', '0.017943280', '0.011957398', '0.011295979', '0.006834050', '0.016542882', '0.008183736', '0.006011567', '0.006530414', '0.008677888', '0.006929994', '0.012600579', '0.016880568', '0.011076380', '0.018465998', '0.004914586', '0.016704122', '0.009838611', '0.016527973', '0.004668284', '0.006252874'], ['0.004297498', '0.018592475', '0.005272549', '0.016354766', '0.005123452', '0.010659184', '0.007396466', '0.017692070', '0.005808154', '0.005294759', '0.005725843', '0.003171335', '0.005323071', '0.005561287', '0.015701421', '0.015055954', '0.015321504', '0.017772907', '0.006123504', '0.005374024', '0.009311060', '0.015410711', '0.019878896', '0.005005966', '0.014814893', '0.004906621', '0.005661787', '0.015867241', '0.011361992', '0.005906918', '0.015081208', '0.005696540', '0.007395325', '0.013143446', '0.016021259', '0.006303052', '0.018035842', '0.004762840', '0.005185018', '0.012122938', '0.005340615', '0.017413439', '0.004893359', '0.005688126', '0.006796441', '0.007104434', '0.005711662', '0.005036566', '0.006286004', '0.005806699', '0.005113884', '0.014931213', '0.016707318', '0.006442870', '0.007351406', '0.006589936', '0.005361795', '0.004950733', '0.005629406', '0.011081142', '0.005847873', '0.014826458', '0.004703518', '0.005570719', '0.015340780', '0.015527243', '0.016259871', '0.012756478', '0.020572310', '0.005212523', '0.005534492', '0.005843931', '0.015527993', '0.004782774', '0.013413887', '0.006034171', '0.016537741', '0.013649439', '0.006376120', '0.010100294', '0.016966792', '0.004808250', '0.012455349', '0.006431503', '0.009492650', '0.014862852', '0.005750969', '0.005850971', '0.008720969', '0.006039447', '0.013727198', '0.016368909', '0.013969826', '0.017298114', '0.005461926', '0.015747037', '0.005590806', '0.015314723', '0.015571509', '0.017418772'], ['0.013979586', '0.004839390', '0.012734234', '0.004544126', '0.014393928', '0.011081148', '0.005494546', '0.004637358', '0.004860152', '0.013417227', '0.017099608', '0.011785756', '0.017998928', '0.004657794', '0.002988641', '0.013166170', '0.010538505', '0.005456116', '0.005121429', '0.004376286', '0.009598403', '0.006402840', '0.005267573', '0.013297933', '0.012365432', '0.015389951', '0.018105807', '0.012132718', '0.004011718', '0.004704267', '0.004053651', '0.015741903', '0.005455852', '0.009669500', '0.014194970', '0.004858787', '0.004831687', '0.011084336', '0.032462403', '0.010740020', '0.013015728', '0.014490551', '0.012947501', '0.004625286', '0.018868556', '0.014300118', '0.004699328', '0.010285043', '0.046684325', '0.008256865', '0.013102195', '0.009867420', '0.004590287', '0.005349624', '0.006383070', '0.033567242', '0.015006095', '0.033388939', '0.013477141', '0.011364062', '0.004795928', '0.004212311', '0.013466759', '0.004532185', '0.013179568', '0.009997469', '0.003660781', '0.012071215', '0.004947730', '0.013524345', '0.014045988', '0.005292007', '0.007876558', '0.013978414', '0.005771267', '0.005414597', '0.004457408', '0.003478514', '0.005819979', '0.004291317', '0.004489812', '0.003999334', '0.012124565', '0.019506386', '0.004329384', '0.003160808', '0.004655088', '0.005048121', '0.005135091', '0.005969835', '0.010586103', '0.004459972', '0.005760713', '0.004613606', '0.013718351', '0.004254637', '0.006733840', '0.013386268', '0.007881717', '0.013561974'], ['0.013987922', '0.024177013', '0.010289331', '0.011019989', '0.014310036', '0.011616480', '0.006276506', '0.004629697', '0.005346391', '0.010087075', '0.004954417', '0.009997011', '0.014075885', '0.009457272', '0.009542511', '0.012290837', '0.006870638', '0.007048264', '0.004936524', '0.010798924', '0.006786752', '0.002898398', '0.004847914', '0.014210088', '0.009315054', '0.004768585', '0.014448136', '0.012253818', '0.013758528', '0.014860886', '0.004551295', '0.009096083', '0.005159445', '0.012122620', '0.013797829', '0.005040408', '0.014951321', '0.011072653', '0.011326591', '0.012548649', '0.004494501', '0.004791738', '0.004551217', '0.004640605', '0.012022877', '0.006066089', '0.005302568', '0.012111646', '0.006339127', '0.018404748', '0.012931378', '0.007537762', '0.012781445', '0.049516805', '0.005271127', '0.005355180', '0.014197956', '0.016740233', '0.004877629', '0.003734400', '0.005008721', '0.009311912', '0.004594968', '0.012284563', '0.013283732', '0.003488078', '0.006146570', '0.012045883', '0.005634354', '0.012998484', '0.014560594', '0.015063608', '0.006495005', '0.019731453', '0.007246438', '0.023094870', '0.004629349', '0.011433268', '0.005834177', '0.013223692', '0.004578341', '0.011424548', '0.004044931', '0.016098019', '0.004339993', '0.004124428', '0.013799674', '0.014993283', '0.008834232', '0.035280570', '0.009063650', '0.006923929', '0.007084680', '0.004437651', '0.004789730', '0.010569091', '0.005012352', '0.004522589', '0.008068216', '0.004703593'], ['0.014222434', '0.007372851', '0.013596186', '0.014026131', '0.014715399', '0.011464128', '0.008650057', '0.019787231', '0.023753082', '0.014593685', '0.005502797', '0.010956974', '0.013820630', '0.014122749', '0.012148260', '0.003700780', '0.013335916', '0.005876044', '0.015849346', '0.014105114', '0.005937970', '0.009554168', '0.015510477', '0.003669279', '0.012518430', '0.004839387', '0.005331346', '0.003832473', '0.004902374', '0.016635038', '0.016209107', '0.005413179', '0.006567854', '0.004075697', '0.005194362', '0.026168825', '0.005291963', '0.010994030', '0.005131137', '0.004314801', '0.013942672', '0.005124951', '0.013593168', '0.015710689', '0.006363513', '0.006028578', '0.017593537', '0.006718800', '0.005689819', '0.008527773', '0.011075173', '0.013347066', '0.015247726', '0.005246433', '0.007361341', '0.006328245', '0.013426366', '0.004383599', '0.014638964', '0.009965347', '0.016069617', '0.010678234', '0.013126829', '0.015088140', '0.004605534', '0.012502363', '0.007814595', '0.003411055', '0.005386799', '0.014873922', '0.005006624', '0.024304656', '0.013171107', '0.004680475', '0.006325536', '0.007272281', '0.014622157', '0.009636680', '0.006274892', '0.014431016', '0.004832557', '0.013979535', '0.003379718', '0.005246664', '0.012813135', '0.013576550', '0.015159339', '0.015847992', '0.005782731', '0.005496489', '0.010245559', '0.004761622', '0.006420592', '0.004935861', '0.014975556', '0.004838415', '0.006090038', '0.002203009', '0.011116840', '0.005009864']]" "['0.153107896', '0.084348023', '0.168291271', '0.213218048', '0.098069727', '0.091940522', '0.191024467']"
1 TND_inv View1 0.503 0.649 2.362 0.525 0.614 0.001 nan 801.0 801.0 "['0.010047411', '0.009451222', '0.009821104', '0.009917354', '0.009776630', '0.009747173', '0.009749373', '0.009790325', '0.009820869', '0.009842545', '0.009586597', '0.010565798', '0.009800688', '0.009831260', '0.009820974', '0.009921693', '0.010462187', '0.010058989', '0.010043413', '0.009820841', '0.009632885', '0.010661111', '0.009821277', '0.009828935', '0.009821509', '0.010566800', '0.009763438', '0.010166511', '0.010567459', '0.010514951', '0.009626450', '0.009806314', '0.009797811', '0.010477984', '0.009784397', '0.009818686', '0.009518842', '0.010309658', '0.009811712', '0.010127495', '0.009821208', '0.009821598', '0.009698347', '0.009766243', '0.010273543', '0.009824301', '0.010386479', '0.010309123', '0.009625308', '0.009934526', '0.009821760', '0.009849295', '0.010265367', '0.009790978', '0.009828065', '0.010511594', '0.009463715', '0.009848810', '0.009821615', '0.009820826', '0.010566747', '0.009818358', '0.009821340', '0.009586597', '0.009748277', '0.009962827', '0.009534513', '0.010338610', '0.010212637', '0.010754082', '0.010503285', '0.009807738', '0.010494365', '0.009827960', '0.009820422', '0.009812950', '0.010482032', '0.009822419', '0.010218143', '0.009820843', '0.009798402', '0.010913474', '0.010551307', '0.010117334', '0.010164326', '0.009821874', '0.010454920', '0.010197777', '0.009854951', '0.009804570', '0.009748715', '0.009761817', '0.010397072', '0.009695452', '0.009829280', '0.010563687', '0.010509547', '0.009792108', '0.009712447', '0.010573337']" 
