Run Bound_name View Risk Gibbs_Risk Bound Join_Error Disagreement KL_QP KL_RhoPi n_labeled n_all Posterior_Qv Posterior_rho
1 Uniform View1 0.217 0.230 0.536 0.111 0.239 0.000 nan 2008.0 2008.0 "['0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000']" 
1 Uniform View2 0.156 0.166 0.399 0.080 0.172 0.000 nan 2008.0 2008.0 "['0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000']" 
1 Uniform View3 0.108 0.126 0.312 0.050 0.152 0.000 nan 2008.0 2008.0 "['0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000']" 
1 Uniform View4 0.075 0.091 0.236 0.037 0.109 0.000 nan 2008.0 2008.0 "['0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000']" 
1 Uniform Concatenated 0.048 0.087 0.226 0.023 0.127 0.000 nan 2008.0 2008.0 "['0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000']" 
1 Uniform Multiview 0.063 0.154 0.373 0.045 0.219 -0.000 -0.000 2008.0 2008.0 "[['0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000'], ['0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000'], ['0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000'], ['0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000']]" "['0.250000000', '0.250000000', '0.250000000', '0.250000000']"
1 PBkl View1 0.213 0.210 0.499 0.112 0.195 1.386 nan 2008.0 2008.0 "['0.061500970', '0.000751661', '0.000915293', '0.031588428', '0.006019504', '0.000775990', '0.000800851', '0.000841724', '0.000759663', '0.001043052', '0.003319409', '0.000709047', '0.001083877', '0.001447492', '0.005324311', '0.001992189', '0.001556028', '0.012632645', '0.000717425', '0.002410089', '0.000707522', '0.000718955', '0.001106676', '0.000703722', '0.001032607', '0.012632645', '0.022843605', '0.000716052', '0.001680934', '0.000783071', '0.001196482', '0.001133805', '0.000712675', '0.001680934', '0.001051762', '0.072829485', '0.000703261', '0.001083877', '0.001196482', '0.001043052', '0.001106676', '0.001352691', '0.006019504', '0.000713694', '0.000703261', '0.041990206', '0.000704580', '0.006019504', '0.006019504', '0.000713694', '0.012632645', '0.003319409', '0.000711745', '0.095316611', '0.101548851', '0.000711310', '0.003721279', '0.083724692', '0.002185723', '0.004715560', '0.001043052', '0.001352691', '0.001196482', '0.009878593', '0.000775990', '0.000997639', '0.000723677', '0.002670120', '0.002971226', '0.001992189', '0.000769827', '0.002410089', '0.018123042', '0.000825569', '0.016092049', '0.000704051', '0.002670120', '0.005324311', '0.001051001', '0.000706012', '0.076033697', '0.001992189', '0.001196482', '0.072829485', '0.006811142', '0.000720672', '0.000748276', '0.004184049', '0.001825193', '0.000704222', '0.031588428', '0.000812136', '0.001133805', '0.006811142', '0.038378295', '0.000997639', '0.041990206', '0.001447492', '0.000841724', '0.000997639']" 
1 PBkl View2 0.143 0.154 0.378 0.076 0.155 0.989 nan 2008.0 2008.0 "['0.016784560', '0.011156813', '0.001967422', '0.001210707', '0.002275575', '0.001854254', '0.002275575', '0.042175263', '0.001246173', '0.001219421', '0.001236280', '0.001276132', '0.009684346', '0.034510750', '0.001334354', '0.009684346', '0.003915512', '0.002275575', '0.006228531', '0.001357770', '0.012819367', '0.012819367', '0.001196829', '0.003358411', '0.021695707', '0.016784560', '0.001473481', '0.001232150', '0.009684346', '0.001286985', '0.001622643', '0.001204410', '0.001424736', '0.001894935', '0.030944834', '0.001240923', '0.009684346', '0.027611895', '0.012819367', '0.001198666', '0.016784560', '0.027611895', '0.001200741', '0.001334354', '0.011156813', '0.001240923', '0.090950079', '0.001286985', '0.001473481', '0.001212614', '0.001222141', '0.003358411', '0.001622643', '0.080128767', '0.001246173', '0.014689906', '0.001222141', '0.001854254', '0.016784560', '0.001357770', '0.001315423', '0.001228458', '0.001222141', '0.003915512', '0.001299892', '0.001387183', '0.001357770', '0.024527159', '0.001537634', '0.066709608', '0.001197720', '0.001240923', '0.002088616', '0.030944834', '0.001537634', '0.001473481', '0.014689906', '0.001212614', '0.002088616', '0.006228531', '0.001866204', '0.001225138', '0.002543244', '0.003358411', '0.019116631', '0.001236280', '0.001894935', '0.012819367', '0.038275123', '0.001188227', '0.001212614', '0.001200741', '0.008383621', '0.001236280', '0.066709608', '0.057338197', '0.001387183', '0.004576290', '0.001854254', '0.001967422']" 
1 PBkl View3 0.108 0.110 0.282 0.047 0.124 1.176 nan 2008.0 2008.0 "['0.001064318', '0.001836239', '0.001079033', '0.023723958', '0.001117979', '0.001663070', '0.001075186', '0.002637677', '0.017299257', '0.001063840', '0.001064067', '0.003014970', '0.001070648', '0.017299257', '0.003957676', '0.001063862', '0.023723958', '0.015486474', '0.001139130', '0.001289203', '0.001063649', '0.066182241', '0.001083873', '0.003453824', '0.050949909', '0.001064318', '0.001064604', '0.001063717', '0.021415954', '0.004530211', '0.001068480', '0.001068830', '0.004530211', '0.001836239', '0.001064067', '0.001139130', '0.017299257', '0.001289203', '0.001064067', '0.001064067', '0.096678719', '0.001168600', '0.001083873', '0.001067403', '0.001073779', '0.007609672', '0.001168600', '0.001259939', '0.001064604', '0.003453824', '0.001117979', '0.009725483', '0.005899675', '0.001063649', '0.001836239', '0.003957676', '0.001064916', '0.001663070', '0.003014970', '0.001259939', '0.021415954', '0.001063862', '0.001065523', '0.001068480', '0.004530211', '0.001078050', '0.001070648', '0.019274656', '0.001064318', '0.006708422', '0.031625152', '0.001065247', '0.001208950', '0.079088449', '0.015486474', '0.001083873', '0.001168600', '0.001836239', '0.001168600', '0.001065947', '0.001073779', '0.086472094', '0.001836239', '0.034568924', '0.001063680', '0.001071705', '0.017299257', '0.001102798', '0.012324855', '0.001066308', '0.001067038', '0.012324855', '0.057496071', '0.005899675', '0.060564853', '0.001345224', '0.037655201', '0.001083873', '0.001073077', '0.019274656']" 
1 PBkl View4 0.078 0.080 0.215 0.035 0.089 1.195 nan 2008.0 2008.0 "['0.000856403', '0.000834001', '0.032304846', '0.000827996', '0.000970317', '0.000861807', '0.000835203', '0.000828583', '0.001797036', '0.000917703', '0.000834585', '0.010095778', '0.001144725', '0.004946937', '0.004946937', '0.001132112', '0.000856403', '0.000841839', '0.000840799', '0.041726518', '0.000906535', '0.000868664', '0.001549283', '0.005896718', '0.004158875', '0.001173394', '0.007043794', '0.001365807', '0.008428726', '0.000839831', '0.032304846', '0.000852049', '0.007043794', '0.005896718', '0.000931438', '0.000846915', '0.003502556', '0.027971964', '0.002953745', '0.002110878', '0.001144725', '0.000829914', '0.001174922', '0.001079343', '0.002953745', '0.046512637', '0.001034039', '0.000836555', '0.020397060', '0.000931438', '0.001144725', '0.001243084', '0.004158875', '0.000931438', '0.004158875', '0.000906535', '0.000835203', '0.036927465', '0.000917703', '0.007043794', '0.062344395', '0.007043794', '0.001144725', '0.000858954', '0.002494044', '0.010095778', '0.001174922', '0.004946937', '0.000840799', '0.014453136', '0.002494044', '0.001132112', '0.065297544', '0.000832428', '0.008428726', '0.000917703', '0.000856403', '0.001797036', '0.055254932', '0.055254932', '0.007043794', '0.051071540', '0.078679018', '0.000848472', '0.017216833', '0.007043794', '0.001365807', '0.041726518', '0.001365807', '0.020397060', '0.001079343', '0.000856403', '0.001144725', '0.000848472', '0.020397060', '0.000832428', '0.051071540', '0.001132112', '0.036927465', '0.001079343']" 
