Run Bound_name View Risk Gibbs_Risk Bound Join_Error Disagreement KL_QP KL_RhoPi n_labeled n_all Posterior_Qv Posterior_rho
1 TND View1 0.058 0.056 0.267 0.055 0.001 0.000 nan 7200.0 7200.0 "['0.009968831', '0.010121135', '0.009968831', '0.009968831', '0.009968831', '0.009968831', '0.009968831', '0.009968831', '0.010012247', '0.009968831', '0.009968831', '0.009968831', '0.010068562', '0.009968831', '0.010105358', '0.010081868', '0.010062952', '0.009968831', '0.009968831', '0.009968831', '0.009968831', '0.010044239', '0.009968831', '0.009968831', '0.009968831', '0.009968831', '0.009968831', '0.010031002', '0.010081868', '0.009968831', '0.009968831', '0.009994113', '0.010229780', '0.009968831', '0.010229780', '0.009968831', '0.009968831', '0.009968831', '0.009968831', '0.009968831', '0.010047014', '0.009968831', '0.010044239', '0.009968831', '0.010081868', '0.010012046', '0.009968831', '0.009968831', '0.009968831', '0.010043844', '0.009968831', '0.009968831', '0.010081463', '0.009968831', '0.009968831', '0.010043844', '0.009968831', '0.009968831', '0.009968831', '0.009968831', '0.009968831', '0.009968831', '0.009968831', '0.009968831', '0.009968831', '0.009968831', '0.009968831', '0.009968831', '0.009968831', '0.009968831', '0.010044239', '0.009968831', '0.009968831', '0.010028045', '0.009968831', '0.009968831', '0.009968831', '0.009968831', '0.009968831', '0.009968831', '0.009968831', '0.009968831', '0.009968831', '0.009968831', '0.009968831', '0.009968831', '0.009968831', '0.010436749', '0.010081868', '0.009968831', '0.010047014', '0.009968831', '0.009993859', '0.010062952', '0.010087957', '0.009968831', '0.009968831', '0.009968831', '0.010044239', '0.009968831']" 
1 TND View2 0.058 0.056 0.268 0.055 0.000 0.000 nan 7200.0 7200.0 "['0.009975926', '0.009975926', '0.009975926', '0.009975926', '0.009975926', '0.009975926', '0.009975926', '0.009975926', '0.009975926', '0.009975926', '0.009975926', '0.009975926', '0.009975926', '0.009975926', '0.009975926', '0.009975926', '0.009975926', '0.009975926', '0.009975926', '0.010164467', '0.009975926', '0.009975926', '0.009975926', '0.009975926', '0.009975926', '0.009975926', '0.009975926', '0.009975926', '0.009975926', '0.009975926', '0.009975926', '0.010547810', '0.009975926', '0.009975926', '0.009975926', '0.010501702', '0.009975926', '0.010352719', '0.009975926', '0.009975926', '0.009975926', '0.009975926', '0.009975926', '0.009975926', '0.009975926', '0.009975926', '0.009975926', '0.009975926', '0.009975926', '0.009975926', '0.009975926', '0.009975926', '0.009975926', '0.009975926', '0.009975926', '0.009975926', '0.009975926', '0.010194593', '0.009975926', '0.009975926', '0.009975926', '0.009975926', '0.009975926', '0.009975926', '0.009975926', '0.009975926', '0.009975926', '0.009975926', '0.009975926', '0.009975926', '0.009975926', '0.009975926', '0.009975926', '0.009975926', '0.009975926', '0.009975926', '0.009975926', '0.009975926', '0.009975926', '0.009975926', '0.009975926', '0.009975926', '0.009975926', '0.009975926', '0.009975926', '0.009975926', '0.009975926', '0.009975926', '0.010501702', '0.009975926', '0.009975926', '0.009975926', '0.009975926', '0.009975926', '0.009975926', '0.009975926', '0.009975926', '0.009975926', '0.009975926', '0.009975926']" 
1 TND View3 0.058 0.056 0.267 0.055 0.001 0.000 nan 7200.0 7200.0 "['0.009962332', '0.009962332', '0.010040207', '0.009962332', '0.009962332', '0.009962332', '0.009962332', '0.009962332', '0.010026525', '0.009962332', '0.009962332', '0.009962332', '0.009962332', '0.009962332', '0.010129838', '0.010317801', '0.009962332', '0.009962332', '0.009962332', '0.009962332', '0.009986394', '0.009962332', '0.009962332', '0.009962332', '0.009962332', '0.009962332', '0.009962332', '0.009986148', '0.009962332', '0.009962332', '0.009962332', '0.009962332', '0.009962332', '0.010295599', '0.009962332', '0.009962332', '0.009962332', '0.009962332', '0.009962332', '0.009962332', '0.010135002', '0.009962332', '0.010296099', '0.009962332', '0.010027170', '0.010364096', '0.009962332', '0.009962332', '0.009962332', '0.009962332', '0.009962332', '0.010026740', '0.009962332', '0.009962332', '0.010087738', '0.010023478', '0.009962332', '0.009962332', '0.009962332', '0.010320862', '0.009962332', '0.010047476', '0.009962332', '0.010027170', '0.009962332', '0.009962332', '0.010060365', '0.009962332', '0.009962332', '0.009962332', '0.009962332', '0.009962332', '0.009962332', '0.009962332', '0.009962332', '0.009962332', '0.009962332', '0.010066843', '0.009962332', '0.010026740', '0.010060796', '0.009962332', '0.009962332', '0.009962332', '0.009962332', '0.010274529', '0.009962332', '0.009962332', '0.009962332', '0.009962332', '0.009962332', '0.009962332', '0.010061227', '0.009962332', '0.009962332', '0.009962332', '0.009962332', '0.010173884', '0.009962332', '0.009962332']" 
1 TND View4 0.058 0.056 0.268 0.056 0.000 0.000 nan 7200.0 7200.0 "['0.009966600', '0.010001210', '0.010001210', '0.010001210', '0.010001210', '0.010001210', '0.010001210', '0.010001210', '0.009967132', '0.010001210', '0.010001210', '0.010001210', '0.010001210', '0.010001210', '0.010001210', '0.010001210', '0.010001210', '0.010001210', '0.010001210', '0.010001210', '0.010001210', '0.010001210', '0.010001210', '0.010001210', '0.010001210', '0.010001210', '0.010001210', '0.009991553', '0.010001210', '0.010001210', '0.010001210', '0.010001210', '0.010001210', '0.009992610', '0.010001210', '0.010001210', '0.010001210', '0.010001210', '0.010001210', '0.010001210', '0.010001210', '0.010001210', '0.010001210', '0.010001210', '0.010001210', '0.010001210', '0.010001210', '0.010001210', '0.010001210', '0.010001210', '0.010001210', '0.010001210', '0.010001210', '0.010001210', '0.010001210', '0.010001210', '0.010001210', '0.010001210', '0.010001210', '0.009967132', '0.010001210', '0.010001210', '0.010001210', '0.010001210', '0.010001210', '0.010001210', '0.010001210', '0.010001210', '0.010001210', '0.010001210', '0.010001210', '0.010001210', '0.010001210', '0.010001210', '0.010001210', '0.010001210', '0.010001210', '0.010001210', '0.010001210', '0.010001210', '0.010001210', '0.010001210', '0.010001210', '0.010001210', '0.010001210', '0.010001210', '0.010001210', '0.010001210', '0.010001210', '0.010001210', '0.010001210', '0.010001210', '0.010001210', '0.010001210', '0.010001210', '0.010001210', '0.010001210', '0.010001210', '0.010001210', '0.010001210']" 
1 TND View5 0.058 0.056 0.268 0.056 0.000 0.000 nan 7200.0 7200.0 "['0.009998208', '0.009998208', '0.009998208', '0.009998208', '0.009998208', '0.009998208', '0.009998208', '0.009998208', '0.009998208', '0.009998208', '0.009998208', '0.009998208', '0.009998208', '0.009998208', '0.010177465', '0.009998208', '0.009998208', '0.009998208', '0.009998208', '0.009998208', '0.009998208', '0.009998208', '0.009998208', '0.009998208', '0.009998208', '0.009998208', '0.009998208', '0.009998208', '0.009998208', '0.009998208', '0.009998208', '0.009998208', '0.009998208', '0.009998208', '0.009998208', '0.009998208', '0.009998208', '0.009998208', '0.009998208', '0.009998208', '0.009998208', '0.009998208', '0.009998208', '0.009998208', '0.009998208', '0.009998208', '0.009998208', '0.009998208', '0.009998208', '0.009998208', '0.009998208', '0.009998208', '0.009998208', '0.009998208', '0.009998208', '0.009998208', '0.009998208', '0.009998208', '0.009998208', '0.009998208', '0.009998208', '0.009998208', '0.009998208', '0.009998208', '0.009998208', '0.009998208', '0.009998208', '0.009998208', '0.009998208', '0.009998208', '0.009998208', '0.009998208', '0.009998208', '0.009998208', '0.009998208', '0.009998208', '0.009998208', '0.009998208', '0.009998208', '0.009998208', '0.009998208', '0.009998208', '0.009998208', '0.009998208', '0.009998208', '0.009998208', '0.009998208', '0.009998208', '0.009998208', '0.009998208', '0.009998208', '0.009998208', '0.009998208', '0.009998208', '0.009998208', '0.009998208', '0.009998208', '0.009998208', '0.009998208', '0.009998208']" 
1 TND Concatenated 0.058 0.056 0.268 0.055 0.000 0.000 nan 7200.0 7200.0 "['0.009978906', '0.009978906', '0.009978906', '0.009978906', '0.009978906', '0.010398824', '0.009978906', '0.009978906', '0.009991188', '0.009978906', '0.009978906', '0.009978906', '0.009978906', '0.009978906', '0.009978906', '0.009978906', '0.009978906', '0.009978906', '0.009978906', '0.009978906', '0.009978906', '0.009978906', '0.009978906', '0.010025520', '0.009978906', '0.009978906', '0.009978906', '0.009978906', '0.009978906', '0.010252066', '0.009978906', '0.009978906', '0.009978906', '0.010093343', '0.009978906', '0.010398522', '0.009978906', '0.009978906', '0.009978906', '0.009978906', '0.010563566', '0.009978906', '0.010126786', '0.009978906', '0.009978906', '0.009978906', '0.009978906', '0.009978906', '0.009978906', '0.009978906', '0.009978906', '0.009978906', '0.009978906', '0.009978906', '0.009978906', '0.009978906', '0.009978906', '0.009978906', '0.009978906', '0.009978906', '0.009978906', '0.009978906', '0.009978906', '0.009978906', '0.009978906', '0.009978906', '0.010025172', '0.009978906', '0.009978906', '0.009978906', '0.009978906', '0.009978906', '0.009978906', '0.009978906', '0.009978906', '0.009978906', '0.009978906', '0.009978906', '0.009978906', '0.009978906', '0.009978906', '0.009978906', '0.009978906', '0.009978906', '0.009978906', '0.009978906', '0.009978906', '0.009978906', '0.009978906', '0.009978906', '0.009978906', '0.009978906', '0.009978906', '0.009978906', '0.009978906', '0.009978906', '0.009978906', '0.009978906', '0.009978906', '0.010023428']" 
1 TND Multiview 0.058 0.056 0.267 0.055 0.001 0.001 0.000 7200.0 7200.0 "[['0.009520995', '0.012835152', '0.007111513', '0.009599854', '0.009599854', '0.009435486', '0.009603794', '0.009603794', '0.009099683', '0.009607027', '0.009607027', '0.008972702', '0.011429644', '0.009644314', '0.012371927', '0.012041726', '0.011370311', '0.009813918', '0.009813918', '0.009813918', '0.009547189', '0.014503647', '0.007643158', '0.009835163', '0.009835163', '0.009835163', '0.005913476', '0.014798779', '0.011660137', '0.009864230', '0.009864230', '0.010821712', '0.012562066', '0.009938180', '0.014350293', '0.010056392', '0.010056392', '0.010056392', '0.006268402', '0.009999001', '0.009695880', '0.010022171', '0.009501937', '0.010031607', '0.011305463', '0.012710462', '0.008271294', '0.010099755', '0.010099755', '0.014133015', '0.007790339', '0.010050425', '0.009600271', '0.006857932', '0.007978047', '0.009731802', '0.008562118', '0.009989280', '0.009989280', '0.009989280', '0.009989280', '0.009989280', '0.009989280', '0.009989280', '0.009989280', '0.009989280', '0.007895386', '0.009872844', '0.007995204', '0.009788749', '0.009382807', '0.009804731', '0.008520665', '0.012331687', '0.008495474', '0.008483732', '0.009744840', '0.009744840', '0.008491703', '0.009736866', '0.009736866', '0.007541993', '0.009733007', '0.009733007', '0.009733007', '0.009733007', '0.008432564', '0.018060250', '0.013010348', '0.009875004', '0.012183604', '0.009249012', '0.010196237', '0.012446973', '0.010696173', '0.008830180', '0.008830180', '0.009329017', '0.009093308', '0.008615207'], ['0.010232395', '0.010023945', '0.009611892', '0.010223692', '0.010223692', '0.010038606', '0.010228625', '0.010228625', '0.008846798', '0.010207537', '0.010207537', '0.009469826', '0.010570104', '0.010187680', '0.009958695', '0.010400143', '0.010586254', '0.010155295', '0.010155295', '0.010155295', '0.009833286', '0.010064648', '0.008926679', '0.010129842', '0.010129842', '0.010129842', '0.008714559', '0.009061843', '0.010463451', '0.010053043', '0.010053043', '0.009810603', '0.008365431', '0.009965812', '0.009579308', '0.009936416', '0.009936416', '0.009936416', '0.008986052', '0.009878140', '0.010187807', '0.009856215', '0.010024850', '0.009820370', '0.010426104', '0.009069509', '0.009565029', '0.009798302', '0.009798302', '0.008609488', '0.016753526', '0.009848070', '0.014526600', '0.010180264', '0.009758985', '0.010491818', '0.009336328', '0.009786318', '0.009786318', '0.009786318', '0.009786318', '0.009786318', '0.009786318', '0.009786318', '0.009786318', '0.009786318', '0.013198625', '0.009769137', '0.018176904', '0.009827758', '0.010551523', '0.009799977', '0.010595905', '0.009295366', '0.009516945', '0.010535044', '0.009709106', '0.009709106', '0.009478184', '0.009701408', '0.009701408', '0.010231082', '0.009698316', '0.009698316', '0.009698316', '0.009698316', '0.010500343', '0.007446612', '0.008665700', '0.009586237', '0.008857133', '0.009086530', '0.009487346', '0.008792193', '0.009026200', '0.009522445', '0.009522445', '0.009085923', '0.010533973', '0.009501186'], ['0.010291784', '0.008230074', '0.007755538', '0.010287196', '0.010287196', '0.010098235', '0.010291832', '0.010291832', '0.010203132', '0.010287195', '0.010287195', '0.011963362', '0.007121146', '0.010277855', '0.006783871', '0.007043392', '0.007139502', '0.010255001', '0.010255001', '0.010255001', '0.011045817', '0.008553004', '0.014329380', '0.010246721', '0.010246721', '0.010246721', '0.015430218', '0.008285457', '0.007090592', '0.010226777', '0.010226777', '0.010025127', '0.012064266', '0.010197762', '0.007928698', '0.010173755', '0.010173755', '0.010173755', '0.015552121', '0.010170285', '0.009371251', '0.010160461', '0.010791520', '0.010151463', '0.007138883', '0.009500046', '0.008177002', '0.010135372', '0.010135372', '0.008812455', '0.007813475', '0.010137118', '0.007887183', '0.008901590', '0.014052416', '0.009276540', '0.012866611', '0.010115192', '0.010115192', '0.010115192', '0.010115192', '0.010115192', '0.010115192', '0.010115192', '0.010115192', '0.010115192', '0.012909866', '0.010117393', '0.006217184', '0.010125083', '0.010203524', '0.010116089', '0.011588477', '0.008549132', '0.012829115', '0.012307936', '0.010103250', '0.010103250', '0.012777131', '0.010102510', '0.010102510', '0.007786521', '0.010098507', '0.010098507', '0.010098507', '0.010098507', '0.014595699', '0.006736122', '0.008783211', '0.010018909', '0.009009017', '0.012286517', '0.009830269', '0.008944822', '0.010035957', '0.008699088', '0.008699088', '0.012243131', '0.007219456', '0.008427244'], ['0.009914293', '0.009780091', '0.009370028', '0.009905901', '0.009905901', '0.009733504', '0.009910496', '0.009910496', '0.010865387', '0.009922094', '0.009922094', '0.009803176', '0.010363886', '0.009919016', '0.009797772', '0.010208595', '0.010388922', '0.009887940', '0.009887940', '0.009887940', '0.009801747', '0.008498480', '0.009603664', '0.009894974', '0.009894974', '0.009894974', '0.010015490', '0.008996333', '0.010335650', '0.009930625', '0.009930625', '0.009691654', '0.008960194', '0.009954598', '0.009477085', '0.009924825', '0.009924825', '0.009924825', '0.009670190', '0.009984436', '0.011056657', '0.009977592', '0.010131727', '0.009996118', '0.010485582', '0.009389380', '0.013802998', '0.009976805', '0.009976805', '0.008713424', '0.009326908', '0.009977804', '0.009420480', '0.014082571', '0.009472932', '0.010475742', '0.009585014', '0.010016870', '0.010016870', '0.010016870', '0.010016870', '0.010016870', '0.010016870', '0.010016870', '0.010016870', '0.010016870', '0.008455150', '0.010082935', '0.008989100', '0.010092923', '0.010177287', '0.010103876', '0.009918946', '0.009764876', '0.009547158', '0.009632311', '0.010184998', '0.010184998', '0.009591298', '0.010193055', '0.010193055', '0.015182608', '0.010173347', '0.010173347', '0.010173347', '0.010173347', '0.008616844', '0.008991576', '0.009070109', '0.010190644', '0.009202753', '0.009000079', '0.010130297', '0.009147155', '0.008956051', '0.010714585', '0.010714585', '0.008961918', '0.013000240', '0.010719126'], ['0.009903498', '0.009655978', '0.016066046', '0.009847777', '0.009847777', '0.010573412', '0.009828900', '0.009828900', '0.010718884', '0.009840519', '0.009840519', '0.009723111', '0.010235702', '0.009837406', '0.010934676', '0.010053175', '0.010231757', '0.009759624', '0.009759624', '0.009759624', '0.009673921', '0.008557145', '0.009514287', '0.009766614', '0.009766614', '0.009766614', '0.009870939', '0.008906648', '0.010178544', '0.009802064', '0.009802064', '0.009564376', '0.008815519', '0.009825909', '0.009315148', '0.009796255', '0.009796255', '0.009796255', '0.009526892', '0.009855617', '0.010086284', '0.009872253', '0.009962777', '0.009890755', '0.010340730', '0.009339666', '0.010102138', '0.009883212', '0.009883212', '0.009837748', '0.009183562', '0.009884162', '0.009269361', '0.009889930', '0.009350305', '0.010338975', '0.009643416', '0.009994644', '0.009994644', '0.009994644', '0.009994644', '0.009994644', '0.009994644', '0.009994644', '0.009994644', '0.009994644', '0.008346733', '0.010061776', '0.008903552', '0.010072158', '0.010045569', '0.010083605', '0.009787761', '0.010016542', '0.009607662', '0.009506318', '0.010167473', '0.010167473', '0.009656207', '0.010175853', '0.010175853', '0.009483546', '0.010205717', '0.010205717', '0.010205717', '0.010205717', '0.008519998', '0.008946565', '0.010537168', '0.010248034', '0.010741151', '0.010339851', '0.010282787', '0.010677126', '0.010425118', '0.012175474', '0.012175474', '0.010397598', '0.009941651', '0.012656217']]" "['0.200148582', '0.200029477', '0.199996382', '0.199924871', '0.199900702']"
1 TND_inv View1 0.058 0.056 0.267 0.055 0.001 0.000 nan 7200.0 7200.0 "['0.009959183', '0.010140059', '0.009959183', '0.009959183', '0.009959183', '0.009959183', '0.009959183', '0.009959183', '0.010045327', '0.009959183', '0.009959183', '0.009959183', '0.010090959', '0.009959183', '0.010124654', '0.010102776', '0.010086109', '0.009959183', '0.009959183', '0.009959183', '0.009959183', '0.010070465', '0.009959183', '0.009959183', '0.009959183', '0.009959183', '0.009959183', '0.010059886', '0.010102776', '0.009959183', '0.009959183', '0.009979667', '0.010259802', '0.009959183', '0.010259802', '0.009959183', '0.009959183', '0.009959183', '0.009959183', '0.009959183', '0.010072733', '0.009959183', '0.010070465', '0.009959183', '0.010102776', '0.010045171', '0.009959183', '0.009959183', '0.009959183', '0.010070140', '0.009959183', '0.009959183', '0.010102411', '0.009959183', '0.009959183', '0.010070140', '0.009959183', '0.009959183', '0.009959183', '0.009959183', '0.009959183', '0.009959183', '0.009959183', '0.009959183', '0.009959183', '0.009959183', '0.009959183', '0.009959183', '0.009959183', '0.009959183', '0.010070465', '0.009959183', '0.009959183', '0.010057571', '0.009959183', '0.009959183', '0.009959183', '0.009959183', '0.009959183', '0.009959183', '0.009959183', '0.009959183', '0.009959183', '0.009959183', '0.009959183', '0.009959183', '0.009959183', '0.010534795', '0.010102776', '0.009959183', '0.010072733', '0.009959183', '0.009979454', '0.010086109', '0.010108321', '0.009959183', '0.009959183', '0.009959183', '0.010070465', '0.009959183']" 
1 TND_inv View2 0.058 0.056 0.268 0.055 0.000 0.000 nan 7200.0 7200.0 "['0.009988907', '0.009988907', '0.009988907', '0.009988907', '0.009988907', '0.009988907', '0.009988907', '0.009988907', '0.009988907', '0.009988907', '0.009988907', '0.009988907', '0.009988907', '0.009988907', '0.009988907', '0.009988907', '0.009988907', '0.009988907', '0.009988907', '0.010091037', '0.009988907', '0.009988907', '0.009988907', '0.009988907', '0.009988907', '0.009988907', '0.009988907', '0.009988907', '0.009988907', '0.009988907', '0.009988907', '0.010235136', '0.009988907', '0.009988907', '0.009988907', '0.010220516', '0.009988907', '0.010169985', '0.009988907', '0.009988907', '0.009988907', '0.009988907', '0.009988907', '0.009988907', '0.009988907', '0.009988907', '0.009988907', '0.009988907', '0.009988907', '0.009988907', '0.009988907', '0.009988907', '0.009988907', '0.009988907', '0.009988907', '0.009988907', '0.009988907', '0.010105556', '0.009988907', '0.009988907', '0.009988907', '0.009988907', '0.009988907', '0.009988907', '0.009988907', '0.009988907', '0.009988907', '0.009988907', '0.009988907', '0.009988907', '0.009988907', '0.009988907', '0.009988907', '0.009988907', '0.009988907', '0.009988907', '0.009988907', '0.009988907', '0.009988907', '0.009988907', '0.009988907', '0.009988907', '0.009988907', '0.009988907', '0.009988907', '0.009988907', '0.009988907', '0.009988907', '0.010220516', '0.009988907', '0.009988907', '0.009988907', '0.009988907', '0.009988907', '0.009988907', '0.009988907', '0.009988907', '0.009988907', '0.009988907', '0.009988907']" 
1 TND_inv View3 0.058 0.056 0.267 0.055 0.001 0.000 nan 7200.0 7200.0 "['0.009957031', '0.009957031', '0.010087171', '0.009957031', '0.009957031', '0.009957031', '0.009957031', '0.009957031', '0.010079119', '0.009957031', '0.009957031', '0.009957031', '0.009957031', '0.009957031', '0.010141200', '0.010284729', '0.009957031', '0.009957031', '0.009957031', '0.009957031', '0.009982107', '0.009957031', '0.009957031', '0.009957031', '0.009957031', '0.009957031', '0.009957031', '0.009981862', '0.009957031', '0.009957031', '0.009957031', '0.009957031', '0.009957031', '0.010265247', '0.009957031', '0.009957031', '0.009957031', '0.009957031', '0.009957031', '0.009957031', '0.010144552', '0.009957031', '0.010265677', '0.009957031', '0.010079523', '0.010327771', '0.009957031', '0.009957031', '0.009957031', '0.009957031', '0.009957031', '0.010079255', '0.009957031', '0.009957031', '0.010114937', '0.010077110', '0.009957031', '0.009957031', '0.009957031', '0.010287475', '0.009957031', '0.010091334', '0.009957031', '0.010079523', '0.009957031', '0.009957031', '0.010098761', '0.009957031', '0.009957031', '0.009957031', '0.009957031', '0.009957031', '0.009957031', '0.009957031', '0.009957031', '0.009957031', '0.009957031', '0.010102537', '0.009957031', '0.010079255', '0.010099012', '0.009957031', '0.009957031', '0.009957031', '0.009957031', '0.010247432', '0.009957031', '0.009957031', '0.009957031', '0.009957031', '0.009957031', '0.009957031', '0.010099267', '0.009957031', '0.009957031', '0.009957031', '0.009957031', '0.010170759', '0.009957031', '0.009957031']" 
