Run Bound_name View Risk Gibbs_Risk Bound Join_Error Disagreement KL_QP KL_RhoPi n_labeled n_all Posterior_Qv Posterior_rho
1 TND View1 0.058 0.055 0.256 0.053 0.005 0.000 nan 7200.0 7200.0 "['0.010035829', '0.009951103', '0.009934474', '0.009798988', '0.010125229', '0.009845999', '0.009952718', '0.009972638', '0.010009500', '0.010059508', '0.009920370', '0.009865015', '0.010084005', '0.010337406', '0.009983283', '0.009933694', '0.009971504', '0.009859894', '0.009775148', '0.009980378', '0.010003419', '0.010421108', '0.009799479', '0.010409541', '0.009953259', '0.009926996', '0.010231705', '0.010088462', '0.009869894', '0.009863308', '0.009885302', '0.009976921', '0.010242718', '0.010289470', '0.010159951', '0.010056652', '0.009932142', '0.009977856', '0.010503083', '0.010051267', '0.009951372', '0.010075727', '0.010112596', '0.009842096', '0.009917585', '0.009858432', '0.010066817', '0.010288582', '0.009858188', '0.009972070', '0.009858920', '0.010129321', '0.010080185', '0.009817150', '0.009883830', '0.009858432', '0.010115445', '0.009842096', '0.009935251', '0.010338204', '0.010130894', '0.009799479', '0.010048737', '0.009957059', '0.009842339', '0.009845510', '0.009884565', '0.009823030', '0.009915316', '0.009859894', '0.009883584', '0.010122392', '0.009845023', '0.009846242', '0.009818866', '0.010454916', '0.009971221', '0.009798496', '0.009846731', '0.009994401', '0.010163675', '0.010121762', '0.010118605', '0.010284730', '0.009980957', '0.010119868', '0.010280261', '0.009994699', '0.009885547', '0.009970655', '0.009822540', '0.009947621', '0.009889722', '0.009866234', '0.009984095', '0.010104356', '0.010144372', '0.009798004', '0.009978589', '0.010013479']" 
1 TND View2 0.058 0.055 0.255 0.052 0.006 0.000 nan 7200.0 7200.0 "['0.009940638', '0.010010589', '0.009907294', '0.009810437', '0.009900864', '0.010000863', '0.010046508', '0.009783433', '0.009785319', '0.010123479', '0.009809609', '0.009930687', '0.010195738', '0.009921684', '0.009759276', '0.010043428', '0.009941705', '0.010010589', '0.009810437', '0.010011461', '0.010057829', '0.009968398', '0.010000633', '0.009853617', '0.009775931', '0.010144271', '0.009783702', '0.009759276', '0.009759276', '0.010012158', '0.010099070', '0.010018684', '0.010037619', '0.010047899', '0.010021442', '0.010056344', '0.010009916', '0.010114659', '0.009779406', '0.009955370', '0.010030626', '0.009860137', '0.009976120', '0.010184987', '0.009876311', '0.010048774', '0.010027400', '0.010035838', '0.010195058', '0.010341053', '0.010002006', '0.010308251', '0.009804375', '0.009782357', '0.010103714', '0.010327166', '0.010014695', '0.009842868', '0.010018302', '0.010026643', '0.009875743', '0.010017752', '0.010070691', '0.010202900', '0.010097629', '0.010286835', '0.009827124', '0.009868083', '0.009945420', '0.009992739', '0.010086277', '0.009913687', '0.010122662', '0.010105703', '0.010007148', '0.010250903', '0.009968146', '0.010061231', '0.009935818', '0.010066085', '0.010225829', '0.010047549', '0.009993677', '0.009805474', '0.010053232', '0.010016114', '0.009966381', '0.010021665', '0.009906736', '0.010152702', '0.010352748', '0.009955630', '0.010008346', '0.010066676', '0.009998100', '0.010015560', '0.009950942', '0.009785050', '0.010009624', '0.010159183']" 
1 TND View3 0.058 0.055 0.255 0.053 0.005 0.000 nan 7200.0 7200.0 "['0.010426859', '0.010473120', '0.010443904', '0.009970969', '0.009733237', '0.009657416', '0.010375843', '0.010054490', '0.010115967', '0.010213782', '0.009632813', '0.009943261', '0.009940548', '0.009620608', '0.010080046', '0.009958378', '0.009690485', '0.009626538', '0.009908996', '0.009641387', '0.009878716', '0.010162568', '0.009683677', '0.010176721', '0.009962166', '0.010077056', '0.009919581', '0.009946374', '0.010395572', '0.010472680', '0.009621345', '0.010069766', '0.009682323', '0.010466573', '0.009955053', '0.010289351', '0.010087792', '0.009948537', '0.009740890', '0.010374089', '0.009620804', '0.010112550', '0.010083280', '0.009918167', '0.009953903', '0.010456406', '0.010086109', '0.009621016', '0.009892706', '0.010072517', '0.009633451', '0.010453186', '0.010114877', '0.009987871', '0.009957853', '0.010023288', '0.009962406', '0.010038828', '0.009653741', '0.010158734', '0.009896089', '0.010390318', '0.009758037', '0.009627065', '0.010145166', '0.009982021', '0.009855317', '0.009740839', '0.010054490', '0.010451222', '0.010440688', '0.010082443', '0.010088286', '0.009929740', '0.010110123', '0.009621589', '0.010034258', '0.009878071', '0.009881857', '0.009923474', '0.010088454', '0.009902222', '0.010057161', '0.009795662', '0.010375259', '0.010072669', '0.009628767', '0.010472190', '0.009982229', '0.010016354', '0.009945997', '0.010155837', '0.010105182', '0.010050668', '0.010011946', '0.009887044', '0.009881676', '0.009939627', '0.009896678', '0.009622061']" 
1 TND View4 0.058 0.056 0.263 0.054 0.003 0.000 nan 7200.0 7200.0 "['0.009947966', '0.009957315', '0.009932314', '0.010022524', '0.010021894', '0.009974215', '0.010104245', '0.009991582', '0.009979128', '0.010016511', '0.009964954', '0.010037631', '0.009992003', '0.009929587', '0.009960138', '0.009982108', '0.009987014', '0.010164436', '0.010029745', '0.009930797', '0.009957315', '0.010032810', '0.009926269', '0.010048645', '0.009966293', '0.009958883', '0.009989058', '0.009985507', '0.009928984', '0.009929889', '0.009963889', '0.009957315', '0.010038293', '0.010006625', '0.009902946', '0.010161515', '0.010040949', '0.009987888', '0.010017465', '0.009931403', '0.010014285', '0.009983273', '0.010107348', '0.009986786', '0.009997074', '0.009902946', '0.009928984', '0.009902946', '0.010211178', '0.009952006', '0.009961395', '0.009986142', '0.010014021', '0.009961710', '0.010024094', '0.009966293', '0.009997074', '0.010244806', '0.009957002', '0.009949828', '0.009996174', '0.010016868', '0.009929284', '0.009902946', '0.009982108', '0.009902946', '0.009986142', '0.009956378', '0.010281065', '0.009988063', '0.009953565', '0.009902946', '0.009902946', '0.010002145', '0.009964154', '0.010050664', '0.010029648', '0.009902946', '0.009902946', '0.010036970', '0.009990943', '0.009990822', '0.010187327', '0.010105280', '0.010041947', '0.010019684', '0.010052351', '0.010026492', '0.010019999', '0.010149035', '0.010085243', '0.010050328', '0.010105624', '0.010052351', '0.009902946', '0.010010882', '0.009902946', '0.010058454', '0.010022940', '0.009926269']" 
1 TND View5 0.058 0.056 0.254 0.052 0.007 0.000 nan 7200.0 7200.0 "['0.010312880', '0.009813515', '0.009912218', '0.009743710', '0.009824002', '0.009734072', '0.009854501', '0.009743710', '0.009813515', '0.009847231', '0.009918868', '0.010086795', '0.009901419', '0.010192301', '0.009736936', '0.009844753', '0.009716619', '0.009884872', '0.009891958', '0.010228802', '0.009812123', '0.009893621', '0.009849072', '0.010216178', '0.009894963', '0.010142098', '0.010362954', '0.009897883', '0.009849478', '0.009867339', '0.010510132', '0.010255187', '0.010224108', '0.009817659', '0.010361132', '0.010276513', '0.010509173', '0.009761153', '0.010259048', '0.009763803', '0.009894069', '0.009899598', '0.010184632', '0.009806263', '0.009917110', '0.010235225', '0.009716619', '0.009902111', '0.010405866', '0.009716619', '0.009849478', '0.010156117', '0.009732919', '0.010183107', '0.010282303', '0.009915092', '0.009907612', '0.010125391', '0.009903344', '0.009864170', '0.009910191', '0.010193024', '0.010249537', '0.009832623', '0.010325011', '0.010124418', '0.010251018', '0.009839079', '0.010185640', '0.010217603', '0.010280346', '0.009875430', '0.009716619', '0.009889802', '0.010125715', '0.010095734', '0.009910191', '0.009782609', '0.010284830', '0.009825346', '0.010328543', '0.009716619', '0.010138398', '0.010352529', '0.009901141', '0.009798380', '0.010222953', '0.009875430', '0.009896579', '0.009883894', '0.010244157', '0.009882244', '0.009894368', '0.010103342', '0.010302817', '0.009875777', '0.010263151', '0.009738927', '0.009762744', '0.009779327']" 
1 TND Concatenated 0.058 0.055 0.251 0.051 0.008 0.000 nan 7200.0 7200.0 "['0.009809513', '0.009986217', '0.009813023', '0.009755865', '0.010029639', '0.009900176', '0.010323666', '0.010259250', '0.009689840', '0.009931775', '0.010037368', '0.010085499', '0.009939543', '0.010110199', '0.009797686', '0.009691562', '0.009839624', '0.009724583', '0.010068900', '0.010122114', '0.010407664', '0.009712592', '0.010144553', '0.009712592', '0.009880893', '0.009912687', '0.010107439', '0.009716081', '0.009708364', '0.010145760', '0.010254547', '0.010092021', '0.009910927', '0.009757387', '0.009892238', '0.009889272', '0.009871316', '0.009838884', '0.009768806', '0.010438591', '0.010375821', '0.010117235', '0.010085188', '0.009956426', '0.009879664', '0.010000534', '0.010324379', '0.010248981', '0.010003440', '0.009850214', '0.009940064', '0.010248715', '0.009981707', '0.010171602', '0.009814275', '0.009842090', '0.009733121', '0.009827987', '0.009975194', '0.010412900', '0.009737403', '0.009667837', '0.010186487', '0.010477470', '0.010116013', '0.009898933', '0.009729349', '0.009989497', '0.009731612', '0.009952959', '0.009959915', '0.009705388', '0.009894218', '0.009712841', '0.010725476', '0.010564400', '0.010197106', '0.010026086', '0.010487328', '0.009774897', '0.010101598', '0.009758654', '0.010369075', '0.010141834', '0.009939283', '0.010456518', '0.010090160', '0.010165316', '0.009945033', '0.010079571', '0.009881387', '0.009783268', '0.009783268', '0.010617830', '0.010350580', '0.009738412', '0.010005380', '0.009691315', '0.009951101', '0.009747000']" 
1 TND Multiview 0.058 0.056 0.255 0.052 0.007 0.186 0.000 7200.0 7200.0 "[['0.011171583', '0.003400131', '0.003199881', '0.005484415', '0.015536861', '0.002321888', '0.010864269', '0.014004191', '0.010908814', '0.015533999', '0.004199579', '0.002891841', '0.020307479', '0.018273521', '0.011431716', '0.002898598', '0.012191704', '0.004702568', '0.003453119', '0.006113791', '0.011189027', '0.028023126', '0.007045616', '0.034300435', '0.006859317', '0.002497982', '0.012758299', '0.009822600', '0.002675733', '0.003044853', '0.005767166', '0.011893580', '0.022303792', '0.027943820', '0.020160323', '0.013766698', '0.003666133', '0.009838966', '0.023835780', '0.010521822', '0.004336052', '0.010035924', '0.020796886', '0.003052911', '0.006334235', '0.007325827', '0.008662187', '0.018089406', '0.004203521', '0.005679396', '0.004199138', '0.011614726', '0.017613983', '0.004868277', '0.002827681', '0.008438846', '0.017617175', '0.004028197', '0.008027996', '0.031343061', '0.009871955', '0.003502756', '0.010187858', '0.008766787', '0.003049108', '0.006024687', '0.003345085', '0.005751171', '0.008230692', '0.007360680', '0.004523932', '0.017543355', '0.006165478', '0.002974938', '0.007512557', '0.032344997', '0.007530985', '0.004466162', '0.004504479', '0.009910057', '0.015280305', '0.012842621', '0.010460011', '0.019962907', '0.007479938', '0.010527560', '0.010993647', '0.006651254', '0.009130310', '0.010075444', '0.004196822', '0.007253937', '0.004436194', '0.006896962', '0.008718819', '0.006667196', '0.011693014', '0.008750043', '0.013531725', '0.004983071'], ['0.007502087', '0.021386161', '0.003831222', '0.011657706', '0.009769842', '0.030023213', '0.006214349', '0.007600871', '0.005713775', '0.014961551', '0.013923695', '0.023747187', '0.003298331', '0.005816988', '0.009784630', '0.002516613', '0.005807157', '0.003699393', '0.006129439', '0.010743472', '0.003457938', '0.001994333', '0.012293456', '0.002301658', '0.011148547', '0.002334341', '0.012789781', '0.002654234', '0.015832763', '0.016231770', '0.014766984', '0.006543764', '0.007651686', '0.002340920', '0.008821174', '0.008981135', '0.023426685', '0.004044148', '0.004940182', '0.008496624', '0.010887300', '0.011661362', '0.007749797', '0.007522190', '0.013803915', '0.012716487', '0.016611561', '0.002996051', '0.013588442', '0.033544667', '0.004684094', '0.008610288', '0.007426307', '0.011033894', '0.002878279', '0.008807816', '0.003168795', '0.020135969', '0.016564896', '0.002910432', '0.009739120', '0.025860928', '0.003374750', '0.006641606', '0.010643985', '0.009593564', '0.002907994', '0.007687665', '0.012040616', '0.008656590', '0.022512231', '0.010354797', '0.008007602', '0.002765390', '0.007989090', '0.008862460', '0.006746357', '0.030005245', '0.004006795', '0.008641638', '0.009013701', '0.014084120', '0.005471637', '0.008815087', '0.035761885', '0.007197694', '0.006243957', '0.003689789', '0.012129953', '0.008461138', '0.004645636', '0.016191011', '0.004128557', '0.005722187', '0.007683696', '0.003866761', '0.007627273', '0.009912696', '0.026273794', '0.003558662'], ['0.009287875', '0.008158837', '0.019571438', '0.011544553', '0.007915892', '0.006103326', '0.009155744', '0.007840511', '0.014046907', '0.007521550', '0.007683492', '0.007244701', '0.007719735', '0.013159895', '0.009380587', '0.010054255', '0.011885380', '0.006870648', '0.024344880', '0.011429516', '0.016150836', '0.013537221', '0.009276791', '0.002619596', '0.013026755', '0.017678199', '0.009388477', '0.002583700', '0.019377671', '0.003481661', '0.011873951', '0.009701235', '0.008068207', '0.002461711', '0.008321926', '0.009953362', '0.004893215', '0.007960029', '0.010149329', '0.006720548', '0.025972893', '0.009043764', '0.007933769', '0.004188757', '0.010042574', '0.009578514', '0.006706486', '0.007337490', '0.004733088', '0.003890769', '0.013345488', '0.012025590', '0.007661056', '0.014849333', '0.006669485', '0.013314943', '0.020036144', '0.005100350', '0.009196888', '0.003582149', '0.025201876', '0.006672960', '0.021204261', '0.007639108', '0.028030161', '0.012699366', '0.007812587', '0.013984507', '0.012506757', '0.012935451', '0.004773937', '0.007101244', '0.021726208', '0.013898671', '0.015221299', '0.005488169', '0.011548996', '0.003577746', '0.007830829', '0.009172946', '0.007010227', '0.007219226', '0.007139363', '0.009882743', '0.002587224', '0.014953284', '0.004497540', '0.007011616', '0.011718393', '0.012637367', '0.004455227', '0.003478889', '0.003878298', '0.007948412', '0.005017188', '0.008597095', '0.015135225', '0.010990130', '0.004203030', '0.009258838'], ['0.011210895', '0.008343143', '0.009237376', '0.008864328', '0.008729624', '0.007803561', '0.011909923', '0.009137414', '0.008982574', '0.006460423', '0.013809396', '0.006928063', '0.013761407', '0.008641236', '0.010108137', '0.003304269', '0.011221976', '0.005193763', '0.009494326', '0.009621258', '0.013287939', '0.005709523', '0.009666642', '0.008819442', '0.007486190', '0.003234390', '0.007378633', '0.010847835', '0.008647509', '0.023521883', '0.010503093', '0.008654805', '0.006624239', '0.014271867', '0.007534133', '0.011471465', '0.012287017', '0.005971366', '0.006528455', '0.012140979', '0.005253463', '0.007659923', '0.008137489', '0.003798043', '0.008488820', '0.012027740', '0.006751396', '0.007250242', '0.008795729', '0.004489552', '0.021095302', '0.007267336', '0.007856822', '0.011124815', '0.023026837', '0.012099616', '0.005937440', '0.014467479', '0.010573863', '0.004850546', '0.002943304', '0.003829702', '0.012066778', '0.023346977', '0.005780965', '0.017331926', '0.004058260', '0.013720954', '0.011347000', '0.009079532', '0.014949758', '0.011617906', '0.009360963', '0.010602076', '0.012868914', '0.002555167', '0.010778314', '0.009419187', '0.007320122', '0.010198499', '0.007008522', '0.008217826', '0.021070581', '0.005908319', '0.002569862', '0.009633604', '0.005333528', '0.014352240', '0.008098976', '0.006085159', '0.021195738', '0.020700453', '0.010572906', '0.010507224', '0.023051670', '0.024015026', '0.008892549', '0.010945161', '0.003885400', '0.006475940'], ['0.011489345', '0.008734979', '0.013940344', '0.011080730', '0.008822233', '0.004184230', '0.011001714', '0.010408826', '0.009995950', '0.005382327', '0.010126147', '0.009033066', '0.005173096', '0.005636019', '0.008379498', '0.030900840', '0.008131578', '0.029307239', '0.006058767', '0.011469810', '0.005786552', '0.002434525', '0.010132823', '0.003743056', '0.010827129', '0.024096856', '0.008735219', '0.024496313', '0.003374029', '0.003676193', '0.006381025', '0.012142652', '0.006203053', '0.004117724', '0.005630418', '0.005571583', '0.005671689', '0.021768644', '0.006611970', '0.013098496', '0.003299479', '0.012471550', '0.005444617', '0.030980295', '0.010724959', '0.007550265', '0.012420265', '0.015149935', '0.018315826', '0.003076653', '0.006577977', '0.011314796', '0.009387236', '0.007622514', '0.015156531', '0.006190042', '0.003137814', '0.005922963', '0.005050414', '0.008179131', '0.002398071', '0.009901769', '0.003106837', '0.003929479', '0.002643758', '0.004068131', '0.032100204', '0.008473208', '0.005148063', '0.011026058', '0.002921722', '0.003340042', '0.004012999', '0.020019207', '0.005397867', '0.002116242', '0.012974208', '0.002514183', '0.026245143', '0.012817597', '0.011451063', '0.008459312', '0.006113869', '0.005480901', '0.002199949', '0.006913007', '0.023292329', '0.018208086', '0.007950243', '0.012085276', '0.015589090', '0.002479523', '0.027557692', '0.020164073', '0.006162972', '0.007106170', '0.005442999', '0.007817327', '0.002968909', '0.025672460']]" "['0.197228864', '0.202971399', '0.201850191', '0.195187658', '0.202761903']"
1 TND_inv View1 0.058 0.055 0.256 0.053 0.005 0.000 nan 7200.0 7200.0 "['0.010055136', '0.009928826', '0.009913518', '0.009791734', '0.010154759', '0.009836098', '0.009930339', '0.009949274', '0.010024936', '0.010081810', '0.009900913', '0.009853029', '0.010109110', '0.010345935', '0.009959556', '0.009912814', '0.009948184', '0.009848526', '0.009768237', '0.009956745', '0.010017861', '0.010409842', '0.009792213', '0.010399074', '0.009930845', '0.009906794', '0.010265979', '0.010114061', '0.009857289', '0.009851532', '0.009870587', '0.009953401', '0.010275965', '0.010313664', '0.010192827', '0.010078612', '0.009911411', '0.009990578', '0.010492524', '0.010072568', '0.009929079', '0.010099907', '0.010140798', '0.009832548', '0.009898463', '0.009847234', '0.010089977', '0.010313016', '0.009847017', '0.009948730', '0.009847664', '0.010159274', '0.010104866', '0.009809259', '0.009869324', '0.009847234', '0.010143947', '0.009832548', '0.009914224', '0.010346443', '0.010161009', '0.009792213', '0.010069722', '0.009934421', '0.009832771', '0.009835656', '0.009869956', '0.009814838', '0.009896473', '0.009848526', '0.009869113', '0.010151626', '0.009835212', '0.009836318', '0.009810893', '0.010443484', '0.009947914', '0.009791254', '0.009836760', '0.010007317', '0.010196862', '0.010150930', '0.010147442', '0.010310177', '0.009957304', '0.010148838', '0.010306826', '0.010007665', '0.009870798', '0.009947369', '0.009814376', '0.009925583', '0.009874379', '0.009854097', '0.009995350', '0.010131678', '0.010175829', '0.009790775', '0.009990016', '0.010029542']" 
1 TND_inv View2 0.058 0.055 0.255 0.052 0.006 0.000 nan 7200.0 7200.0 "['0.009880242', '0.009961322', '0.009853447', '0.009786244', '0.009848793', '0.009947529', '0.010098678', '0.009765143', '0.009766677', '0.010215726', '0.009785623', '0.009871684', '0.010267085', '0.009864387', '0.009744672', '0.010091859', '0.009881192', '0.009961322', '0.009786244', '0.010009618', '0.010122093', '0.009907523', '0.009947211', '0.009816648', '0.009758946', '0.010234236', '0.009765362', '0.009744672', '0.009744672', '0.009963554', '0.010188148', '0.010029827', '0.010078461', '0.010101692', '0.010037365', '0.010119162', '0.009960359', '0.010206576', '0.009761834', '0.009894031', '0.010061383', '0.009821023', '0.009916169', '0.010261307', '0.009831854', '0.010103568', '0.010053154', '0.010074215', '0.010266732', '0.010342081', '0.009949118', '0.010321815', '0.009781668', '0.009764263', '0.010193960', '0.010333091', '0.010018707', '0.009809358', '0.009970505', '0.010051185', '0.009831472', '0.009970258', '0.010145743', '0.010270729', '0.010186284', '0.010310277', '0.009798395', '0.009826337', '0.009884560', '0.009936591', '0.010170572', '0.009858212', '0.010214914', '0.010196364', '0.009998148', '0.010293053', '0.009907248', '0.010128643', '0.009876026', '0.010137618', '0.010281645', '0.010100937', '0.009937823', '0.009782504', '0.010112891', '0.010022678', '0.009905347', '0.009966881', '0.009853039', '0.010240698', '0.010350133', '0.009894287', '0.009958104', '0.010138684', '0.009943739', '0.009968120', '0.009889734', '0.009766459', '0.010004546', '0.010245318']" 
1 TND_inv View3 0.058 0.055 0.255 0.053 0.005 0.000 nan 7200.0 7200.0 "['0.010202364', '0.010178502', '0.010152163', '0.010079822', '0.009831213', '0.009871237', '0.010136131', '0.009907858', '0.009914828', '0.010112731', '0.009849628', '0.010061645', '0.010070390', '0.009860086', '0.009910416', '0.010076922', '0.009876080', '0.009863691', '0.009950099', '0.009847142', '0.009963098', '0.010258069', '0.009875192', '0.010255628', '0.009974658', '0.010034117', '0.009896692', '0.009804679', '0.010211465', '0.010179142', '0.009855043', '0.009936130', '0.009838874', '0.010162197', '0.010057624', '0.010122580', '0.010029698', '0.010074022', '0.009881693', '0.010216884', '0.009860296', '0.010266582', '0.010096731', '0.009808154', '0.009899371', '0.010156867', '0.010097088', '0.009860508', '0.009965549', '0.010016454', '0.009866045', '0.010155528', '0.010100660', '0.009902083', '0.010056892', '0.010044789', '0.010055795', '0.010001743', '0.009870583', '0.010258729', '0.009951589', '0.010138885', '0.009827885', '0.009863906', '0.009922272', '0.010081989', '0.009891661', '0.009830174', '0.009907858', '0.010193269', '0.010197545', '0.009910672', '0.010029329', '0.009948023', '0.010266994', '0.009854833', '0.010042951', '0.009954287', '0.009963711', '0.009807506', '0.010023804', '0.009810100', '0.009908114', '0.009886743', '0.010216602', '0.009909646', '0.009864545', '0.010179781', '0.010051764', '0.009940715', '0.009946547', '0.010105645', '0.009932458', '0.009937841', '0.009904076', '0.009964628', '0.010310422', '0.009972835', '0.009966163', '0.009861354']" 
