Run Bound_name View Risk Gibbs_Risk Bound Join_Error Disagreement KL_QP KL_RhoPi n_labeled n_all Posterior_Qv Posterior_rho
1 Uniform View1 0.058 0.108 0.266 0.039 0.138 0.000 nan 2600.0 2600.0 "['0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000']" 
1 Uniform View2 0.081 0.137 0.328 0.070 0.134 0.000 nan 2600.0 2600.0 "['0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000']" 
1 Uniform Concatenated 0.039 0.085 0.215 0.032 0.106 0.000 nan 2600.0 2600.0 "['0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000']" 
1 Uniform Multiview 0.083 0.119 0.291 0.044 0.150 -0.000 -0.000 2600.0 2600.0 "[['0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000'], ['0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000', '0.010000000']]" "['0.500000000', '0.500000000']"
1 PBkl View1 0.024 0.038 0.113 0.019 0.038 1.866 nan 2600.0 2600.0 "['0.000414521', '0.000543108', '0.022498347', '0.003859112', '0.000379284', '0.021211453', '0.000480829', '0.000722751', '0.002803562', '0.005187458', '0.000543108', '0.017118087', '0.003859112', '0.000480829', '0.000455141', '0.078721412', '0.001484731', '0.000444414', '0.000476167', '0.000352843', '0.000399676', '0.000436320', '0.083559409', '0.000414521', '0.000494010', '0.000400907', '0.000376297', '0.074643932', '0.000341975', '0.000457950', '0.000478381', '0.001361149', '0.004118803', '0.005362885', '0.077996425', '0.000465111', '0.000341975', '0.001880847', '0.010150449', '0.000391955', '0.000518132', '0.001401006', '0.000847728', '0.018792761', '0.083559409', '0.001771724', '0.035948113', '0.000436320', '0.008874725', '0.017118087', '0.006779105', '0.002633380', '0.000443719', '0.003284948', '0.000618101', '0.000377798', '0.000393282', '0.004544575', '0.000497236', '0.083559409', '0.001825373', '0.000391955', '0.046774015', '0.069789372', '0.000761912', '0.000493523', '0.001285232', '0.000374783', '0.000347029', '0.000443719', '0.000341975', '0.000377798', '0.083559409', '0.000782394', '0.000340554', '0.000484095', '0.001055029', '0.000455714', '0.003502508', '0.007499331', '0.000478381', '0.000447118', '0.000437868', '0.000461652', '0.000400907', '0.001621107', '0.000516177', '0.010852194', '0.000377798', '0.000447775', '0.000340554', '0.000400907', '0.000449069', '0.000487695', '0.000782394', '0.004696866', '0.000400907', '0.000453977', '0.056157559', '0.000394593']" 
1 PBkl View2 0.081 0.088 0.226 0.057 0.063 1.260 nan 2600.0 2600.0 "['0.017905198', '0.000503208', '0.000747869', '0.000595157', '0.000673245', '0.000694534', '0.000503665', '0.000697532', '0.008970150', '0.009537372', '0.029518101', '0.000640716', '0.000728898', '0.018784359', '0.009537372', '0.000704617', '0.001149232', '0.000658719', '0.000503208', '0.000537007', '0.000718627', '0.000553927', '0.044987503', '0.000733805', '0.001510138', '0.002695107', '0.000663897', '0.025460865', '0.000725549', '0.000607144', '0.031038208', '0.000559344', '0.028500313', '0.013857068', '0.040790427', '0.000717867', '0.000775222', '0.017473860', '0.008167145', '0.008970150', '0.000616230', '0.000503473', '0.034984283', '0.011068785', '0.000603285', '0.000616230', '0.035460956', '0.000569744', '0.028500313', '0.010436698', '0.035933129', '0.000660833', '0.003007578', '0.033529572', '0.000633735', '0.046355046', '0.043537054', '0.009250548', '0.000503473', '0.006953080', '0.000644650', '0.049150225', '0.000768673', '0.003605966', '0.000717867', '0.006509514', '0.035933129', '0.019684812', '0.000703589', '0.044987503', '0.036863223', '0.000676651', '0.000559344', '0.000579525', '0.000605231', '0.000627733', '0.000717483', '0.005887422', '0.002695107', '0.023475267', '0.018342063', '0.001804425', '0.001620732', '0.000507941', '0.000755719', '0.002899724', '0.000564620', '0.000700373', '0.000747730', '0.003354422', '0.000690709', '0.018784359', '0.000572248', '0.015007985', '0.000567201', '0.036863223', '0.018784359', '0.000512296', '0.001228428', '0.003478102']" 
1 PBkl Concatenated 0.020 0.038 0.112 0.018 0.039 1.817 nan 2600.0 2600.0 "['0.023852212', '0.000485627', '0.002771514', '0.003438786', '0.061687391', '0.003438786', '0.000390104', '0.000442368', '0.019652922', '0.000792296', '0.053152632', '0.000367277', '0.001692399', '0.000885179', '0.000735873', '0.000446072', '0.001833050', '0.001107063', '0.000918583', '0.000444269', '0.064050227', '0.001240206', '0.000426117', '0.035454176', '0.005138744', '0.000439948', '0.000309213', '0.000469092', '0.001626722', '0.001338866', '0.001692399', '0.035454176', '0.000504863', '0.000464517', '0.000467063', '0.000342724', '0.000417805', '0.000431607', '0.048734214', '0.000735873', '0.000440773', '0.000436456', '0.000380319', '0.000449135', '0.000460479', '0.000367468', '0.059472211', '0.000437803', '0.000885179', '0.039610095', '0.000311080', '0.000354094', '0.000458201', '0.000408641', '0.000387787', '0.054735113', '0.000448116', '0.013409402', '0.001338866', '0.000634273', '0.000472105', '0.000357625', '0.000355875', '0.000362683', '0.000311080', '0.064050227', '0.001240206', '0.039610095', '0.005138744', '0.001908359', '0.000385072', '0.000588347', '0.002247151', '0.000373443', '0.000438242', '0.001149599', '0.000373443', '0.006762982', '0.064050227', '0.014641849', '0.000380319', '0.040655464', '0.058866657', '0.000476743', '0.000377644', '0.001503891', '0.000822097', '0.000367277', '0.000305942', '0.052321017', '0.001692399', '0.000472633', '0.045805782', '0.000431607', '0.000467063', '0.013409402', '0.000398779', '0.001149599', '0.021275578', '0.000304270']" 
1 PBkl Multiview 0.024 0.039 0.112 0.019 0.041 0.205 0.152 2600.0 2600.0 "[['0.000379009', '0.000487012', '0.022434473', '0.003844981', '0.000339548', '0.021112388', '0.000455180', '0.000664977', '0.002787950', '0.005155740', '0.000487012', '0.016946211', '0.003844981', '0.000455180', '0.000425374', '0.079010651', '0.001439818', '0.000413034', '0.000449742', '0.000310249', '0.000362300', '0.000403770', '0.083220266', '0.000379009', '0.000470616', '0.000363681', '0.000336233', '0.075388029', '0.000296100', '0.000428615', '0.000452323', '0.001312798', '0.004102570', '0.005327854', '0.078372061', '0.000436897', '0.000296100', '0.001847301', '0.010010694', '0.000353659', '0.000499109', '0.001353740', '0.000790151', '0.018642971', '0.083220266', '0.001735123', '0.036443274', '0.000403770', '0.008760483', '0.016946211', '0.006713127', '0.002615697', '0.000412238', '0.003272261', '0.000560958', '0.000337898', '0.000355142', '0.004523322', '0.000474409', '0.083220266', '0.001790288', '0.000353659', '0.047726411', '0.070950940', '0.000704095', '0.000470045', '0.001234899', '0.000334553', '0.000303733', '0.000412238', '0.000296100', '0.000337898', '0.083220266', '0.000724592', '0.000295478', '0.000458996', '0.000999782', '0.000426035', '0.003489845', '0.007416424', '0.000452323', '0.000416138', '0.000405539', '0.000432895', '0.000363681', '0.001580147', '0.000496788', '0.010700510', '0.000337898', '0.000416894', '0.000295478', '0.000363681', '0.000418381', '0.000463209', '0.000724592', '0.004673411', '0.000363681', '0.000424032', '0.057482995', '0.000356608'], ['0.024914287', '0.007799244', '0.001203715', '0.001094279', '0.017184293', '0.026250085', '0.018281018', '0.001407665', '0.009212144', '0.001429590', '0.001472041', '0.002034359', '0.001405408', '0.024591556', '0.001438117', '0.001267585', '0.024508186', '0.019280184', '0.022367025', '0.011422630', '0.001389732', '0.009774423', '0.026614269', '0.019120021', '0.023801748', '0.008363945', '0.019120021', '0.001655233', '0.001145187', '0.021782432', '0.001234011', '0.001064371', '0.025069673', '0.004631344', '0.001298569', '0.001146161', '0.001359753', '0.019120021', '0.026614269', '0.001039866', '0.001156271', '0.011953922', '0.001139414', '0.001250275', '0.023894146', '0.001345199', '0.000916221', '0.001384334', '0.001280447', '0.001346511', '0.010607410', '0.001356344', '0.020753436', '0.025069673', '0.023708094', '0.023118921', '0.001399984', '0.001464694', '0.025724020', '0.001161592', '0.023801748', '0.004869281', '0.026312483', '0.001223322', '0.025584657', '0.018281018', '0.001655233', '0.001287571', '0.001087098', '0.023708094', '0.015116573', '0.001449213', '0.024508186', '0.001380202', '0.022138268', '0.019745989', '0.014200436', '0.001655233', '0.025584657', '0.001351567', '0.019280184', '0.000949922', '0.001424234', '0.001107376', '0.001421744', '0.001371146', '0.001230531', '0.001335447', '0.001171820', '0.017745400', '0.003360908', '0.019280184', '0.010881376', '0.021902740', '0.001292095', '0.002398672', '0.001433730', '0.001407665', '0.019120021', '0.003004602']]" "['0.981860518', '0.018139437']"
1 PBkl_inv View1 0.024 0.038 0.113 0.019 0.038 1.879 nan 2600.0 2600.0 "['0.000406008', '0.000534147', '0.022509379', '0.003830890', '0.000370529', '0.021216672', '0.000473176', '0.000715823', '0.002775602', '0.005160807', '0.000534147', '0.017107727', '0.003830890', '0.000473176', '0.000447102', '0.078834780', '0.001467460', '0.000436228', '0.000468437', '0.000344004', '0.000391045', '0.000428035', '0.083599903', '0.000406008', '0.000486588', '0.000392286', '0.000367528', '0.074804001', '0.000332784', '0.000449942', '0.000470687', '0.001345947', '0.004090845', '0.005336445', '0.078119069', '0.000457208', '0.000332784', '0.001858248', '0.010127151', '0.000383271', '0.000511174', '0.001385122', '0.000840476', '0.018788176', '0.083599903', '0.001750377', '0.036022212', '0.000428035', '0.008850716', '0.017107727', '0.006753964', '0.002605868', '0.000435525', '0.003256476', '0.000610339', '0.000369035', '0.000384606', '0.004517127', '0.000489873', '0.083599903', '0.001803388', '0.000383271', '0.046880100', '0.069982603', '0.000755023', '0.000486093', '0.001271364', '0.000366007', '0.000338174', '0.000435525', '0.000332784', '0.000369035', '0.083599903', '0.000775475', '0.000331548', '0.000476498', '0.001045179', '0.000447683', '0.003474058', '0.007474625', '0.000470687', '0.000438967', '0.000429602', '0.000453698', '0.000392286', '0.001601761', '0.000509178', '0.010829444', '0.000369035', '0.000439634', '0.000331548', '0.000392286', '0.000440944', '0.000480161', '0.000775475', '0.004669609', '0.000392286', '0.000445920', '0.056299895', '0.000385926']" 
1 PBkl_inv View2 0.081 0.084 0.219 0.056 0.056 1.652 nan 2600.0 2600.0 "['0.014054540', '0.000319949', '0.000437215', '0.000355512', '0.000394524', '0.000406150', '0.000319622', '0.000407823', '0.005016265', '0.005447599', '0.031339325', '0.000377577', '0.000425846', '0.015188702', '0.005447599', '0.000411810', '0.000683830', '0.000386833', '0.000319949', '0.000330439', '0.000419838', '0.000337323', '0.054592945', '0.000428753', '0.000850904', '0.001375676', '0.000389552', '0.024819613', '0.000423875', '0.000361127', '0.033881672', '0.000339608', '0.029664131', '0.009369391', '0.049316745', '0.000419398', '0.000454254', '0.013512337', '0.004437507', '0.005016265', '0.000365474', '0.000320663', '0.040511362', '0.006707827', '0.000359304', '0.000365474', '0.041292492', '0.000344088', '0.029664131', '0.006170559', '0.042058107', '0.000387941', '0.001516740', '0.038088046', '0.000374069', '0.056125659', '0.052870207', '0.005227121', '0.000320663', '0.003631181', '0.000379574', '0.059009206', '0.000450103', '0.001794949', '0.000419398', '0.003356450', '0.042058107', '0.016388228', '0.000411228', '0.054592945', '0.043539319', '0.000396356', '0.000339608', '0.000348409', '0.000360222', '0.000371090', '0.000419176', '0.002988307', '0.001375676', '0.021795847', '0.014613424', '0.000982036', '0.000900501', '0.000320221', '0.000442026', '0.001467766', '0.000341865', '0.000409415', '0.000476678', '0.001676559', '0.000404028', '0.015188702', '0.000345185', '0.010605834', '0.000342980', '0.043539319', '0.015188702', '0.000321464', '0.000721446', '0.001734492']" 
