Run Bound_name View Risk Gibbs_Risk Bound Join_Error Disagreement KL_QP KL_RhoPi n_labeled n_all Posterior_Qv Posterior_rho
1 TND View1 0.057 0.055 0.259 0.040 0.031 0.002 nan 1200.0 1200.0 "['0.009280364', '0.009463728', '0.009056862', '0.009917757', '0.009509590', '0.010445200', '0.010938874', '0.010832985', '0.009465640', '0.009730279', '0.009859732', '0.009907077', '0.009730279', '0.009852434', '0.010460669', '0.008983707', '0.010405430', '0.009330972', '0.011359015', '0.008975753', '0.010722633', '0.009875721', '0.009311602', '0.012403944', '0.012201449', '0.009299508', '0.010471695', '0.009657315', '0.009452347', '0.009196590', '0.009152398', '0.010451834', '0.010085425', '0.009758527', '0.009541227', '0.010031038', '0.009817797', '0.009127909', '0.009612299', '0.010825967', '0.010454045', '0.009894843', '0.010028613', '0.009706659', '0.009923191', '0.009503988', '0.010541752', '0.009624616', '0.009708606', '0.011038037', '0.010064511', '0.009886168', '0.009477173', '0.010282827', '0.009900066', '0.009439276', '0.011162756', '0.009448589', '0.009740287', '0.010332631', '0.011800844', '0.009984743', '0.009281764', '0.009541227', '0.010667847', '0.010489288', '0.011015845', '0.009603660', '0.010300444', '0.010941125', '0.009724320', '0.009996918', '0.009415514', '0.009861536', '0.010334689', '0.010328529', '0.010517744', '0.009446717', '0.010425292', '0.009894843', '0.009481031', '0.010031038', '0.010160198', '0.010164435', '0.009292761', '0.010672553', '0.010572415', '0.009198385', '0.009229679', '0.009252326', '0.011050602', '0.009454232', '0.010802278', '0.009315665', '0.010090002', '0.009945783', '0.009450465', '0.010504629', '0.009089771', '0.010006684']" 
1 TND View2 0.058 0.055 0.231 0.034 0.042 0.009 nan 1200.0 1200.0 "['0.009457015', '0.015635673', '0.008831320', '0.010967713', '0.009822162', '0.011483914', '0.010022303', '0.008771222', '0.014340069', '0.008601069', '0.011114583', '0.009959009', '0.011011756', '0.009160917', '0.008554424', '0.010488024', '0.008939926', '0.009772562', '0.012637992', '0.010354694', '0.011094996', '0.014002901', '0.008784245', '0.009396595', '0.008865143', '0.010119256', '0.009160917', '0.008405363', '0.011216790', '0.010034353', '0.009396595', '0.008815262', '0.009396595', '0.013155734', '0.008996657', '0.010211700', '0.009657444', '0.008480947', '0.012793496', '0.009429846', '0.009009855', '0.009007646', '0.009063276', '0.008755923', '0.008790250', '0.009892265', '0.008656531', '0.008933991', '0.008815262', '0.011159055', '0.011130011', '0.009105152', '0.009131129', '0.010258213', '0.010798033', '0.008668098', '0.009185888', '0.009938470', '0.009295346', '0.010119256', '0.010078911', '0.010063902', '0.008811384', '0.010313850', '0.010248466', '0.009370052', '0.014975726', '0.008586757', '0.011457996', '0.010066395', '0.009029840', '0.011002999', '0.010828546', '0.008749990', '0.009874127', '0.011030290', '0.010284898', '0.009496585', '0.010689431', '0.010507443', '0.009591798', '0.011753903', '0.010124304', '0.010330681', '0.009726716', '0.009278789', '0.008829944', '0.011165120', '0.008852873', '0.008774756', '0.010432950', '0.008739134', '0.008350301', '0.008774756', '0.011104813', '0.009457015', '0.009056599', '0.010094009', '0.009640440', '0.009398662']" 
1 TND View3 0.059 0.055 0.263 0.040 0.030 0.019 nan 1200.0 1200.0 "['0.010459568', '0.007867084', '0.007534636', '0.010449647', '0.010540262', '0.014778196', '0.007715828', '0.010428000', '0.012957119', '0.011229617', '0.010318819', '0.010543920', '0.010901316', '0.008372628', '0.010425487', '0.010378459', '0.010430680', '0.010436730', '0.008854963', '0.009804252', '0.010454385', '0.010164672', '0.008041249', '0.008768555', '0.009205734', '0.009289297', '0.010417609', '0.008987339', '0.009283083', '0.008116808', '0.010264816', '0.013895889', '0.008206322', '0.010341878', '0.009468415', '0.008251072', '0.009275381', '0.007551088', '0.009386235', '0.013880355', '0.008752429', '0.010280138', '0.009340951', '0.008611021', '0.009792209', '0.011588647', '0.009495551', '0.009549327', '0.010351855', '0.010504222', '0.010422301', '0.010435645', '0.007166061', '0.010507178', '0.013166932', '0.007715828', '0.007080099', '0.010717276', '0.010140887', '0.008315844', '0.010501323', '0.008170162', '0.014892085', '0.007534636', '0.010416808', '0.008443754', '0.011454085', '0.008406923', '0.012194781', '0.007789976', '0.007172429', '0.010334665', '0.008983370', '0.011778967', '0.013872584', '0.013375485', '0.010069469', '0.010717276', '0.006903961', '0.007926894', '0.010475778', '0.007967734', '0.009509058', '0.010422301', '0.010467225', '0.006679988', '0.008269415', '0.009620516', '0.010545404', '0.010510201', '0.010563165', '0.017021639', '0.014771027', '0.007592948', '0.016683584', '0.009163909', '0.007789976', '0.009962588', '0.010354964', '0.009077207']" 
1 TND View4 0.058 0.056 0.232 0.034 0.044 0.005 nan 1200.0 1200.0 "['0.009157005', '0.009716827', '0.010340872', '0.008928215', '0.009012301', '0.011470625', '0.010620628', '0.011545613', '0.010425752', '0.009302739', '0.011517673', '0.010088017', '0.012710923', '0.008810572', '0.010696832', '0.010951894', '0.010651123', '0.009714724', '0.008790279', '0.008771091', '0.009176417', '0.010999212', '0.011113399', '0.012430745', '0.010877172', '0.009891720', '0.008940062', '0.008855077', '0.011360718', '0.008916995', '0.009405958', '0.011135848', '0.011181976', '0.009906322', '0.008800142', '0.009537715', '0.009651936', '0.008677566', '0.011472402', '0.009988280', '0.008859153', '0.009573658', '0.009844671', '0.009448311', '0.010194382', '0.010065752', '0.010607822', '0.008971007', '0.010051888', '0.009597017', '0.010813661', '0.010406006', '0.008891362', '0.009738011', '0.011804357', '0.010016614', '0.010348011', '0.010060197', '0.010576833', '0.010168917', '0.009855274', '0.011481229', '0.010499061', '0.009231346', '0.009742291', '0.008641979', '0.009687508', '0.009702141', '0.011719903', '0.009161867', '0.009469347', '0.009537715', '0.010312452', '0.009512709', '0.011533301', '0.009768402', '0.009200492', '0.010096348', '0.009973609', '0.008684589', '0.009723151', '0.010918816', '0.008721665', '0.010250720', '0.010771104', '0.008979861', '0.008615615', '0.010408463', '0.010768344', '0.009831819', '0.008792290', '0.008769958', '0.008655511', '0.010602679', '0.009254718', '0.008847134', '0.009423009', '0.009261672', '0.011639469', '0.012371440']" 
1 TND View5 0.058 0.055 0.217 0.031 0.047 0.006 nan 1200.0 1200.0 "['0.011693054', '0.011079727', '0.012182274', '0.011165602', '0.008904124', '0.011760370', '0.009882945', '0.008949255', '0.010147918', '0.011098065', '0.011363343', '0.007793935', '0.009556865', '0.011053801', '0.008913925', '0.009540717', '0.008963984', '0.009389458', '0.011155216', '0.009810548', '0.010771988', '0.009253378', '0.011589439', '0.009966326', '0.009301433', '0.008873492', '0.009277765', '0.010402014', '0.009439934', '0.009031035', '0.012998112', '0.010497355', '0.008869766', '0.009938273', '0.008803253', '0.009865381', '0.009210802', '0.008789355', '0.009563778', '0.009966326', '0.008631996', '0.011094416', '0.012985971', '0.009159107', '0.008749803', '0.012318362', '0.009641442', '0.009506179', '0.009859560', '0.010076513', '0.009377768', '0.011280458', '0.008238341', '0.010115664', '0.010326140', '0.009605057', '0.011638027', '0.012159063', '0.009195465', '0.010553028', '0.011799138', '0.010434236', '0.010124566', '0.009524574', '0.008299158', '0.010759839', '0.010687470', '0.009005236', '0.009526880', '0.008991266', '0.010331304', '0.011802233', '0.008323328', '0.010402014', '0.009800387', '0.011250389', '0.009614180', '0.009802907', '0.010396695', '0.009159107', '0.010793662', '0.008991266', '0.010896411', '0.010917578', '0.008991266', '0.009332534', '0.008043133', '0.009287338', '0.010602661', '0.010232931', '0.008873492', '0.009834316', '0.009787973', '0.008478391', '0.011112598', '0.007971969', '0.010679131', '0.010610851', '0.009312870', '0.009888113']" 
1 TND Concatenated 0.058 0.053 0.225 0.033 0.040 0.008 nan 1200.0 1200.0 "['0.009985912', '0.009381241', '0.009440007', '0.009719882', '0.009152919', '0.010606609', '0.013816102', '0.009690247', '0.009493679', '0.008836509', '0.010469479', '0.009979834', '0.010275491', '0.009000364', '0.010259802', '0.010611686', '0.010352432', '0.009313821', '0.010125018', '0.010405206', '0.010659891', '0.012674885', '0.008851887', '0.009503243', '0.008959781', '0.009036317', '0.009658917', '0.009859503', '0.009497516', '0.010202440', '0.010214514', '0.009071668', '0.010951746', '0.010332613', '0.009370578', '0.009585704', '0.010239337', '0.009577029', '0.012610164', '0.009172290', '0.008876698', '0.008339900', '0.009000364', '0.010793502', '0.009915989', '0.011740461', '0.008639603', '0.010156618', '0.008986245', '0.010073602', '0.008320851', '0.011546111', '0.009057285', '0.013930711', '0.014621616', '0.010582766', '0.008959781', '0.009643858', '0.008868651', '0.008931361', '0.009089319', '0.008913517', '0.008108979', '0.009067594', '0.009117033', '0.010897010', '0.015182599', '0.008491709', '0.011664549', '0.009356909', '0.010025564', '0.009629241', '0.010045148', '0.011302681', '0.009150608', '0.010903584', '0.009493679', '0.011895510', '0.009286862', '0.008561067', '0.010596211', '0.010036289', '0.011560686', '0.010512675', '0.009585704', '0.010147956', '0.008801449', '0.010611686', '0.010226815', '0.009182556', '0.008593154', '0.009646337', '0.009094117', '0.008748108', '0.008596069', '0.008230463', '0.009804758', '0.011507609', '0.011629590', '0.010772371']" 
1 TND Multiview 0.058 0.055 0.227 0.033 0.045 0.186 0.001 1200.0 1200.0 "[['0.001141916', '0.004018727', '0.004578322', '0.008911049', '0.010705753', '0.014451643', '0.022175446', '0.018707121', '0.002281511', '0.003032153', '0.002839531', '0.001822304', '0.006226944', '0.014050586', '0.015685571', '0.002772083', '0.009803198', '0.004402165', '0.026558101', '0.002230293', '0.016567172', '0.009621059', '0.003156200', '0.031560667', '0.032287113', '0.006200987', '0.011688402', '0.007436956', '0.001933869', '0.006631644', '0.002812540', '0.007781915', '0.014778548', '0.007939442', '0.005414870', '0.006839996', '0.008713766', '0.005656478', '0.005958277', '0.023505509', '0.016143164', '0.016026163', '0.011876590', '0.007292191', '0.007250018', '0.008314751', '0.017102007', '0.006186421', '0.006602607', '0.011700557', '0.006364754', '0.008917321', '0.003434977', '0.017032633', '0.007486290', '0.007546158', '0.020896306', '0.006531227', '0.005941933', '0.015598359', '0.020677129', '0.004129490', '0.005532953', '0.006596267', '0.011460246', '0.012965249', '0.018191624', '0.008007099', '0.011083255', '0.025050167', '0.006675242', '0.008348350', '0.005787440', '0.011170575', '0.009744295', '0.010306335', '0.012668891', '0.007153622', '0.005572501', '0.006547925', '0.006786292', '0.012787553', '0.012743088', '0.010458902', '0.007416141', '0.010828950', '0.006616391', '0.007982834', '0.008207349', '0.007298212', '0.023720622', '0.008980433', '0.009932208', '0.004761537', '0.009171640', '0.008630686', '0.004754215', '0.012916285', '0.008154685', '0.009059048'], ['0.043246169', '0.004782231', '0.007949970', '0.009914592', '0.005421107', '0.009430842', '0.006281408', '0.008208626', '0.003821164', '0.015012353', '0.002457120', '0.033974726', '0.005816894', '0.006754472', '0.005939059', '0.005210541', '0.005971579', '0.001976334', '0.005405652', '0.006047927', '0.006523136', '0.009476829', '0.005587978', '0.002888849', '0.002372304', '0.008445712', '0.013277453', '0.009724042', '0.037918355', '0.012597127', '0.023269279', '0.010058822', '0.003661132', '0.009863175', '0.010088763', '0.004176561', '0.018130388', '0.003677170', '0.012104162', '0.005955382', '0.007268699', '0.004024268', '0.011289530', '0.011992087', '0.004764533', '0.005727516', '0.006678618', '0.016187532', '0.006017864', '0.004390738', '0.004167160', '0.007374256', '0.003166740', '0.006563312', '0.013446986', '0.012095368', '0.003018824', '0.015099524', '0.005712840', '0.021298921', '0.003328437', '0.004929008', '0.004979352', '0.026864836', '0.019375881', '0.007079592', '0.016183620', '0.009799046', '0.028894344', '0.006134621', '0.006488728', '0.006895313', '0.019805258', '0.009940563', '0.008679876', '0.007452227', '0.008293825', '0.014851456', '0.004515211', '0.009621314', '0.009020585', '0.013191679', '0.015729338', '0.025840867', '0.006692748', '0.003421884', '0.006347078', '0.022472484', '0.006659024', '0.017372916', '0.010499471', '0.013652413', '0.004582679', '0.005801425', '0.007135264', '0.006143332', '0.003658501', '0.008202941', '0.008862081', '0.006896090'], ['0.005415103', '0.020889042', '0.017707447', '0.009928243', '0.012253204', '0.007046526', '0.008909067', '0.010010431', '0.004895349', '0.012303033', '0.003755938', '0.005396612', '0.008006912', '0.009714370', '0.008259087', '0.018598516', '0.011237964', '0.014913592', '0.004733581', '0.018839112', '0.012247054', '0.010483048', '0.006721910', '0.004927888', '0.004532388', '0.018963220', '0.010742021', '0.016348217', '0.005696020', '0.012096682', '0.007837558', '0.012578985', '0.013368592', '0.016671585', '0.015726471', '0.005245507', '0.009399137', '0.012719011', '0.005490840', '0.006091397', '0.008134389', '0.010094987', '0.009730445', '0.007381869', '0.021644626', '0.007212355', '0.008469544', '0.007187199', '0.015591753', '0.004863760', '0.018888164', '0.010376368', '0.004892513', '0.014287699', '0.007024891', '0.012463982', '0.006512745', '0.009020868', '0.015338201', '0.004333642', '0.004439082', '0.033831794', '0.009404645', '0.004399701', '0.007706601', '0.017223801', '0.003161505', '0.012404982', '0.004814981', '0.007936435', '0.003725855', '0.005904041', '0.005334504', '0.014591586', '0.006636236', '0.010654035', '0.017724760', '0.007403325', '0.005221301', '0.008453622', '0.009625291', '0.012222650', '0.008097932', '0.006165810', '0.010860384', '0.008025021', '0.007813659', '0.006792808', '0.011603540', '0.006547702', '0.005663134', '0.010348100', '0.007398515', '0.011174396', '0.009713234', '0.009998755', '0.006609540', '0.009119181', '0.018537434', '0.008559507'], ['0.005316122', '0.009405533', '0.008449852', '0.011908859', '0.008321763', '0.011641193', '0.006797046', '0.006253901', '0.031366743', '0.007749063', '0.002984566', '0.004613659', '0.013876688', '0.007913975', '0.011848212', '0.013346802', '0.015331942', '0.017400714', '0.005872148', '0.005114344', '0.007946892', '0.008972410', '0.010987649', '0.005474772', '0.007789035', '0.006522154', '0.005453224', '0.010562108', '0.005154037', '0.007852342', '0.004336359', '0.013805320', '0.011527970', '0.007107850', '0.008087355', '0.025431549', '0.007673155', '0.010067667', '0.016763743', '0.006931623', '0.005579204', '0.005833170', '0.006385426', '0.003907376', '0.009305499', '0.018441036', '0.011039942', '0.011158868', '0.003932839', '0.021404609', '0.020574285', '0.005580604', '0.003408121', '0.004660679', '0.005421994', '0.007657994', '0.007115080', '0.006761554', '0.015042558', '0.004190198', '0.013629508', '0.009056171', '0.006193405', '0.009617170', '0.003322806', '0.007615811', '0.009446187', '0.004476512', '0.004382810', '0.006831959', '0.032084715', '0.009356664', '0.003905094', '0.005986266', '0.023415009', '0.003580383', '0.005424227', '0.013128961', '0.038775619', '0.022220911', '0.019018887', '0.004640692', '0.007416647', '0.009811125', '0.009226095', '0.011968100', '0.007949550', '0.005183630', '0.013919474', '0.006949969', '0.002434894', '0.006327391', '0.006531156', '0.036098622', '0.014111360', '0.011533690', '0.003780856', '0.003644910', '0.009273187', '0.006368228'], ['0.004819465', '0.007731710', '0.006100110', '0.007619683', '0.007570804', '0.006513614', '0.006481248', '0.006262483', '0.011017107', '0.014170800', '0.039657522', '0.011567665', '0.014624449', '0.007924886', '0.006765935', '0.007423845', '0.007206214', '0.010398416', '0.007472548', '0.017086351', '0.005820425', '0.008633302', '0.022465419', '0.011107192', '0.008527800', '0.006481053', '0.007070865', '0.003989413', '0.005485769', '0.005957323', '0.011743058', '0.007297674', '0.003786740', '0.006248733', '0.009312150', '0.010146761', '0.003612792', '0.013574122', '0.010330058', '0.005776815', '0.010159346', '0.009330117', '0.007941406', '0.018254869', '0.005854062', '0.007626919', '0.004676712', '0.008904036', '0.016986866', '0.011804832', '0.002564301', '0.015131571', '0.042105202', '0.004451288', '0.016006954', '0.005413864', '0.012319912', '0.010712379', '0.008889260', '0.002715791', '0.011987728', '0.003841035', '0.024112519', '0.004081328', '0.007473729', '0.003213278', '0.003831251', '0.013221118', '0.002632831', '0.001940937', '0.004790812', '0.020796191', '0.017356152', '0.004842532', '0.001784840', '0.017238103', '0.005134212', '0.005870940', '0.003507834', '0.006531843', '0.007062501', '0.003564180', '0.003975512', '0.001814842', '0.013900921', '0.016462872', '0.024547085', '0.007967726', '0.004269114', '0.013118048', '0.005359468', '0.007295133', '0.023371411', '0.001154835', '0.009239785', '0.014177855', '0.040842924', '0.013967179', '0.005594596', '0.020492710']]" "['0.189033285', '0.198318958', '0.189874977', '0.206662640', '0.216110140']"
1 TND_inv View1 0.057 0.055 0.259 0.040 0.031 0.002 nan 1200.0 1200.0 "['0.009348943', '0.009371105', '0.009150354', '0.009791668', '0.009490218', '0.010418617', '0.010907749', '0.010900293', '0.009375617', '0.009800398', '0.009789547', '0.009786003', '0.009800398', '0.009792838', '0.010428572', '0.009015016', '0.010402210', '0.009297936', '0.011348390', '0.009000231', '0.010811161', '0.009784046', '0.009319410', '0.012342478', '0.012283812', '0.009332449', '0.010436892', '0.009731578', '0.009345624', '0.009342312', '0.009299433', '0.010422639', '0.010111291', '0.009814175', '0.009572309', '0.009997352', '0.009809060', '0.009267185', '0.009684714', '0.010898213', '0.010424055', '0.009782758', '0.009992558', '0.009781589', '0.009795541', '0.009475035', '0.010512563', '0.009697605', '0.009783340', '0.010941399', '0.010066229', '0.009782461', '0.009404046', '0.010399958', '0.009783718', '0.009320006', '0.011059908', '0.009337822', '0.009806491', '0.010399847', '0.012042523', '0.009911039', '0.009347966', '0.009572309', '0.010723442', '0.010452234', '0.010929017', '0.009675321', '0.010401647', '0.010907951', '0.009796197', '0.009932644', '0.009286032', '0.009788794', '0.010399663', '0.010400235', '0.010482308', '0.009334066', '0.010408767', '0.009782758', '0.009413923', '0.009997352', '0.010268929', '0.010276861', '0.009338975', '0.010731682', '0.010557318', '0.009343575', '0.009358681', '0.009360248', '0.010949675', '0.009349666', '0.010888035', '0.009314829', '0.010121273', '0.009817243', '0.009341677', '0.010467653', '0.009207769', '0.009950550']" 
1 TND_inv View2 0.058 0.055 0.231 0.034 0.042 0.008 nan 1200.0 1200.0 "['0.009540344', '0.015564385', '0.008899678', '0.011016313', '0.009648994', '0.011821895', '0.010072161', '0.008729686', '0.013633328', '0.008471877', '0.011507405', '0.009939859', '0.011162474', '0.009026323', '0.008465770', '0.010538308', '0.009031922', '0.009581984', '0.012145173', '0.010412512', '0.011446962', '0.013239586', '0.008769879', '0.009476080', '0.008964755', '0.010199426', '0.009026323', '0.008483524', '0.011709224', '0.010092819', '0.009476080', '0.008859817', '0.009476080', '0.012468345', '0.009040483', '0.010269330', '0.009576321', '0.008471545', '0.012230361', '0.009514636', '0.009039679', '0.009039868', '0.009031213', '0.008683488', '0.008788223', '0.009773487', '0.008500758', '0.009029451', '0.008859817', '0.011619105', '0.011550563', '0.009024077', '0.009022512', '0.010305861', '0.010597248', '0.008511495', '0.009036497', '0.009889811', '0.009229707', '0.010199426', '0.010156604', '0.010137244', '0.008849396', '0.010362021', '0.010297567', '0.009432537', '0.014509789', '0.008468732', '0.011817756', '0.010140603', '0.009037229', '0.011132736', '0.010649596', '0.008666374', '0.009730645', '0.011226178', '0.010330841', '0.009578945', '0.010500878', '0.010539357', '0.009638987', '0.011858677', '0.010203986', '0.010382037', '0.009549091', '0.009180598', '0.008896483', '0.011631284', '0.008944106', '0.008740588', '0.010507328', '0.008636804', '0.008490939', '0.008740588', '0.011477944', '0.009540344', '0.009032505', '0.010174088', '0.009595423', '0.009478906']" 
1 TND_inv View3 0.059 0.055 0.266 0.041 0.029 0.002 nan 1200.0 1200.0 "['0.009876023', '0.009353667', '0.009305988', '0.009864833', '0.009938295', '0.011728400', '0.009334071', '0.009832211', '0.011088005', '0.010606912', '0.009721023', '0.009940441', '0.010528004', '0.010007017', '0.009827204', '0.009755781', '0.009837212', '0.009847300', '0.010121285', '0.009598735', '0.009870359', '0.009673773', '0.009934290', '0.010100914', '0.009527971', '0.009541213', '0.009810233', '0.010151830', '0.010216063', '0.009383095', '0.009701338', '0.011362880', '0.009393464', '0.009731877', '0.009562086', '0.009979370', '0.009539158', '0.009308822', '0.009553656', '0.011357482', '0.009455280', '0.010402943', '0.010227940', '0.010063331', '0.009597016', '0.010700412', '0.009564644', '0.009569670', '0.009737350', '0.009914672', '0.009820483', '0.009845604', '0.009222347', '0.009916802', '0.011144778', '0.009334071', '0.009196534', '0.010487783', '0.009667912', '0.009993979', '0.009912548', '0.009961567', '0.011783114', '0.009305988', '0.009808501', '0.009420464', '0.010664769', '0.009416360', '0.010867674', '0.009343982', '0.009224158', '0.009728245', '0.009488708', '0.010751692', '0.011354793', '0.011201320', '0.010364849', '0.010487783', '0.009135378', '0.009360885', '0.009891780', '0.009365722', '0.009565905', '0.009820483', '0.009883788', '0.009038177', '0.009983477', '0.010282638', '0.010452917', '0.009918937', '0.009950867', '0.012635448', '0.011724988', '0.009315749', '0.012507625', '0.009520702', '0.009343982', '0.009626985', '0.009739181', '0.010171975']" 
