Run Bound_name View Risk Gibbs_Risk Bound Join_Error Disagreement DIV_QP DIV_RhoPi alpha n_labeled n_all Posterior_Qv Posterior_rho
1 TND View1 0.315 0.368 0.820 0.197 0.509 0.003 nan 1.1 44100.0 44100.0 "['0.020896357', '0.019113718', '0.020220555', '0.020355694', '0.016839022', '0.019258132', '0.016835127', '0.020969044', '0.017040586', '0.018041985', '0.020595608', '0.021309141', '0.020373128', '0.017682772', '0.018685428', '0.019318130', '0.019062588', '0.017636888', '0.022400966', '0.020388721', '0.021724273', '0.023003958', '0.022758892', '0.022901885', '0.020877110', '0.020441609', '0.019150889', '0.021738524', '0.018796306', '0.019530285', '0.020349588', '0.020357374', '0.020880513', '0.020419411', '0.019189062', '0.020343976', '0.020287598', '0.017059682', '0.021882135', '0.020946477', '0.018380148', '0.020903684', '0.020326583', '0.020879677', '0.019198803', '0.020950828', '0.020901375', '0.019172942', '0.020905552', '0.018717261']" 
1 TND View2 0.340 0.420 1.000 0.262 0.547 0.005 nan 1.1 44100.0 44100.0 "['0.023335455', '0.020604236', '0.017637029', '0.017585183', '0.019845759', '0.022583958', '0.020709153', '0.020541327', '0.017372601', '0.017709605', '0.020380933', '0.017703390', '0.020518562', '0.020572111', '0.019316493', '0.020518485', '0.019470181', '0.018342886', '0.022685727', '0.018227562', '0.018976418', '0.022291407', '0.022798223', '0.019264840', '0.019912442', '0.015206655', '0.022719748', '0.019659404', '0.020496881', '0.021458484', '0.019258881', '0.020229468', '0.020513564', '0.017403942', '0.020534698', '0.020046039', '0.017654648', '0.021582911', '0.020211063', '0.023044957', '0.018655717', '0.019276749', '0.020458734', '0.018491128', '0.020511948', '0.020229535', '0.024551079', '0.023199655', '0.017590452', '0.018109679']" 
1 TND View3 0.306 0.349 0.778 0.186 0.490 0.005 nan 1.1 44100.0 44100.0 "['0.020844651', '0.020442992', '0.017013211', '0.019371454', '0.019026022', '0.020171685', '0.016926890', '0.019285724', '0.019081824', '0.020761678', '0.022227405', '0.019097209', '0.022171665', '0.017097095', '0.020633446', '0.023920003', '0.020704951', '0.018166091', '0.023523947', '0.023939740', '0.020480094', '0.017112751', '0.021040682', '0.016931234', '0.020851362', '0.019197185', '0.019076373', '0.020705342', '0.020267785', '0.021509670', '0.020613451', '0.024036471', '0.019227298', '0.017345149', '0.018704202', '0.020632299', '0.017429825', '0.020453930', '0.022992281', '0.020607965', '0.019205438', '0.018352672', '0.024032576', '0.020423466', '0.020922529', '0.017015241', '0.018330295', '0.019166589', '0.020118102', '0.018810077']" 
1 TND View4 0.217 0.291 0.552 0.131 0.435 0.008 nan 1.1 44100.0 44100.0 "['0.021058945', '0.019785896', '0.020265110', '0.021893699', '0.021752607', '0.019874014', '0.020636078', '0.019812133', '0.015077965', '0.021852102', '0.015267261', '0.019527080', '0.021736048', '0.019935891', '0.021898294', '0.019299803', '0.021674814', '0.022274658', '0.019964384', '0.019785775', '0.021885974', '0.020621210', '0.020037971', '0.021413829', '0.022707712', '0.019440943', '0.019973928', '0.012683660', '0.019717952', '0.020492310', '0.021032570', '0.021526353', '0.020594548', '0.013671285', '0.017273579', '0.020036466', '0.019400161', '0.021805920', '0.020488529', '0.025640095', '0.020102894', '0.021498714', '0.020757686', '0.012838168', '0.020063972', '0.019521618', '0.020188604', '0.019823665', '0.021903349', '0.019483747']" 
1 TND Concatenated 0.198 0.547 1.000 0.373 0.700 0.008 nan 1.1 44100.0 44100.0 "['0.023231419', '0.019038226', '0.017048011', '0.022144828', '0.017044500', '0.020415127', '0.016051184', '0.020434942', '0.017213041', '0.018755071', '0.025967583', '0.017020920', '0.019071843', '0.015886778', '0.023927176', '0.024247490', '0.020006860', '0.019723408', '0.018969065', '0.018313896', '0.023050487', '0.019942692', '0.022974912', '0.014709403', '0.018231321', '0.019602263', '0.018653173', '0.021225480', '0.023078520', '0.020158436', '0.021591039', '0.024342844', '0.017931592', '0.021245863', '0.021233786', '0.020284727', '0.019193688', '0.021277757', '0.018348224', '0.024927586', '0.021782503', '0.018910449', '0.021611264', '0.017888986', '0.020367870', '0.019025058', '0.017582815', '0.019547261', '0.017834628', '0.018934134']" 
1 TND Multiview 0.113 0.344 0.689 0.165 0.534 0.016 0.003 1.1 44100.0 44100.0 "[['0.018293675', '0.006285830', '0.013495256', '0.030111993', '0.014814251', '0.012246763', '0.007528807', '0.028780347', '0.006782998', '0.019025624', '0.021112530', '0.030037502', '0.011451773', '0.010076783', '0.005818408', '0.009770061', '0.021709332', '0.006941796', '0.030355066', '0.018456187', '0.032381948', '0.038460929', '0.034923423', '0.024544338', '0.027739391', '0.017150087', '0.007537050', '0.031309474', '0.023745898', '0.018950868', '0.025146075', '0.026124049', '0.025682850', '0.015257548', '0.017041495', '0.013054141', '0.023784997', '0.007855391', '0.031852849', '0.015252371', '0.018774066', '0.021033440', '0.023570973', '0.022519330', '0.015478451', '0.024793020', '0.022898845', '0.022712242', '0.023020849', '0.024308683'], ['0.021961929', '0.021378117', '0.021021605', '0.009412161', '0.023176327', '0.005612762', '0.037783541', '0.006321171', '0.015544437', '0.008350950', '0.006725625', '0.005517398', '0.018539812', '0.026265854', '0.023992723', '0.048911955', '0.011943063', '0.009281802', '0.006070944', '0.056689650', '0.025152722', '0.008492191', '0.007412716', '0.009381910', '0.024097551', '0.006084656', '0.005043599', '0.006780347', '0.014852229', '0.010237579', '0.009075043', '0.017197469', '0.037387088', '0.012904336', '0.042412031', '0.005581665', '0.056207038', '0.006461342', '0.046982981', '0.005332192', '0.049448133', '0.013998144', '0.050913755', '0.024633197', '0.007841184', '0.016377721', '0.024964960', '0.023333870', '0.027442291', '0.019468172'], ['0.022471009', '0.021029657', '0.021567497', '0.022132315', '0.018407321', '0.028520590', '0.020339897', '0.027529953', '0.014669401', '0.036957748', '0.033887163', '0.011536487', '0.014773744', '0.011177677', '0.027532471', '0.025447944', '0.013460511', '0.020530345', '0.019933349', '0.008331653', '0.017651575', '0.017459253', '0.016777182', '0.009764794', '0.019246535', '0.033678763', '0.020373909', '0.026548006', '0.021143246', '0.040049590', '0.010144860', '0.010605124', '0.021236440', '0.010786961', '0.020480501', '0.031104840', '0.007963923', '0.024454262', '0.007630674', '0.013085333', '0.012748517', '0.011597759', '0.007687301', '0.014480010', '0.011751057', '0.033992816', '0.031765521', '0.022644794', '0.031394709', '0.021514961'], ['0.027391026', '0.021525292', '0.032646041', '0.013456888', '0.020178277', '0.026321782', '0.012560939', '0.015694955', '0.025432374', '0.017322792', '0.013610165', '0.021205284', '0.038284123', '0.019988785', '0.018741533', '0.010529407', '0.029839974', '0.034837738', '0.022488523', '0.016355205', '0.008316332', '0.014424506', '0.012299167', '0.031395353', '0.020903526', '0.021812895', '0.042944264', '0.010185929', '0.013664735', '0.008541499', '0.031580485', '0.014636366', '0.006690880', '0.039852932', '0.013868535', '0.022375295', '0.006121549', '0.038881335', '0.008180666', '0.049475983', '0.007217328', '0.034127351', '0.007661138', '0.022669857', '0.027775694', '0.009306214', '0.006292263', '0.008852164', '0.009817909', '0.011716772']]" "['0.280754477', '0.159941986', '0.290104657', '0.269198865']"
1 TND_inv View1 0.316 0.368 0.820 0.197 0.509 0.003 nan 1.1 44100.0 44100.0 "['0.020660441', '0.018916043', '0.019934271', '0.020133497', '0.017304329', '0.019373292', '0.017270692', '0.021404574', '0.016796105', '0.018311469', '0.020456243', '0.021657513', '0.020214502', '0.018166235', '0.018565403', '0.019459050', '0.018832728', '0.018144930', '0.022226060', '0.020258533', '0.021869496', '0.022630699', '0.022451159', '0.022552634', '0.021244969', '0.020336907', '0.019041147', '0.021876475', '0.018624000', '0.019671937', '0.020102633', '0.020142540', '0.021257170', '0.020311164', '0.019222155', '0.020079629', '0.019985706', '0.016464114', '0.021947388', '0.020713026', '0.018434348', '0.021312676', '0.020034842', '0.021254349', '0.019251185', '0.021383056', '0.021308245', '0.019160459', '0.020668544', '0.018581418']" 
1 TND_inv View2 0.340 0.419 1.083 0.262 0.547 0.005 nan 1.1 44100.0 44100.0 "['0.023654351', '0.020983158', '0.016788881', '0.016745877', '0.019889336', '0.022157747', '0.021107545', '0.020895801', '0.017692583', '0.016874176', '0.020288715', '0.016983975', '0.020596690', '0.020940647', '0.019399164', '0.020600324', '0.019591145', '0.018577321', '0.022264130', '0.018531602', '0.018861264', '0.021922713', '0.022403227', '0.019255077', '0.019931154', '0.014932060', '0.022303529', '0.019750457', '0.020473037', '0.021509271', '0.019227166', '0.020127596', '0.020528931', '0.018034289', '0.020884268', '0.020017829', '0.017056650', '0.021562660', '0.020116448', '0.022834668', '0.018705959', '0.019302104', '0.020401319', '0.018637151', '0.020821981', '0.020127637', '0.025718538', '0.023242583', '0.018261760', '0.018485537']" 
1 TND_inv View3 0.306 0.349 0.778 0.187 0.491 0.004 nan 1.1 44100.0 44100.0 "['0.020587437', '0.020145668', '0.017742028', '0.019719068', '0.019442311', '0.020016171', '0.017289439', '0.019663410', '0.019502696', '0.020875925', '0.021966249', '0.019517191', '0.021942891', '0.017859066', '0.021027058', '0.023355069', '0.020353053', '0.018371666', '0.022819307', '0.023390554', '0.020164166', '0.017053505', '0.021542592', '0.017542450', '0.020604143', '0.019600084', '0.019497396', '0.020353656', '0.020061139', '0.021706721', '0.021206696', '0.023586351', '0.018886732', '0.018067872', '0.018523740', '0.020260682', '0.016777379', '0.020151081', '0.022376144', '0.021182761', '0.018796146', '0.018419944', '0.023577591', '0.020136058', '0.021489734', '0.017132683', '0.018414011', '0.018749923', '0.019991461', '0.018560831']" 
1 TND_inv View4 0.216 0.291 0.551 0.131 0.436 0.005 nan 1.1 44100.0 44100.0 "['0.018657483', '0.021785209', '0.018699450', '0.020171087', '0.020285852', '0.021846497', '0.018626379', '0.021826942', '0.016989032', '0.020403044', '0.017014448', '0.019107068', '0.020274684', '0.017065819', '0.020383015', '0.019303588', '0.023040885', '0.023369383', '0.018866248', '0.021785248', '0.020120427', '0.018625531', '0.018821845', '0.022870546', '0.023547968', '0.019151965', '0.021692583', '0.016040815', '0.021805620', '0.021261798', '0.020839166', '0.020644123', '0.021165617', '0.016590789', '0.017039396', '0.018822746', '0.016986867', '0.020347551', '0.018631632', '0.023948459', '0.021604406', '0.020674083', '0.022395790', '0.016142638', '0.021632833', '0.019109789', '0.018736567', '0.021770585', '0.020347493', '0.019128988']" 
