Run Bound_name View Risk Gibbs_Risk Bound Join_Error Disagreement KL_QP KL_RhoPi n_labeled n_all Posterior_Qv Posterior_rho
1 TND View1 0.298 0.378 1.000 0.247 0.348 0.001 nan 28000.0 28000.0 "['0.009800092', '0.009964330', '0.010137587', '0.009874751', '0.009262477', '0.010117064', '0.010050870', '0.009687744', '0.010369259', '0.010326730', '0.009968230', '0.010048517', '0.009389468', '0.010340829', '0.009695487', '0.010247670', '0.009358776', '0.010324544', '0.010302776', '0.010701771', '0.009759442', '0.010188573', '0.009917012', '0.009478916', '0.009709490', '0.009594948', '0.009996298', '0.009754603', '0.010259218', '0.010161499', '0.009523432', '0.009837767', '0.010072251', '0.009910698', '0.010404688', '0.009340399', '0.010023431', '0.010185961', '0.010424535', '0.009733368', '0.009421377', '0.009713255', '0.010276529', '0.009612564', '0.009815903', '0.010089919', '0.009951782', '0.009883983', '0.009909257', '0.010752263', '0.010071747', '0.010575050', '0.009433118', '0.010440727', '0.010267342', '0.010012534', '0.009693156', '0.009939914', '0.009817898', '0.009592955', '0.010159810', '0.010145509', '0.009814315', '0.010178911', '0.010603604', '0.009878145', '0.010520432', '0.009971743', '0.010056109', '0.010105832', '0.009880203', '0.009904489', '0.009942206', '0.010665269', '0.009879895', '0.010121205', '0.009792988', '0.010056874', '0.009591905', '0.009701724', '0.009537418', '0.010143965', '0.009652189', '0.010146734', '0.010633887', '0.009866724', '0.010476460', '0.009893986', '0.009538017', '0.010674546', '0.009676554', '0.010343888', '0.009981444', '0.009494917', '0.010265671', '0.010079310', '0.010126133', '0.010121960', '0.010552232', '0.010306049']" 
1 TND View2 0.276 0.374 1.000 0.241 0.366 0.000 nan 28000.0 28000.0 "['0.009993200', '0.010055496', '0.009689570', '0.010142591', '0.009990421', '0.010200880', '0.010153337', '0.009902514', '0.009682470', '0.009697670', '0.009895246', '0.010313124', '0.010372167', '0.010078513', '0.010168510', '0.009973858', '0.010100123', '0.010254874', '0.010092067', '0.009702645', '0.009825066', '0.010409806', '0.009980263', '0.010124687', '0.009667565', '0.009951729', '0.010085810', '0.009739374', '0.009776580', '0.009987996', '0.009695545', '0.009870819', '0.010191903', '0.009804726', '0.009815599', '0.010284183', '0.009842430', '0.009827798', '0.010257490', '0.010132866', '0.009595430', '0.009763085', '0.010123661', '0.010172299', '0.010079940', '0.009841525', '0.009899112', '0.010152821', '0.009867243', '0.009698465', '0.009617156', '0.010125007', '0.009701425', '0.009878871', '0.010067734', '0.009996018', '0.009800098', '0.009982680', '0.010593255', '0.010093141', '0.009860333', '0.009826563', '0.009801220', '0.010625627', '0.010270231', '0.010129570', '0.010116283', '0.009935686', '0.010075976', '0.009996054', '0.009780360', '0.009777675', '0.010692351', '0.009792159', '0.010192338', '0.010279295', '0.010248273', '0.009603748', '0.009876058', '0.009863609', '0.010430997', '0.009863178', '0.009668692', '0.010084840', '0.010152330', '0.009997320', '0.010430801', '0.010109231', '0.009702460', '0.010101145', '0.009837131', '0.009711605', '0.009806938', '0.009856628', '0.010301723', '0.010554796', '0.009890067', '0.009838181', '0.010214416', '0.009923642']" 
1 TND View3 0.301 0.387 1.000 0.258 0.360 0.000 nan 28000.0 28000.0 "['0.010727827', '0.009784142', '0.010557237', '0.010394473', '0.009510036', '0.009825541', '0.009778531', '0.009582137', '0.009723157', '0.009623982', '0.010581850', '0.009735868', '0.010378568', '0.010167819', '0.010245832', '0.010182946', '0.009556223', '0.009692113', '0.010128387', '0.010489677', '0.010175900', '0.009608001', '0.010133437', '0.010281941', '0.009678196', '0.010155503', '0.010229706', '0.010125775', '0.010249143', '0.010226948', '0.010269321', '0.010205983', '0.010160566', '0.010330922', '0.009673824', '0.009664635', '0.009831940', '0.009544919', '0.009640305', '0.010304609', '0.009868625', '0.010379630', '0.009710115', '0.009867863', '0.010281833', '0.010626526', '0.010143310', '0.009761147', '0.010195284', '0.010132056', '0.010234403', '0.010187314', '0.010136224', '0.010233695', '0.010641233', '0.010208009', '0.009629373', '0.010124382', '0.009731067', '0.009657182', '0.009508395', '0.009593590', '0.009839088', '0.010376410', '0.009592839', '0.010191996', '0.010145897', '0.009679483', '0.010296958', '0.010163132', '0.009814124', '0.010184021', '0.010171490', '0.009726942', '0.009765140', '0.010273663', '0.010189265', '0.009823846', '0.010124622', '0.009620153', '0.009835730', '0.010192471', '0.009408912', '0.009708806', '0.009852299', '0.010335959', '0.010187101', '0.009512240', '0.010228892', '0.009701667', '0.010273741', '0.010153602', '0.010143585', '0.009757564', '0.009637465', '0.009862392', '0.009814247', '0.009731614', '0.009804550', '0.009868904']" 
1 TND View4 0.313 0.385 1.000 0.265 0.340 0.000 nan 28000.0 28000.0 "['0.009881621', '0.010117934', '0.010591633', '0.009998994', '0.010072889', '0.009655660', '0.009503714', '0.009933360', '0.010074413', '0.010072841', '0.009578717', '0.010333675', '0.009889630', '0.009889649', '0.010071091', '0.010342518', '0.009627187', '0.010076066', '0.010094248', '0.010072824', '0.010589594', '0.010118630', '0.009766215', '0.009767068', '0.010525673', '0.009904020', '0.009501587', '0.010457176', '0.010592532', '0.010123708', '0.009942228', '0.010114742', '0.010075446', '0.010066670', '0.010396837', '0.009941357', '0.010578523', '0.009814940', '0.010029556', '0.009861694', '0.010583043', '0.009819670', '0.010583631', '0.010009260', '0.009943365', '0.009835026', '0.010022400', '0.010048171', '0.010140604', '0.010071155', '0.009655139', '0.009941357', '0.010575448', '0.009614324', '0.010011286', '0.009937828', '0.009536076', '0.010024997', '0.009937035', '0.009953523', '0.009772887', '0.009886744', '0.010484913', '0.009614749', '0.009921980', '0.009943405', '0.009620970', '0.009609066', '0.010437638', '0.009689038', '0.009940525', '0.009610440', '0.009892629', '0.009943839', '0.009505227', '0.009872735', '0.010083476', '0.009952886', '0.009938031', '0.010399466', '0.009896619', '0.010072042', '0.010072380', '0.009882758', '0.010512385', '0.009636024', '0.010099318', '0.010071911', '0.009822113', '0.009893274', '0.010585948', '0.009527615', '0.010167623', '0.009939580', '0.009939056', '0.009529682', '0.009941744', '0.009966562', '0.009943293', '0.010089259']" 
1 TND Concatenated 0.210 0.293 0.754 0.179 0.295 0.024 nan 28000.0 28000.0 "['0.007893577', '0.007796614', '0.012091025', '0.007966764', '0.007885685', '0.012293486', '0.007899439', '0.012139920', '0.007948106', '0.007944445', '0.012132982', '0.007789308', '0.007926334', '0.007881795', '0.011934008', '0.007826372', '0.012483955', '0.012331274', '0.012213321', '0.007885655', '0.007853700', '0.007898967', '0.007815482', '0.012140229', '0.007797970', '0.012338756', '0.007845975', '0.012229661', '0.007915235', '0.012078753', '0.011977951', '0.012485402', '0.012453872', '0.007854838', '0.012225104', '0.007940209', '0.007919329', '0.007957542', '0.011998360', '0.007794470', '0.012425224', '0.011941307', '0.012208627', '0.012150598', '0.012471774', '0.007935227', '0.012232243', '0.012357631', '0.012068313', '0.012484867', '0.007871249', '0.012316326', '0.007903993', '0.007960399', '0.012200061', '0.007889180', '0.012209901', '0.007958603', '0.012055533', '0.012372176', '0.007926581', '0.007936468', '0.012279823', '0.007836324', '0.012231039', '0.012069387', '0.011988703', '0.007929525', '0.012151107', '0.007939434', '0.012070827', '0.007788579', '0.007976365', '0.007828210', '0.012235645', '0.007954785', '0.012112668', '0.012185228', '0.011982332', '0.011933341', '0.007923522', '0.012252038', '0.007928798', '0.007844310', '0.011991870', '0.012088275', '0.007980947', '0.007840749', '0.007901341', '0.012237117', '0.007958462', '0.007798527', '0.012250838', '0.012292905', '0.007788736', '0.012342475', '0.007949982', '0.007798588', '0.007880060', '0.007794988']" 
1 TND Multiview 0.215 0.380 0.913 0.218 0.439 0.005 0.000 28000.0 28000.0 "[['0.010049200', '0.011065497', '0.011220177', '0.009558663', '0.008925911', '0.009540974', '0.009722922', '0.008636059', '0.011171083', '0.011102741', '0.010617205', '0.009763017', '0.006615411', '0.010745868', '0.007488193', '0.010734744', '0.008489442', '0.012349062', '0.010944498', '0.011922066', '0.009412483', '0.011557551', '0.010294636', '0.008108772', '0.009433624', '0.008532257', '0.010478260', '0.009481766', '0.009747768', '0.011065270', '0.008149013', '0.010329353', '0.011725998', '0.009879112', '0.011248586', '0.006726018', '0.010504424', '0.011394070', '0.011575142', '0.009853757', '0.006954575', '0.009378964', '0.009918792', '0.008627784', '0.009457520', '0.010083424', '0.010568367', '0.009166041', '0.008696842', '0.010801939', '0.009386739', '0.010603033', '0.008537206', '0.011367597', '0.010953573', '0.011043025', '0.008971494', '0.009526518', '0.010271919', '0.008072875', '0.010570087', '0.009975176', '0.010179372', '0.010607288', '0.010592692', '0.009515353', '0.011419970', '0.011100491', '0.010073523', '0.009756622', '0.010527565', '0.009862615', '0.010609332', '0.011656597', '0.010353429', '0.010519104', '0.010282616', '0.010234105', '0.009312178', '0.008882656', '0.010032759', '0.009956233', '0.009667129', '0.010179266', '0.010362527', '0.009246288', '0.011010283', '0.010362242', '0.008791544', '0.011370461', '0.009656100', '0.009938980', '0.009937556', '0.008549764', '0.009822016', '0.009759472', '0.009942881', '0.010993790', '0.010526486', '0.011314617'], ['0.008574956', '0.009339490', '0.009367067', '0.010167555', '0.009316739', '0.010812188', '0.010721507', '0.009365589', '0.009867596', '0.011115711', '0.008339242', '0.010446299', '0.011362052', '0.009772074', '0.012140822', '0.010695899', '0.009070376', '0.007185062', '0.010377765', '0.009095338', '0.010443321', '0.008989684', '0.010317774', '0.011212031', '0.010159375', '0.010254639', '0.010072151', '0.009639384', '0.010928555', '0.010353046', '0.010879030', '0.010320283', '0.007337121', '0.009492432', '0.010001733', '0.012572690', '0.008145639', '0.010048762', '0.009595596', '0.010423974', '0.012447141', '0.009310368', '0.010613410', '0.010837438', '0.008919566', '0.009843706', '0.010865514', '0.011135699', '0.011698747', '0.010640539', '0.009661149', '0.009653795', '0.009067576', '0.009179550', '0.009926871', '0.009013601', '0.009863340', '0.010827691', '0.009950488', '0.012781766', '0.009944052', '0.010534517', '0.011495552', '0.009913940', '0.009862421', '0.009464702', '0.007905195', '0.011151672', '0.010201516', '0.008358107', '0.008485772', '0.010130040', '0.007965624', '0.010829325', '0.011119926', '0.010010995', '0.009055765', '0.008939141', '0.009405285', '0.008638468', '0.010459412', '0.010241850', '0.012662397', '0.010620479', '0.008564406', '0.010580857', '0.008572739', '0.010569401', '0.010780359', '0.011027447', '0.010324572', '0.009647300', '0.009811613', '0.009677705', '0.009835120', '0.009787856', '0.010230960', '0.009047424', '0.009820471', '0.009767076'], ['0.011310163', '0.009713814', '0.010680928', '0.011086081', '0.009726701', '0.010254508', '0.010109403', '0.010526224', '0.009682939', '0.008976869', '0.010625632', '0.010125330', '0.011057416', '0.009837899', '0.010517490', '0.009811145', '0.011503020', '0.009887830', '0.009434843', '0.010260849', '0.009899257', '0.010116693', '0.009991701', '0.009083750', '0.010344547', '0.010778317', '0.009863512', '0.011165483', '0.010464065', '0.010305595', '0.010297352', '0.009869772', '0.009467939', '0.009735168', '0.010079458', '0.010642282', '0.010307347', '0.009408351', '0.009485660', '0.010333562', '0.008071467', '0.010381761', '0.009763990', '0.009560178', '0.010733678', '0.011837133', '0.009213863', '0.010195461', '0.011530049', '0.010148810', '0.009128036', '0.010595586', '0.011376191', '0.010250223', '0.009004819', '0.010195817', '0.010739603', '0.009320417', '0.009427778', '0.012269475', '0.010729196', '0.010282782', '0.009195054', '0.010568214', '0.009485045', '0.009488804', '0.010181507', '0.009166500', '0.010259114', '0.011714735', '0.009909271', '0.009911419', '0.009879142', '0.007363727', '0.010181824', '0.009949258', '0.010596478', '0.008789704', '0.009470534', '0.010636438', '0.010033553', '0.010188852', '0.009354870', '0.009894002', '0.009360948', '0.009334339', '0.009742453', '0.008719265', '0.009479169', '0.008968825', '0.008388284', '0.010466301', '0.007952140', '0.011208984', '0.010344504', '0.010171282', '0.009429992', '0.009517654', '0.009668318', '0.009504332'], ['0.009528822', '0.009733686', '0.009433178', '0.009909546', '0.010683743', '0.010220952', '0.010353263', '0.010730764', '0.010180998', '0.009404427', '0.009959157', '0.009959364', '0.010686085', '0.009725853', '0.009736012', '0.009268072', '0.009737052', '0.009880167', '0.010064260', '0.009546829', '0.010196553', '0.009790625', '0.009133632', '0.010547078', '0.009764006', '0.009873524', '0.009376591', '0.009294963', '0.008635116', '0.008291919', '0.010357857', '0.009294741', '0.011612230', '0.010556863', '0.009313853', '0.010284952', '0.010995576', '0.009555461', '0.009861516', '0.009583022', '0.014021338', '0.010629679', '0.009688238', '0.010330203', '0.010446950', '0.008154592', '0.010416190', '0.010195977', '0.009061487', '0.008801001', '0.011206114', '0.010236200', '0.010436958', '0.009785617', '0.010388651', '0.009753852', '0.010499339', '0.009783068', '0.010241023', '0.008035635', '0.009450727', '0.009432579', '0.009814907', '0.009341902', '0.010137846', '0.010662215', '0.010194715', '0.009161278', '0.009152623', '0.009442201', '0.010668731', '0.009816660', '0.011400847', '0.010162589', '0.008648237', '0.009400895', '0.009791366', '0.011120512', '0.010648764', '0.011095584', '0.009174096', '0.009469484', '0.008881050', '0.009418267', '0.011028186', '0.010829878', '0.010089032', '0.010645311', '0.010438670', '0.009820344', '0.011460518', '0.009984208', '0.012408739', '0.010177095', '0.009732342', '0.010111637', '0.010278033', '0.010193338', '0.009877005', '0.009263212']]" "['0.255377829', '0.255104959', '0.245302945', '0.244214252']"
1 TND_inv View1 0.298 0.378 1.032 0.247 0.348 0.001 nan 28000.0 28000.0 "['0.009698457', '0.009908671', '0.010298336', '0.009747935', '0.009269325', '0.010279251', '0.010132563', '0.009683768', '0.010280713', '0.010255602', '0.009917525', '0.010125763', '0.009308686', '0.010261375', '0.009685322', '0.010273242', '0.009273686', '0.010254979', '0.010252640', '0.010827577', '0.009691546', '0.010303959', '0.009810783', '0.009471604', '0.009687433', '0.009632391', '0.009972791', '0.009691140', '0.010266751', '0.010306963', '0.009545876', '0.009715248', '0.010191495', '0.009799652', '0.010313506', '0.009262136', '0.010051884', '0.010304707', '0.010333662', '0.009689623', '0.009362185', '0.009687872', '0.010258690', '0.009647373', '0.009703895', '0.010233409', '0.009880776', '0.009759258', '0.009797190', '0.010816918', '0.010190191', '0.010599704', '0.009384339', '0.010350780', '0.010262652', '0.010019751', '0.009684890', '0.009855467', '0.009704729', '0.009630532', '0.010306749', '0.010302623', '0.009703248', '0.010306282', '0.010683442', '0.009751939', '0.010463947', '0.009925560', '0.010147541', '0.010263249', '0.009754459', '0.009789273', '0.009860260', '0.010810106', '0.009754081', '0.010284115', '0.009696624', '0.010149704', '0.009629548', '0.009686369', '0.009566035', '0.010301906', '0.009671858', '0.010303146', '0.010761097', '0.009739173', '0.010392947', '0.009773063', '0.009566862', '0.010817899', '0.009680917', '0.010263006', '0.009947754', '0.009499974', '0.010263461', '0.010209201', '0.010289205', '0.010284943', '0.010536694', '0.010252531']" 
1 TND_inv View2 0.276 0.374 1.009 0.241 0.366 0.000 nan 28000.0 28000.0 "['0.009878246', '0.009980213', '0.009673806', '0.010313329', '0.009872433', '0.010395468', '0.010335686', '0.009781820', '0.009663794', '0.009684461', '0.009779728', '0.010400706', '0.010383896', '0.010090804', '0.010361115', '0.009842506', '0.010183569', '0.010411906', '0.010150965', '0.009690616', '0.009769551', '0.010380490', '0.009853156', '0.010267088', '0.009640682', '0.009813544', '0.010123953', '0.009727997', '0.009753239', '0.009867553', '0.009681743', '0.009775286', '0.010388289', '0.009764700', '0.009767595', '0.010408367', '0.009772114', '0.009770025', '0.010411847', '0.010289671', '0.009507957', '0.009745467', '0.010264074', '0.010366444', '0.010097405', '0.009772004', '0.009780778', '0.010334699', '0.009774849', '0.009685467', '0.009548206', '0.010268021', '0.009689135', '0.009776413', '0.010039401', '0.009884387', '0.009763227', '0.009857469', '0.010532442', '0.010155462', '0.009774075', '0.009769816', '0.009763589', '0.010574235', '0.010410771', '0.010280873', '0.010241209', '0.009799036', '0.010078920', '0.009884469', '0.009755141', '0.009753796', '0.010661430', '0.009760333', '0.010388675', '0.010409336', '0.010411788', '0.009523071', '0.009775994', '0.009774432', '0.010383417', '0.009774382', '0.009642521', '0.010119650', '0.010333751', '0.009887310', '0.010383371', '0.010217344', '0.009690388', '0.010187523', '0.009771441', '0.009700997', '0.009765346', '0.009773675', '0.010404027', '0.010483985', '0.009778495', '0.009771581', '0.010403473', '0.009791065']" 
1 TND_inv View3 0.301 0.387 1.078 0.258 0.360 0.000 nan 28000.0 28000.0 "['0.011102057', '0.010058327', '0.010417324', '0.010431879', '0.009555832', '0.010073419', '0.010053813', '0.009649012', '0.009962060', '0.009723943', '0.010393726', '0.009990574', '0.010421542', '0.009844582', '0.010205873', '0.009879880', '0.009610860', '0.009883516', '0.009844776', '0.010453487', '0.009858254', '0.009693246', '0.009842133', '0.010303301', '0.009847811', '0.009837210', '0.010142065', '0.009846186', '0.010217114', '0.010129430', '0.010274836', '0.010013690', '0.009838846', '0.010378518', '0.009836807', '0.009814174', '0.010073774', '0.009595948', '0.009758089', '0.010343720', '0.010070520', '0.010422292', '0.009929921', '0.010070640', '0.010303069', '0.010354305', '0.009838209', '0.010034529', '0.009944591', '0.009842820', '0.010162351', '0.009899087', '0.009840832', '0.010159383', '0.010357602', '0.010026371', '0.009734904', '0.009845990', '0.009980217', '0.009796355', '0.009554143', '0.009667802', '0.010073762', '0.010420000', '0.009666532', '0.009924503', '0.009837560', '0.009851061', '0.010331380', '0.009840340', '0.010071765', '0.009884167', '0.009849613', '0.009970898', '0.010039721', '0.010285201', '0.009909125', '0.010073259', '0.009846469', '0.009716340', '0.010073815', '0.009927309', '0.009477094', '0.009926595', '0.010072825', '0.010384094', '0.009898042', '0.009558124', '0.010138384', '0.009908261', '0.010285380', '0.009836966', '0.009838129', '0.010029460', '0.009751949', '0.010071500', '0.010071788', '0.009981427', '0.010069120', '0.010070479']" 
1 TND_inv View4 0.313 0.385 1.104 0.265 0.340 0.000 nan 28000.0 28000.0 "['0.009835104', '0.009985873', '0.010358110', '0.009862388', '0.009914117', '0.009789138', '0.009723747', '0.010033184', '0.009950833', '0.010149447', '0.009767796', '0.010578633', '0.010005073', '0.009836725', '0.009935018', '0.010568821', '0.009782048', '0.009953895', '0.010153904', '0.009911112', '0.010313705', '0.009986218', '0.009812598', '0.009812766', '0.010429717', '0.010012286', '0.009718717', '0.010237554', '0.010319470', '0.010159818', '0.010068547', '0.010158038', '0.009952827', '0.009895271', '0.010219354', '0.010071858', '0.010379501', '0.009822058', '0.009872632', '0.009831144', '0.010373341', '0.009822971', '0.010305225', '0.010134391', '0.010062975', '0.009825942', '0.010137858', '0.009881090', '0.010163147', '0.009937861', '0.009604641', '0.010044928', '0.010296572', '0.009778588', '0.009866169', '0.010092576', '0.009750408', '0.009870898', '0.010037553', '0.010113083', '0.009813906', '0.010003733', '0.010247394', '0.009623177', '0.009843471', '0.010051788', '0.009780399', '0.009777118', '0.010231256', '0.009796734', '0.010074812', '0.009625224', '0.010006497', '0.010056728', '0.009695888', '0.009833327', '0.009963155', '0.010112675', '0.010093951', '0.010220078', '0.010008452', '0.009905897', '0.009921080', '0.010001929', '0.010440048', '0.009613295', '0.009975476', '0.009924954', '0.009525053', '0.010006809', '0.010368899', '0.009745719', '0.010168434', '0.010078206', '0.010097641', '0.009670893', '0.010102618', '0.010119925', '0.010051159', '0.010152880']" 
